                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   45126508 |    6520682 |    5479147 |    6266325 |    6495037 |    6409280
  Cycles                             |   34348800 |   34348800 |   34348800 |   34348800 |   34348800 |   34348800
  IPC                                |       1.31 |       0.19 |       0.16 |       0.18 |       0.19 |       0.19
  Time (ns)                          |    8587200 |    8587200 |    8587200 |    8587200 |    8587200 |    8587200
  Idle time (ns)                     |      54850 |    7059975 |    7018123 |    7017110 |    7062808 |    7086452
  Idle time (%)                      |       0.6% |      82.2% |      81.7% |      81.7% |      82.2% |      82.5%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    5023484 |    1800423 |    1331475 |    1658409 |    1796421 |    1782277
  num incorrect                      |     355898 |      35907 |      57433 |      45855 |      35493 |      32912
  misprediction rate                 |      6.62% |      1.96% |      4.14% |      2.69% |      1.94% |      1.81%
  mpki                               |       7.89 |       5.51 |      10.48 |       7.32 |       5.46 |       5.14
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    5904577 |     331934 |     454147 |     390562 |     328966 |     317329
    num misses                       |        171 |         26 |         25 |         25 |         24 |         25
    miss rate                        |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   10432997 |    1620498 |    1541286 |    1620773 |    1614736 |    1585253
    num misses                       |      13383 |      11832 |      11934 |      12008 |      11883 |      11912
    miss rate                        |      0.13% |      0.73% |      0.77% |      0.74% |      0.74% |      0.75%
    mpki                             |       0.30 |       1.81 |       2.18 |       1.92 |       1.83 |       1.86
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      13554 |      11858 |      11959 |      12033 |      11907 |      11937
    num misses                       |        882 |        330 |        330 |        323 |        304 |        310
    miss rate                        |      6.51% |      2.78% |      2.76% |      2.68% |      2.55% |      2.60%
    mpki                             |       0.02 |       0.05 |       0.06 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    5904577 |     331934 |     454147 |     390562 |     328966 |     317329
    num cache misses                 |       2910 |        173 |        171 |        172 |        164 |        167
    miss rate                        |      0.05% |      0.05% |      0.04% |      0.04% |      0.05% |      0.05%
    mpki                             |       0.06 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   10432997 |    1620498 |    1541286 |    1620773 |    1614736 |    1585253
    num cache misses                 |      99831 |      67547 |      68883 |      68347 |      67607 |      67427
    miss rate                        |      0.96% |      4.17% |      4.47% |      4.22% |      4.19% |      4.25%
    mpki                             |       2.21 |      10.36 |      12.57 |      10.91 |      10.41 |      10.52
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     105639 |      68374 |      69934 |      70645 |      69754 |      69558
    num cache misses                 |      83172 |      59430 |      59970 |      60146 |      59538 |      59512
    miss rate                        |     78.73% |     86.92% |     85.75% |     85.14% |     85.35% |     85.56%
    mpki                             |       1.84 |       9.11 |      10.95 |       9.60 |       9.17 |       9.29
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      86410 |      60129 |      60894 |      62330 |      61571 |      61486
    num cache misses                 |      57595 |      35549 |      35839 |      37921 |      37381 |      37195
    miss rate                        |     66.65% |     59.12% |     58.85% |     60.84% |     60.71% |     60.49%
    mpki                             |       1.28 |       5.45 |       6.54 |       6.05 |       5.76 |       5.80
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      18792 |          0 |          0 |      18755 |          0 |          0
  average dram access latency (ns)   |      61.45 |        inf |        inf |      61.43 |        inf |        inf
  average dram queueing delay        |       0.20 |       0.00 |       0.00 |       0.18 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10848 |        681 |        662 |        471 |        505 |        497
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       9584 |       9319 |       9395 |      11287 |      10942 |      11038
