                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5     
  Instructions                       |  2166501059 |  2148021335 |  2150493435 |  2170026038 |  1402927878 |  1400912218
  Cycles                             |  5525599200 |  5525599200 |  5525599200 |  5525599200 |  1381399800 |  1381399800
  IPC                                |        0.39 |        0.39 |        0.39 |        0.39 |        1.02 |        1.01
  Time (ns)                          |  1381399800 |  1381399800 |  1381399800 |  1381399800 |  1381399800 |  1381399800
  Idle time (ns)                     |   119212876 |   127706424 |   127424358 |   113116651 |     1897543 |     1348516
  Idle time (%)                      |        8.6% |        9.2% |        9.2% |        8.2% |        0.1% |        0.1%
Branch predictor stats               |             |             |             |             |             |            
  num correct                        |   514948567 |   512000766 |   512593055 |   517049158 |   261951480 |   261437949
  num incorrect                      |      778882 |      813115 |      841678 |      852721 |      837022 |      798052
  misprediction rate                 |       0.15% |       0.16% |       0.16% |       0.16% |       0.32% |       0.30%
  mpki                               |        0.36 |        0.38 |        0.39 |        0.39 |        0.60 |        0.57
TLB Summary                          |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |            
    num accesses                     |    76493490 |    74895869 |    75105306 |    76561479 |    76523148 |    76631252
    num misses                       |         305 |          27 |          27 |          27 |          27 |          27
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |            
    num accesses                     |   623570636 |   616141680 |   616725220 |   622422591 |   493734665 |   493193336
    num misses                       |      464689 |     1037006 |     1019155 |      527845 |      465220 |      586980
    miss rate                        |       0.07% |       0.17% |       0.17% |       0.08% |       0.09% |       0.12%
    mpki                             |        0.21 |        0.48 |        0.47 |        0.24 |        0.33 |        0.42
  L2 TLB                             |             |             |             |             |             |            
    num accesses                     |      464994 |     1037033 |     1019182 |      527872 |      465247 |      587007
    num misses                       |      430545 |      422270 |      422662 |      426449 |      424845 |      422775
    miss rate                        |      92.59% |      40.72% |      41.47% |      80.79% |      91.32% |      72.02%
    mpki                             |        0.20 |        0.20 |        0.20 |        0.20 |        0.30 |        0.30
Cache Summary                        |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |            
    num cache accesses               |    76493490 |    74895869 |    75105306 |    76561479 |    76523148 |    76631252
    num cache misses                 |       34782 |       17960 |       18654 |       18386 |       35833 |       35107
    miss rate                        |       0.05% |       0.02% |       0.02% |       0.02% |       0.05% |       0.05%
    mpki                             |        0.02 |        0.01 |        0.01 |        0.01 |        0.03 |        0.03
  Cache L1-D                         |             |             |             |             |             |            
    num cache accesses               |   623570636 |   616141680 |   616725220 |   622422591 |   493734665 |   493193336
    num cache misses                 |   141500895 |   139191356 |   139195902 |   140357704 |   139776937 |   139431657
    miss rate                        |      22.69% |      22.59% |      22.57% |      22.55% |      28.31% |      28.27%
    mpki                             |       65.31 |       64.80 |       64.73 |       64.68 |       99.63 |       99.53
  Cache L2                           |             |             |             |             |             |            
    num cache accesses               |   142224420 |   139886919 |   139892208 |   141058362 |   140488873 |   140142418
    num cache misses                 |    29251492 |    28820911 |    28805806 |    29001778 |    29458289 |    29400916
    miss rate                        |      20.57% |      20.60% |      20.59% |      20.56% |      20.97% |      20.98%
    mpki                             |       13.50 |       13.42 |       13.39 |       13.36 |       21.00 |       20.99
  Cache L3                           |             |             |             |             |             |            
    num cache accesses               |    29967200 |    29523964 |    29506078 |    29708630 |    30151929 |    30091495
    num cache misses                 |    26133078 |    25689078 |    25727501 |    25929623 |    25801703 |    25740114
    miss rate                        |      87.21% |      87.01% |      87.19% |      87.28% |      85.57% |      85.54%
    mpki                             |       12.06 |       11.96 |       11.96 |       11.95 |       18.39 |       18.37
DRAM summary                         |             |             |             |             |             |            
  num dram accesses                  |   160925813 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |       79.19 |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       17.94 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      14.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |            
  num loads from dram                |    25855769 |    25428805 |    25464186 |    25667198 |    25539640 |    25477068
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0
