                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5     
  Instructions                       |  5036797863 |  5022690867 |  4904073602 |  4906435240 |  4886026938 |  4886047577
  Cycles                             |  2122768400 |  2122768400 |  2122768400 |  2122768400 |  2122768400 |  2122768400
  IPC                                |        2.37 |        2.37 |        2.31 |        2.31 |        2.30 |        2.30
  Time (ns)                          |   530692100 |   530692100 |   530692100 |   530692100 |   530692100 |   530692100
  Idle time (ns)                     |      294700 |      252616 |    15813957 |    16383390 |    37403520 |    37489169
  Idle time (%)                      |        0.1% |        0.0% |        3.0% |        3.1% |        7.0% |        7.1%
Branch predictor stats               |             |             |             |             |             |            
  num correct                        |   259423463 |   254878808 |   262140651 |   262928262 |   265187802 |   265194747
  num incorrect                      |     1649306 |     1639676 |     1589734 |     1589723 |     1577969 |     1577977
  misprediction rate                 |       0.63% |       0.64% |       0.60% |       0.60% |       0.59% |       0.59%
  mpki                               |        0.33 |        0.33 |        0.32 |        0.32 |        0.32 |        0.32
TLB Summary                          |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |            
    num accesses                     |   598450134 |   598334187 |   578540490 |   578540184 |   574752633 |   574752554
    num misses                       |         213 |          25 |          25 |          25 |          25 |          25
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |            
    num accesses                     |  1614193576 |  1611606630 |  1567257090 |  1567650100 |  1558813189 |  1558816495
    num misses                       |     2515117 |     2549077 |     2477449 |     2437618 |     2455901 |     2455041
    miss rate                        |       0.16% |       0.16% |       0.16% |       0.16% |       0.16% |       0.16%
    mpki                             |        0.50 |        0.51 |        0.51 |        0.50 |        0.50 |        0.50
  L2 TLB                             |             |             |             |             |             |            
    num accesses                     |     2515330 |     2549102 |     2477474 |     2437643 |     2455926 |     2455066
    num misses                       |      520124 |      523756 |      503122 |      501637 |      506902 |      505241
    miss rate                        |      20.68% |      20.55% |      20.31% |      20.58% |      20.64% |      20.58%
    mpki                             |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10
Cache Summary                        |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |            
    num cache accesses               |   598450134 |   598334187 |   578540490 |   578540184 |   574752633 |   574752554
    num cache misses                 |      157289 |      145117 |      140082 |      139950 |      139726 |      140449
    miss rate                        |       0.03% |       0.02% |       0.02% |       0.02% |       0.02% |       0.02%
    mpki                             |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
  Cache L1-D                         |             |             |             |             |             |            
    num cache accesses               |  1614193576 |  1611606630 |  1567257090 |  1567650100 |  1558813189 |  1558816495
    num cache misses                 |   203872615 |   203907845 |   197315814 |   197316526 |   195958376 |   195943437
    miss rate                        |      12.63% |      12.65% |      12.59% |      12.59% |      12.57% |      12.57%
    mpki                             |       40.48 |       40.60 |       40.24 |       40.22 |       40.11 |       40.10
  Cache L2                           |             |             |             |             |             |            
    num cache accesses               |   206204676 |   206225402 |   199529720 |   199530161 |   198171014 |   198156800
    num cache misses                 |    23608614 |    23541653 |    22857514 |    22875868 |    21721830 |    21713360
    miss rate                        |      11.45% |      11.42% |      11.46% |      11.46% |      10.96% |      10.96%
    mpki                             |        4.69 |        4.69 |        4.66 |        4.66 |        4.45 |        4.44
  Cache L3                           |             |             |             |             |             |            
    num cache accesses               |    32213969 |    32140953 |    31078615 |    31065741 |    29552957 |    29551940
    num cache misses                 |    18599314 |    18584991 |    17949285 |    17960583 |    16833700 |    16830294
    miss rate                        |      57.74% |      57.82% |      57.75% |      57.81% |      56.96% |      56.95%
    mpki                             |        3.69 |        3.70 |        3.66 |        3.66 |        3.45 |        3.44
DRAM summary                         |             |             |             |             |             |            
  num dram accesses                  |   101392533 |           0 |           0 |           0 |   101387039 |           0
  average dram access latency (ns)   |     4740.17 |         inf |         inf |         inf |     4716.32 |         inf
  average dram queueing delay        |     4678.92 |        0.00 |        0.00 |        0.00 |     4655.07 |        0.00
  average dram bandwidth utilization |      23.00% |       0.00% |       0.00% |       0.00% |      23.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |            
  num loads from dram                |    12607156 |    12575721 |    12144676 |    12150191 |    11672461 |    11677858
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |        2936 |        3460 |        3720 |        4356 |        3622 |        3252
