metric,value
timestamp,2026-07-04T05:58:38
workload,BC
strategy,Scatter
bench_class,A
num_threads,8
output_dir,Outputs/sizeA/8TH/BC_A_Scatter_8TH_20260703_174340
cpu_map,"[0, 8, 1, 9, 2, 10, 3, 11]"
p_core_count,8
e_core_count,0
node0_threads,4
node1_threads,4
sim_time_ms,8.1809
total_instructions,84526943
avg_ipc,0.3229
avg_ipc_p,0.3229
avg_ipc_e,0.0
total_power_W,9.1974
dynamic_W,5.1663
leakage_W,4.0
dram_W,0.0311
energy_J,0.075243
node0_reads,19838
node1_reads,19794
node0_pct,50.0555
dram_local,6979
dram_remote,6955
dram_remote_pct,49.9139
l1d_miss_pct,1.609
l2_miss_pct,79.1622
l3_miss_pct,7.1352
l1d_mpki,2.9185
l2_mpki,2.3103
l3_mpki,0.1648
l3_miss_count,13934
cpi_base_frac,0.5437
cpi_branch_frac,0.2283
cpi_l2_frac,0.0001
cpi_l3_frac,0.2058
cpi_dram_local_frac,0.0107
cpi_dram_remote_frac,0.0115
futex_wake_count,34
futex_wait_count,12
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.7607
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,9636831
L1-D.access-mru-0.c1,1305409
L1-D.access-mru-0.c2,1311897
L1-D.access-mru-0.c3,1204845
L1-D.access-mru-0.c4,1253517
L1-D.access-mru-0.c5,1242178
L1-D.access-mru-0.c6,1335869
L1-D.access-mru-0.c7,1286782
L1-D.access-mru-0.node0,13538114
L1-D.access-mru-0.node1,5039214
L1-D.access-mru-0.total,18577328
L1-D.access-mru-1.c0,335817
L1-D.access-mru-1.c1,19761
L1-D.access-mru-1.c2,20722
L1-D.access-mru-1.c3,23277
L1-D.access-mru-1.c4,21281
L1-D.access-mru-1.c5,19133
L1-D.access-mru-1.c6,19857
L1-D.access-mru-1.c7,19540
L1-D.access-mru-1.node0,397677
L1-D.access-mru-1.node1,81711
L1-D.access-mru-1.total,479388
L1-D.access-mru-2.c0,146224
L1-D.access-mru-2.c1,4180
L1-D.access-mru-2.c2,4189
L1-D.access-mru-2.c3,5052
L1-D.access-mru-2.c4,4666
L1-D.access-mru-2.c5,3936
L1-D.access-mru-2.c6,4162
L1-D.access-mru-2.c7,4152
L1-D.access-mru-2.node0,159241
L1-D.access-mru-2.node1,17320
L1-D.access-mru-2.total,176561
L1-D.access-mru-3.c0,26426
L1-D.access-mru-3.c1,2511
L1-D.access-mru-3.c2,2591
L1-D.access-mru-3.c3,2874
L1-D.access-mru-3.c4,2781
L1-D.access-mru-3.c5,2506
L1-D.access-mru-3.c6,2455
L1-D.access-mru-3.c7,2592
L1-D.access-mru-3.node0,34253
L1-D.access-mru-3.node1,10483
L1-D.access-mru-3.total,44736
L1-D.access-mru-4.c0,5835
L1-D.access-mru-4.c1,1935
L1-D.access-mru-4.c2,1856
L1-D.access-mru-4.c3,2041
L1-D.access-mru-4.c4,1886
L1-D.access-mru-4.c5,1864
L1-D.access-mru-4.c6,1855
L1-D.access-mru-4.c7,1880
L1-D.access-mru-4.node0,11432
L1-D.access-mru-4.node1,7720
L1-D.access-mru-4.total,19152
L1-D.access-mru-5.c0,3572
L1-D.access-mru-5.c1,1333
L1-D.access-mru-5.c2,1418
L1-D.access-mru-5.c3,1513
L1-D.access-mru-5.c4,1409
L1-D.access-mru-5.c5,1370
L1-D.access-mru-5.c6,1420
L1-D.access-mru-5.c7,1436
L1-D.access-mru-5.node0,7819
L1-D.access-mru-5.node1,5652
L1-D.access-mru-5.total,13471
L1-D.access-mru-6.c0,2493
L1-D.access-mru-6.c1,954
L1-D.access-mru-6.c2,1018
L1-D.access-mru-6.c3,1112
L1-D.access-mru-6.c4,946
L1-D.access-mru-6.c5,1012
L1-D.access-mru-6.c6,1013
L1-D.access-mru-6.c7,974
L1-D.access-mru-6.node0,5470
L1-D.access-mru-6.node1,4052
L1-D.access-mru-6.total,9522
L1-D.access-mru-7.c0,1775
L1-D.access-mru-7.c1,689
L1-D.access-mru-7.c2,657
L1-D.access-mru-7.c3,808
L1-D.access-mru-7.c4,695
L1-D.access-mru-7.c5,665
L1-D.access-mru-7.c6,704
L1-D.access-mru-7.c7,682
L1-D.access-mru-7.node0,3831
L1-D.access-mru-7.node1,2844
L1-D.access-mru-7.total,6675
L1-D.backinval-M,81
L1-D.backinval-S,2
L1-D.coherency-downgrades.c0,1075
L1-D.coherency-downgrades.c1,569
L1-D.coherency-downgrades.c2,507
L1-D.coherency-downgrades.c3,395
L1-D.coherency-downgrades.c4,56
L1-D.coherency-downgrades.c5,83
L1-D.coherency-downgrades.c6,169
L1-D.coherency-downgrades.c7,100
L1-D.coherency-downgrades.node0,1807
L1-D.coherency-downgrades.node1,1147
L1-D.coherency-downgrades.total,2954
L1-D.coherency-invalidates.c0,63
L1-D.coherency-invalidates.c1,14
L1-D.coherency-invalidates.c2,18
L1-D.coherency-invalidates.c3,19
L1-D.coherency-invalidates.c4,181
L1-D.coherency-invalidates.c5,183
L1-D.coherency-invalidates.c6,187
L1-D.coherency-invalidates.c7,194
L1-D.coherency-invalidates.node0,449
L1-D.coherency-invalidates.node1,410
L1-D.coherency-invalidates.total,859
L1-D.coherency-upgrades.c0,15
L1-D.coherency-upgrades.c1,90
L1-D.coherency-upgrades.c2,90
L1-D.coherency-upgrades.c3,88
L1-D.coherency-upgrades.c4,30
L1-D.coherency-upgrades.c5,18
L1-D.coherency-upgrades.c6,23
L1-D.coherency-upgrades.c7,23
L1-D.coherency-upgrades.node0,158
L1-D.coherency-upgrades.node1,219
L1-D.coherency-upgrades.total,377
L1-D.coherency-writebacks.c0,38593
L1-D.coherency-writebacks.c1,38446
L1-D.coherency-writebacks.c2,38637
L1-D.coherency-writebacks.c3,38658
L1-D.coherency-writebacks.c4,38546
L1-D.coherency-writebacks.c5,38455
L1-D.coherency-writebacks.c6,38787
L1-D.coherency-writebacks.c7,38556
L1-D.coherency-writebacks.node0,154563
L1-D.coherency-writebacks.node1,154115
L1-D.coherency-writebacks.total,308678
L1-D.evict-E.c0,13593
L1-D.evict-E.c3,18
L1-D.evict-E.node0,13593
L1-D.evict-E.node1,18
L1-D.evict-E.total,13611
L1-D.evict-M.c0,30163
L1-D.evict-M.c1,12195
L1-D.evict-M.c2,12108
L1-D.evict-M.c3,13456
L1-D.evict-M.c4,12752
L1-D.evict-M.c5,11698
L1-D.evict-M.c6,12095
L1-D.evict-M.c7,11838
L1-D.evict-M.node0,67118
L1-D.evict-M.node1,49187
L1-D.evict-M.total,116305
L1-D.evict-S.c0,2306
L1-D.evict-S.c1,1271
L1-D.evict-S.c2,1284
L1-D.evict-S.c3,1205
L1-D.evict-S.c4,1282
L1-D.evict-S.c5,1320
L1-D.evict-S.c6,1397
L1-D.evict-S.c7,1239
L1-D.evict-S.node0,6269
L1-D.evict-S.node1,5035
L1-D.evict-S.total,11304
L1-D.load-misses-E,2
L1-D.load-misses-I.c0,56176
L1-D.load-misses-I.c1,36346
L1-D.load-misses-I.c2,36463
L1-D.load-misses-I.c3,37579
L1-D.load-misses-I.c4,36914
L1-D.load-misses-I.c5,36099
L1-D.load-misses-I.c6,36721
L1-D.load-misses-I.c7,36249
L1-D.load-misses-I.node0,166274
L1-D.load-misses-I.node1,146273
L1-D.load-misses-I.total,312547
L1-D.load-misses-S.c2,1
L1-D.load-misses-S.c4,4
L1-D.load-misses-S.c5,13
L1-D.load-misses-S.c6,5
L1-D.load-misses-S.c7,8
L1-D.load-misses-S.node0,10
L1-D.load-misses-S.node1,21
L1-D.load-misses-S.total,31
L1-D.load-misses.c0,56178
L1-D.load-misses.c1,36346
L1-D.load-misses.c2,36464
L1-D.load-misses.c3,37579
L1-D.load-misses.c4,36918
L1-D.load-misses.c5,36112
L1-D.load-misses.c6,36726
L1-D.load-misses.c7,36257
L1-D.load-misses.node0,166286
L1-D.load-misses.node1,146294
L1-D.load-misses.total,312580
L1-D.loads-E.c0,167512
L1-D.loads-E.c1,162
L1-D.loads-E.c2,146
L1-D.loads-E.c3,159
L1-D.loads-E.c5,35
L1-D.loads-E.c7,1
L1-D.loads-E.node0,167658
L1-D.loads-E.node1,357
L1-D.loads-E.total,168015
L1-D.loads-I.c0,56176
L1-D.loads-I.c1,36346
L1-D.loads-I.c2,36463
L1-D.loads-I.c3,37579
L1-D.loads-I.c4,36914
L1-D.loads-I.c5,36099
L1-D.loads-I.c6,36721
L1-D.loads-I.c7,36249
L1-D.loads-I.node0,166274
L1-D.loads-I.node1,146273
L1-D.loads-I.total,312547
L1-D.loads-M.c0,6387986
L1-D.loads-M.c1,291189
L1-D.loads-M.c2,300675
L1-D.loads-M.c3,440546
L1-D.loads-M.c4,395413
L1-D.loads-M.c5,247189
L1-D.loads-M.c6,317165
L1-D.loads-M.c7,281561
L1-D.loads-M.node0,7401239
L1-D.loads-M.node1,1260485
L1-D.loads-M.total,8661724
L1-D.loads-S.c0,665320
L1-D.loads-S.c1,873497
L1-D.loads-S.c2,866584
L1-D.loads-S.c3,564439
L1-D.loads-S.c4,672392
L1-D.loads-S.c5,875166
L1-D.loads-S.c6,867050
L1-D.loads-S.c7,871392
L1-D.loads-S.node0,3071346
L1-D.loads-S.node1,3184494
L1-D.loads-S.total,6255840
L1-D.loads-where-L1.c0,7220816
L1-D.loads-where-L1.c1,1164848
