metric,value
timestamp,2026-07-04T04:51:54
workload,IS
strategy,HPO
bench_class,A
num_threads,8
output_dir,Outputs/sizeA/8TH/IS_A_HPO_8TH_20260703_174340
cpu_map,"[0, 1, 2, 3, 8, 9, 10, 11]"
p_core_count,8
e_core_count,0
node0_threads,4
node1_threads,4
sim_time_ms,217.6481
total_instructions,4582981636
avg_ipc,0.658
avg_ipc_p,0.658
avg_ipc_e,0.0
total_power_W,15.462
dynamic_W,10.5284
leakage_W,4.0
dram_W,0.9336
energy_J,3.365279
node0_reads,13104732
node1_reads,13106772
node0_pct,49.9961
dram_local,9185783
dram_remote,9186976
dram_remote_pct,50.0032
l1d_miss_pct,1.8453
l2_miss_pct,84.7045
l3_miss_pct,98.6447
l1d_mpki,4.7978
l2_mpki,4.064
l3_mpki,4.0089
l3_miss_count,18372759
cpi_base_frac,0.6421
cpi_branch_frac,0.0001
cpi_l2_frac,0.0
cpi_l3_frac,0.0015
cpi_dram_local_frac,0.175
cpi_dram_remote_frac,0.1814
futex_wake_count,55
futex_wait_count,14
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.0961
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,178745168
L1-D.access-mru-0.c1,178999250
L1-D.access-mru-0.c2,178618359
L1-D.access-mru-0.c3,178571712
L1-D.access-mru-0.c4,178735234
L1-D.access-mru-0.c5,178694451
L1-D.access-mru-0.c6,178783418
L1-D.access-mru-0.c7,179061454
L1-D.access-mru-0.node0,714934489
L1-D.access-mru-0.node1,715274557
L1-D.access-mru-0.total,1430209046
L1-D.access-mru-1.c0,12906575
L1-D.access-mru-1.c1,12963679
L1-D.access-mru-1.c2,12962288
L1-D.access-mru-1.c3,12966341
L1-D.access-mru-1.c4,12959498
L1-D.access-mru-1.c5,12944886
L1-D.access-mru-1.c6,12918180
L1-D.access-mru-1.c7,12898172
L1-D.access-mru-1.node0,51798883
L1-D.access-mru-1.node1,51720736
L1-D.access-mru-1.total,103519619
L1-D.access-mru-2.c0,2857921
L1-D.access-mru-2.c1,2871802
L1-D.access-mru-2.c2,2875241
L1-D.access-mru-2.c3,2866050
L1-D.access-mru-2.c4,2861752
L1-D.access-mru-2.c5,2853660
L1-D.access-mru-2.c6,2858636
L1-D.access-mru-2.c7,2852788
L1-D.access-mru-2.node0,11471014
L1-D.access-mru-2.node1,11426836
L1-D.access-mru-2.total,22897850
L1-D.access-mru-3.c0,1586018
L1-D.access-mru-3.c1,1579906
L1-D.access-mru-3.c2,1572403
L1-D.access-mru-3.c3,1559734
L1-D.access-mru-3.c4,1539761
L1-D.access-mru-3.c5,1548001
L1-D.access-mru-3.c6,1546387
L1-D.access-mru-3.c7,1554284
L1-D.access-mru-3.node0,6298061
L1-D.access-mru-3.node1,6188433
L1-D.access-mru-3.total,12486494
L1-D.access-mru-4.c0,1114827
L1-D.access-mru-4.c1,1115971
L1-D.access-mru-4.c2,1117051
L1-D.access-mru-4.c3,1121752
L1-D.access-mru-4.c4,1123088
L1-D.access-mru-4.c5,1121118
L1-D.access-mru-4.c6,1114949
L1-D.access-mru-4.c7,1110203
L1-D.access-mru-4.node0,4469601
L1-D.access-mru-4.node1,4469358
L1-D.access-mru-4.total,8938959
L1-D.access-mru-5.c0,885398
L1-D.access-mru-5.c1,881641
L1-D.access-mru-5.c2,885873
L1-D.access-mru-5.c3,885471
L1-D.access-mru-5.c4,889494
L1-D.access-mru-5.c5,883681
L1-D.access-mru-5.c6,881660
L1-D.access-mru-5.c7,885642
L1-D.access-mru-5.node0,3538383
L1-D.access-mru-5.node1,3540477
L1-D.access-mru-5.total,7078860
L1-D.access-mru-6.c0,764428
L1-D.access-mru-6.c1,762401
L1-D.access-mru-6.c2,764077
L1-D.access-mru-6.c3,762637
L1-D.access-mru-6.c4,763738
L1-D.access-mru-6.c5,762102
L1-D.access-mru-6.c6,758727
L1-D.access-mru-6.c7,760201
L1-D.access-mru-6.node0,3053543
L1-D.access-mru-6.node1,3044768
