                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   44668092 |    5926581 |    5955215 |    4822635 |    5247502 |    5712933 |    6020988 |    5864462
  Cycles                             |   32770800 |   32770800 |   32770800 |   32770800 |   32770800 |   32770800 |   32770800 |   32770800
  IPC                                |       1.36 |       0.18 |       0.18 |       0.15 |       0.16 |       0.17 |       0.18 |       0.18
  Time (ns)                          |    8192700 |    8192700 |    8192700 |    8192700 |    8192700 |    8192700 |    8192700 |    8192700
  Idle time (ns)                     |       6427 |    6938633 |    6925374 |    6904548 |    6903594 |    6992093 |    6903417 |    6947180
  Idle time (%)                      |       0.1% |      84.7% |      84.5% |      84.3% |      84.3% |      85.3% |      84.3% |      84.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    4951022 |    1703452 |    1703666 |    1215462 |    1387971 |    1665903 |    1713674 |    1690292
  num incorrect                      |     340611 |      25711 |      27173 |      46084 |      40553 |      19882 |      29544 |      25194
  misprediction rate                 |      6.44% |      1.49% |      1.57% |      3.65% |      2.84% |      1.18% |      1.69% |      1.47%
  mpki                               |       7.63 |       4.34 |       4.56 |       9.56 |       7.73 |       3.48 |       4.91 |       4.30
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    6850398 |     108381 |     108642 |     127767 |     124495 |     101198 |     111894 |     104476
    num misses                       |        175 |         26 |         26 |         26 |         26 |         26 |         26 |         26
    miss rate                        |      0.00% |      0.02% |      0.02% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   10244720 |    1382107 |    1392433 |    1289028 |    1335173 |    1318159 |    1416769 |    1365577
    num misses                       |      11015 |       9269 |       9304 |       9257 |       9376 |       9337 |       9257 |       9288
    miss rate                        |      0.11% |      0.67% |      0.67% |      0.72% |      0.70% |      0.71% |      0.65% |      0.68%
    mpki                             |       0.25 |       1.56 |       1.56 |       1.92 |       1.79 |       1.63 |       1.54 |       1.58
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      11190 |       9295 |       9330 |       9283 |       9402 |       9363 |       9283 |       9314
    num misses                       |        913 |        332 |        330 |        322 |        338 |        315 |        306 |        299
    miss rate                        |      8.16% |      3.57% |      3.54% |      3.47% |      3.59% |      3.36% |      3.30% |      3.21%
    mpki                             |       0.02 |       0.06 |       0.06 |       0.07 |       0.06 |       0.06 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    6850398 |     108381 |     108642 |     127767 |     124495 |     101198 |     111894 |     104476
    num cache misses                 |       3146 |        174 |        174 |        175 |        176 |        174 |        178 |        175
    miss rate                        |      0.05% |      0.16% |      0.16% |      0.14% |      0.14% |      0.17% |      0.16% |      0.17%
    mpki                             |       0.07 |       0.03 |       0.03 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   10244720 |    1382107 |    1392433 |    1289028 |    1335173 |    1318159 |    1416769 |    1365577
    num cache misses                 |      85370 |      52367 |      52507 |      53769 |      53236 |      52005 |      52818 |      52316
    miss rate                        |      0.83% |      3.79% |      3.77% |      4.17% |      3.99% |      3.95% |      3.73% |      3.83%
    mpki                             |       1.91 |       8.84 |       8.82 |      11.15 |      10.15 |       9.10 |       8.77 |       8.92
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      91304 |      52987 |      53166 |      54670 |      55114 |      53601 |      54553 |      53997
    num cache misses                 |      71562 |      46866 |      46942 |      47575 |      47480 |      46692 |      47219 |      46960
    miss rate                        |     78.38% |     88.45% |     88.29% |     87.02% |     86.15% |     87.11% |     86.56% |     86.97%
    mpki                             |       1.60 |       7.91 |       7.88 |       9.86 |       9.05 |       8.17 |       7.84 |       8.01
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      74752 |      47347 |      47464 |      48336 |      49217 |      48147 |      48804 |      48474
    num cache misses                 |      50819 |      26741 |      26638 |      27151 |      28479 |      27990 |      28176 |      28425
    miss rate                        |     67.98% |     56.48% |     56.12% |     56.17% |     57.86% |     58.13% |     57.73% |     58.64%
    mpki                             |       1.14 |       4.51 |       4.47 |       5.63 |       5.43 |       4.90 |       4.68 |       4.85
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      19902 |          0 |          0 |          0 |      19825 |          0 |          0 |          0
  average dram access latency (ns)   |      61.53 |        inf |        inf |        inf |      61.55 |        inf |        inf |        inf
  average dram queueing delay        |       0.28 |       0.00 |       0.00 |       0.00 |       0.30 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      10769 |        549 |        531 |        506 |        401 |        410 |        403 |        394
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       7921 |       7344 |       7493 |       7704 |       9045 |       8715 |       8928 |       8906
