metric,value
timestamp,2026-07-04T06:54:12
workload,SSSP
strategy,EPO
bench_class,A
num_threads,8
output_dir,Outputs/sizeA/8TH/SSSP_A_EPO_8TH_20260703_174340
cpu_map,"[4, 5, 6, 7, 12, 13, 14, 15]"
p_core_count,0
e_core_count,8
node0_threads,4
node1_threads,4
sim_time_ms,31.2425
total_instructions,107687101
avg_ipc,0.4309
avg_ipc_p,0.0
avg_ipc_e,0.4309
total_power_W,2.9045
dynamic_W,1.2926
leakage_W,1.6
dram_W,0.0119
energy_J,0.090744
node0_reads,29033
node1_reads,28979
node0_pct,50.0465
dram_local,9088
dram_remote,9035
dram_remote_pct,49.8538
l1d_miss_pct,1.4135
l2_miss_pct,79.1461
l3_miss_pct,8.5478
l1d_mpki,2.4876
l2_mpki,1.9688
l3_mpki,0.1683
l3_miss_count,18123
cpi_base_frac,0.7208
cpi_branch_frac,0.2179
cpi_l2_frac,0.0001
cpi_l3_frac,0.0489
cpi_dram_local_frac,0.0059
cpi_dram_remote_frac,0.0064
futex_wake_count,37
futex_wait_count,20
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.7523
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,10564851
L1-D.access-mru-0.c1,1730625
L1-D.access-mru-0.c2,1760790
L1-D.access-mru-0.c3,1779197
L1-D.access-mru-0.c4,1831438
L1-D.access-mru-0.c5,1639644
L1-D.access-mru-0.c6,1789109
L1-D.access-mru-0.c7,1722983
L1-D.access-mru-0.node0,15835463
L1-D.access-mru-0.node1,6983174
L1-D.access-mru-0.total,22818637
L1-D.access-mru-1.c0,367479
L1-D.access-mru-1.c1,22573
L1-D.access-mru-1.c2,24143
L1-D.access-mru-1.c3,28700
L1-D.access-mru-1.c4,26107
L1-D.access-mru-1.c5,21046
L1-D.access-mru-1.c6,23616
L1-D.access-mru-1.c7,22274
L1-D.access-mru-1.node0,442895
L1-D.access-mru-1.node1,93043
L1-D.access-mru-1.total,535938
L1-D.access-mru-2.c0,155921
L1-D.access-mru-2.c1,4540
L1-D.access-mru-2.c2,4670
L1-D.access-mru-2.c3,5521
L1-D.access-mru-2.c4,5061
L1-D.access-mru-2.c5,4252
L1-D.access-mru-2.c6,4572
L1-D.access-mru-2.c7,4558
L1-D.access-mru-2.node0,170652
L1-D.access-mru-2.node1,18443
L1-D.access-mru-2.total,189095
L1-D.access-mru-3.c0,38496
L1-D.access-mru-3.c1,2623
L1-D.access-mru-3.c2,2787
L1-D.access-mru-3.c3,3383
L1-D.access-mru-3.c4,3140
L1-D.access-mru-3.c5,2500
L1-D.access-mru-3.c6,2718
L1-D.access-mru-3.c7,2659
L1-D.access-mru-3.node0,47289
L1-D.access-mru-3.node1,11017
L1-D.access-mru-3.total,58306
L1-D.access-mru-4.c0,11627
L1-D.access-mru-4.c1,1852
L1-D.access-mru-4.c2,1953
L1-D.access-mru-4.c3,2638
L1-D.access-mru-4.c4,2474
L1-D.access-mru-4.c5,1822
L1-D.access-mru-4.c6,1954
L1-D.access-mru-4.c7,2027
L1-D.access-mru-4.node0,18070
L1-D.access-mru-4.node1,8277
L1-D.access-mru-4.total,26347
L1-D.access-mru-5.c0,7010
L1-D.access-mru-5.c1,1373
L1-D.access-mru-5.c2,1691
L1-D.access-mru-5.c3,2502
L1-D.access-mru-5.c4,2551
L1-D.access-mru-5.c5,1375
L1-D.access-mru-5.c6,1729
L1-D.access-mru-5.c7,1772
