metric,value
timestamp,2026-07-04T06:55:06
workload,TC
strategy,EPO
bench_class,A
num_threads,8
output_dir,Outputs/sizeA/8TH/TC_A_EPO_8TH_20260703_174340
cpu_map,"[4, 5, 6, 7, 12, 13, 14, 15]"
p_core_count,0
e_core_count,8
node0_threads,4
node1_threads,4
sim_time_ms,29.3855
total_instructions,84492511
avg_ipc,0.3594
avg_ipc_p,0.0
avg_ipc_e,0.3594
total_power_W,2.6871
dynamic_W,1.0783
leakage_W,1.6
dram_W,0.0089
energy_J,0.078963
node0_reads,20330
node1_reads,20252
node0_pct,50.0961
dram_local,7165
dram_remote,7165
dram_remote_pct,50.0
l1d_miss_pct,1.6205
l2_miss_pct,79.5782
l3_miss_pct,7.2335
l1d_mpki,2.9464
l2_mpki,2.3447
l3_mpki,0.1696
l3_miss_count,14330
cpi_base_frac,0.6852
cpi_branch_frac,0.2521
cpi_l2_frac,0.0001
cpi_l3_frac,0.0519
cpi_dram_local_frac,0.005
cpi_dram_remote_frac,0.0057
futex_wake_count,112
futex_wait_count,11
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,2.5076
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,9633261
L1-D.access-mru-0.c1,1302923
L1-D.access-mru-0.c2,1316585
L1-D.access-mru-0.c3,1240626
L1-D.access-mru-0.c4,1272250
L1-D.access-mru-0.c5,1239051
L1-D.access-mru-0.c6,1340551
L1-D.access-mru-0.c7,1290359
L1-D.access-mru-0.node0,13493395
L1-D.access-mru-0.node1,5142211
L1-D.access-mru-0.total,18635606
L1-D.access-mru-1.c0,339832
L1-D.access-mru-1.c1,21823
L1-D.access-mru-1.c2,22714
L1-D.access-mru-1.c3,27284
L1-D.access-mru-1.c4,24988
L1-D.access-mru-1.c5,21854
L1-D.access-mru-1.c6,22704
L1-D.access-mru-1.c7,21704
L1-D.access-mru-1.node0,411653
L1-D.access-mru-1.node1,91250
L1-D.access-mru-1.total,502903
L1-D.access-mru-2.c0,150420
L1-D.access-mru-2.c1,4713
L1-D.access-mru-2.c2,4711
L1-D.access-mru-2.c3,5605
L1-D.access-mru-2.c4,5140
L1-D.access-mru-2.c5,4576
L1-D.access-mru-2.c6,4702
L1-D.access-mru-2.c7,4621
L1-D.access-mru-2.node0,165449
L1-D.access-mru-2.node1,19039
