metric,value
timestamp,2026-07-04T06:49:30
workload,lavaMD
strategy,EPO
bench_class,A
num_threads,8
output_dir,Outputs/sizeA/8TH/lavaMD_A_EPO_8TH_20260703_174340
cpu_map,"[4, 5, 6, 7, 12, 13, 14, 15]"
p_core_count,0
e_core_count,8
node0_threads,4
node1_threads,4
sim_time_ms,0.3926
total_instructions,386623
avg_ipc,0.9847
avg_ipc_p,0.0
avg_ipc_e,0.9847
total_power_W,0.7206
dynamic_W,0.3693
leakage_W,0.2
dram_W,0.1513
energy_J,0.000283
node0_reads,4668
node1_reads,4613
node0_pct,50.2963
dram_local,3085
dram_remote,3070
dram_remote_pct,49.8781
l1d_miss_pct,7.5875
l2_miss_pct,82.6373
l3_miss_pct,96.0069
l1d_mpki,20.0661
l2_mpki,16.582
l3_mpki,15.9199
l3_miss_count,6155
cpi_base_frac,0.483
cpi_branch_frac,0.2081
cpi_l2_frac,0.0
cpi_l3_frac,0.0001
cpi_dram_local_frac,0.1079
cpi_dram_remote_frac,0.2008
futex_wake_count,1
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,2.5873
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0,120823
L1-D.access-mru-1,18333
L1-D.access-mru-2,3166
L1-D.access-mru-3,1970
L1-D.access-mru-4,963
L1-D.access-mru-5,639
L1-D.access-mru-6,419
L1-D.access-mru-7,266
L1-D.evict-E,5097
L1-D.evict-M,4555
L1-D.load-misses,7758
L1-D.load-misses-I,7758
L1-D.loads,102247
L1-D.loads-E,47779
L1-D.loads-I,7758
L1-D.loads-M,46710
L1-D.loads-where-L1,94489
L1-D.loads-where-L2,1347
L1-D.loads-where-L3,256
L1-D.loads-where-dram-local,3085
L1-D.loads-where-dram-remote,3070
L1-D.store-misses,4026
L1-D.store-misses-E,1876
L1-D.store-misses-I,2150
L1-D.stores,56116
L1-D.stores-E,1876
L1-D.stores-I,2150
L1-D.stores-M,52090
L1-D.stores-where-L1,52090
L1-D.stores-where-L2,109
L1-D.stores-where-L3,3917
L1-D.total-latency,609623854800
L1-I.access-mru-0,42591
L1-I.access-mru-1,1191
L1-I.access-mru-2,214
L1-I.access-mru-3,43
L1-I.backinval-E,548
L1-I.coherency-downgrades,1
L1-I.evict-E,339
L1-I.load-misses,1279
L1-I.load-misses-I,1279
L1-I.loads,45318
L1-I.loads-E,44038
L1-I.loads-I,1279
L1-I.loads-S,1
L1-I.loads-where-L1I,44039
L1-I.loads-where-L2,17
L1-I.loads-where-L3,144
L1-I.loads-where-dram-local,563
L1-I.loads-where-dram-remote,555
L1-I.total-latency,81247382450
L2.access-mru-0,380
L2.access-mru-1,374
L2.access-mru-2,319
L2.access-mru-3,193
L2.access-mru-4,115
L2.access-mru-5,52
L2.access-mru-6,27
L2.access-mru-7,13
L2.evict-E,3849
L2.evict-M,1762
