metric,value
timestamp,2026-07-02T00:30:12
workload,BFS
strategy,Packed
bench_class,S
num_threads,12
output_dir,Outputs/sizeS/12TH/BFS_S_Packed_12TH_20260702_001946
cpu_map,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
p_core_count,8
e_core_count,4
node0_threads,8
node1_threads,4
sim_time_ms,7.4881
total_instructions,44906499
avg_ipc,0.2223
avg_ipc_p,0.1387
avg_ipc_e,0.3896
total_power_W,7.6226
dynamic_W,2.8038
leakage_W,4.8
dram_W,0.0187
energy_J,0.057079
node0_reads,10969
node1_reads,10888
node0_pct,50.1853
dram_local,5764
dram_remote,5690
dram_remote_pct,49.677
l1d_miss_pct,0.9744
l2_miss_pct,82.8488
l3_miss_pct,17.8648
l1d_mpki,1.7233
l2_mpki,1.4277
l3_mpki,0.2551
l3_miss_count,11454
cpi_base_frac,0.7664
cpi_branch_frac,0.1512
cpi_l2_frac,0.0
cpi_l3_frac,0.0662
cpi_dram_local_frac,0.0078
cpi_dram_remote_frac,0.0084
futex_wake_count,34
futex_wait_count,11
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,3.0879
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,2438691
L1-D.access-mru-0.c1,556221
L1-D.access-mru-0.c10,618762
L1-D.access-mru-0.c11,616983
L1-D.access-mru-0.c2,561988
L1-D.access-mru-0.c3,536391
L1-D.access-mru-0.c4,563030
L1-D.access-mru-0.c5,549283
L1-D.access-mru-0.c6,509664
L1-D.access-mru-0.c7,551182
L1-D.access-mru-0.c8,604489
L1-D.access-mru-0.c9,596757
L1-D.access-mru-0.node0,6266450
L1-D.access-mru-0.node1,2436991
L1-D.access-mru-0.total,8703441
L1-D.access-mru-1.c0,126592
L1-D.access-mru-1.c1,4231
L1-D.access-mru-1.c10,4222
L1-D.access-mru-1.c11,4098
L1-D.access-mru-1.c2,4064
L1-D.access-mru-1.c3,4472
L1-D.access-mru-1.c4,4106
L1-D.access-mru-1.c5,4117
L1-D.access-mru-1.c6,5291
L1-D.access-mru-1.c7,4255
L1-D.access-mru-1.c8,4319
L1-D.access-mru-1.c9,4383
L1-D.access-mru-1.node0,157128
L1-D.access-mru-1.node1,17022
L1-D.access-mru-1.total,174150
L1-D.access-mru-2.c0,45355
L1-D.access-mru-2.c1,464
L1-D.access-mru-2.c10,477
L1-D.access-mru-2.c11,466
L1-D.access-mru-2.c2,467
