metric,value
timestamp,2026-07-09T20:37:17
workload,BT
strategy,AKARIN_a015_3
bench_class,S
num_threads,12
output_dir,Outputs/sizeS/12TH/BT_S_AKARIN_a015_3_12TH_20260709_195844
cpu_map,"[12, 9, 8, 10, 14, 15, 1, 0, 3, 2, 13, 11]"
p_core_count,8
e_core_count,4
node0_threads,4
node1_threads,8
sim_time_ms,11.2997
total_instructions,778649580
avg_ipc,2.832
avg_ipc_p,1.4552
avg_ipc_e,5.5858
total_power_W,34.0974
dynamic_W,29.2828
leakage_W,4.8
dram_W,0.0146
energy_J,0.38529
node0_reads,13087
node1_reads,12624
node0_pct,50.9004
node0_writes,3
node1_writes,4
dram_local,8031
dram_remote,18372
dram_remote_pct,69.583
l1d_miss_pct,0.3748
l2_miss_pct,52.6469
l3_miss_pct,6.7973
l1d_mpki,0.9476
l2_mpki,0.4989
l3_mpki,0.0339
l3_miss_count,26403
cpi_base_frac,0.9678
cpi_branch_frac,0.003
cpi_l2_frac,0.0
cpi_l3_frac,0.0252
cpi_dram_local_frac,0.0009
cpi_dram_remote_frac,0.003
futex_wake_count,880
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,13.2125
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,26346784
L1-D.access-mru-0.c1,26058634
L1-D.access-mru-0.c10,10429399
L1-D.access-mru-0.c11,12134591
L1-D.access-mru-0.c2,26118842
L1-D.access-mru-0.c3,26067263
L1-D.access-mru-0.c4,23766728
L1-D.access-mru-0.c5,25984101
L1-D.access-mru-0.c6,26097822
L1-D.access-mru-0.c7,26048895
L1-D.access-mru-0.c8,23771744
L1-D.access-mru-0.c9,23851430
L1-D.access-mru-0.node0,99769891
L1-D.access-mru-0.node1,176906342
L1-D.access-mru-0.total,276676233
L1-D.access-mru-1.c0,1044141
L1-D.access-mru-1.c1,948985
L1-D.access-mru-1.c10,4453
L1-D.access-mru-1.c11,3785
L1-D.access-mru-1.c2,947106
L1-D.access-mru-1.c3,948593
L1-D.access-mru-1.c4,1268161
L1-D.access-mru-1.c5,1006608
L1-D.access-mru-1.c6,959715
L1-D.access-mru-1.c7,921267
L1-D.access-mru-1.c8,1146799
L1-D.access-mru-1.c9,1106513
L1-D.access-mru-1.node0,4134294
L1-D.access-mru-1.node1,6171832
L1-D.access-mru-1.total,10306126
L1-D.access-mru-2.c0,250869
L1-D.access-mru-2.c1,272817
L1-D.access-mru-2.c10,495
L1-D.access-mru-2.c11,1512
L1-D.access-mru-2.c2,280402
L1-D.access-mru-2.c3,274614
L1-D.access-mru-2.c4,317054
L1-D.access-mru-2.c5,280417
L1-D.access-mru-2.c6,273529
L1-D.access-mru-2.c7,283374
L1-D.access-mru-2.c8,297675
L1-D.access-mru-2.c9,304165
L1-D.access-mru-2.node0,1158743
L1-D.access-mru-2.node1,1678180
L1-D.access-mru-2.total,2836923
L1-D.access-mru-3.c0,113143
L1-D.access-mru-3.c1,105688
L1-D.access-mru-3.c10,1036
L1-D.access-mru-3.c11,6241
L1-D.access-mru-3.c2,114717
L1-D.access-mru-3.c3,112683
L1-D.access-mru-3.c4,215616
L1-D.access-mru-3.c5,114047
