                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   57678961 |   58010216 |   58093887 |   58175962 |   61834522 |   62021518 |   63494853 |   64667742 |   60781453 |   60798040 |   65479281 |   66021762
  Cycles                             |   23853700 |   23853700 |   23853700 |   23853700 |   95414800 |   95414800 |   95414800 |   95414800 |   23853700 |   23853700 |   23853700 |   23853700
  IPC                                |       2.42 |       2.43 |       2.44 |       2.44 |       0.65 |       0.65 |       0.67 |       0.68 |       2.55 |       2.55 |       2.75 |       2.77
  Time (ns)                          |   23853700 |   23853700 |   23853700 |   23853700 |   23853700 |   23853700 |   23853700 |   23853700 |   23853700 |   23853700 |   23853700 |   23853700
  Idle time (ns)                     |        316 |     559096 |     561706 |     564082 |     566358 |     568564 |     570776 |     573002 |     575304 |     577657 |     579850 |     582371
  Idle time (%)                      |       0.0% |       2.3% |       2.4% |       2.4% |       2.4% |       2.4% |       2.4% |       2.4% |       2.4% |       2.4% |       2.4% |       2.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     579805 |     988000 |    1016579 |    1043787 |    2263413 |    2325744 |    3053619 |    3444582 |    2149174 |    2154354 |   21596037 |   21776864
  num incorrect                      |      11537 |       3672 |       3606 |       3693 |       3691 |       3692 |       3128 |       3128 |       3077 |       3197 |       1032 |       1030
  misprediction rate                 |      1.95% |      0.37% |      0.35% |      0.35% |      0.16% |      0.16% |      0.10% |      0.09% |      0.14% |      0.15% |      0.00% |      0.00%
  mpki                               |       0.20 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    5469738 |    5275573 |    5275382 |    5275382 |    5275382 |    5275382 |    5211212 |    5211212 |    5211212 |    5211212 |      81881 |      81882
    num misses                       |        209 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         31 |         31
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.04% |      0.04%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   26531635 |   26079301 |   26092169 |   26105960 |   26715598 |   26746764 |   26765328 |   26960809 |   26313084 |   26316249 |   11141956 |   11232371
    num misses                       |       7632 |       1941 |       1128 |       4098 |       2931 |       3233 |       6284 |        946 |       5739 |       4052 |         48 |         57
    miss rate                        |      0.03% |      0.01% |      0.00% |      0.02% |      0.01% |      0.01% |      0.02% |      0.00% |      0.02% |      0.02% |      0.00% |      0.00%
    mpki                             |       0.13 |       0.03 |       0.02 |       0.07 |       0.05 |       0.05 |       0.10 |       0.01 |       0.09 |       0.07 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       7841 |       1979 |       1166 |       4136 |       2969 |       3271 |       6322 |        984 |       5777 |       4090 |         79 |         88
    num misses                       |        624 |        148 |        134 |        134 |        135 |        135 |        132 |        131 |        133 |        129 |         79 |         84
    miss rate                        |      7.96% |      7.48% |     11.49% |      3.24% |      4.55% |      4.13% |      2.09% |     13.31% |      2.30% |      3.15% |    100.00% |     95.45%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5469738 |    5275573 |    5275382 |    5275382 |    5275382 |    5275382 |    5211212 |    5211212 |    5211212 |    5211212 |      81881 |      81882
    num cache misses                 |      76500 |      56844 |      57284 |      56819 |      56781 |      56781 |      54583 |      54583 |      54584 |      54705 |        221 |        222
    miss rate                        |      1.40% |      1.08% |      1.09% |      1.08% |      1.08% |      1.08% |      1.05% |      1.05% |      1.05% |      1.05% |      0.27% |      0.27%
    mpki                             |       1.33 |       0.98 |       0.99 |       0.98 |       0.92 |       0.92 |       0.86 |       0.84 |       0.90 |       0.90 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   26531635 |   26079301 |   26092169 |   26105960 |   26715598 |   26746764 |   26765328 |   26960809 |   26313084 |   26316249 |   11141956 |   11232371
    num cache misses                 |     429119 |     378523 |     373524 |     378216 |     383157 |     375236 |     344602 |     358761 |     347726 |     347031 |      30760 |      31065
    miss rate                        |      1.62% |      1.45% |      1.43% |      1.45% |      1.43% |      1.40% |      1.29% |      1.33% |      1.32% |      1.32% |      0.28% |      0.28%
    mpki                             |       7.44 |       6.53 |       6.43 |       6.50 |       6.20 |       6.05 |       5.43 |       5.55 |       5.72 |       5.71 |       0.47 |       0.47
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     518922 |     446574 |     443114 |     446559 |     451510 |     443404 |     410574 |     430435 |     415429 |     416447 |      31301 |      31619
    num cache misses                 |      84051 |      67000 |      67794 |      67657 |      67510 |      67248 |      50797 |      51676 |      59380 |      53102 |      12734 |       8099
    miss rate                        |     16.20% |     15.00% |     15.30% |     15.15% |     14.95% |     15.17% |     12.37% |     12.01% |     14.29% |     12.75% |     40.68% |     25.61%
    mpki                             |       1.46 |       1.15 |       1.17 |       1.16 |       1.09 |       1.08 |       0.80 |       0.80 |       0.98 |       0.87 |       0.19 |       0.12
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     109040 |      87952 |      89702 |      87991 |      87951 |      87384 |      71056 |      77637 |      80272 |      77407 |      22347 |      15394
    num cache misses                 |      21175 |       5371 |       4540 |       4436 |       4454 |       8077 |       4903 |      30010 |      29592 |      21264 |       3668 |       7378
    miss rate                        |     19.42% |      6.11% |      5.06% |      5.04% |      5.06% |      9.24% |      6.90% |     38.65% |     36.86% |     27.47% |     16.41% |     47.93%
    mpki                             |       0.37 |       0.09 |       0.08 |       0.08 |       0.07 |       0.13 |       0.08 |       0.46 |       0.49 |       0.35 |       0.06 |       0.11
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      10065 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      10026 |          0 |          0 |          0
  average dram access latency (ns)   |      62.89 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      62.55 |        inf |        inf |        inf
  average dram queueing delay        |       1.64 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.30 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       6830 |         67 |         51 |         53 |         52 |         51 |         61 |         51 |          4 |         48 |         53 |         15
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
