                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   59848270 |   60847265 |   60798464 |   60650984 |   57509137 |   57605270 |   59682684 |   61011489 |   62660481 |   62778303 |   68064186 |   68431109
  Cycles                             |   93984800 |   93984800 |   93984800 |   93984800 |   23496200 |   23496200 |   23496200 |   23496200 |   93984800 |   93984800 |   93984800 |   93984800
  IPC                                |       0.64 |       0.65 |       0.65 |       0.65 |       2.45 |       2.45 |       2.54 |       2.60 |       0.67 |       0.67 |       0.72 |       0.73
  Time (ns)                          |   23496200 |   23496200 |   23496200 |   23496200 |   23496200 |   23496200 |   23496200 |   23496200 |   23496200 |   23496200 |   23496200 |   23496200
  Idle time (ns)                     |        428 |     495940 |     498543 |     500870 |     503060 |     505286 |     507463 |     509650 |     511844 |     514036 |     516292 |     518496
  Idle time (%)                      |       0.0% |       2.1% |       2.1% |       2.1% |       2.1% |       2.2% |       2.2% |       2.2% |       2.2% |       2.2% |       2.2% |       2.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1303646 |    1933905 |    1918056 |    1868898 |     821354 |     853489 |    1782668 |    2225660 |    2775494 |    2814762 |   22457642 |   22579947
  num incorrect                      |      11974 |       3705 |       3696 |       3694 |       3546 |       3651 |       3033 |       3085 |       3130 |       3133 |       1090 |       1090
  misprediction rate                 |      0.91% |      0.19% |      0.19% |      0.20% |      0.43% |      0.43% |      0.17% |      0.14% |      0.11% |      0.11% |      0.00% |      0.00%
  mpki                               |       0.20 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    5469486 |    5275573 |    5275382 |    5275382 |    5275235 |    5275382 |    5211212 |    5211212 |    5211212 |    5211212 |      81881 |      81882
    num misses                       |        249 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         31 |         31
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.04% |      0.04%
