metric,value
timestamp,2026-07-02T00:38:10
workload,CC
strategy,Scatter
bench_class,S
num_threads,12
output_dir,Outputs/sizeS/12TH/CC_S_Scatter_12TH_20260702_001946
cpu_map,"[0, 8, 1, 9, 2, 10, 3, 11, 4, 12, 5, 13]"
p_core_count,8
e_core_count,4
node0_threads,6
node1_threads,6
sim_time_ms,7.4766
total_instructions,43209528
avg_ipc,0.2196
avg_ipc_p,0.131
avg_ipc_e,0.3966
total_power_W,7.5101
dynamic_W,2.6914
leakage_W,4.8
dram_W,0.0187
energy_J,0.05615
node0_reads,10914
node1_reads,10846
node0_pct,50.1562
dram_local,5605
dram_remote,5577
dram_remote_pct,49.8748
l1d_miss_pct,0.9648
l2_miss_pct,82.0004
l3_miss_pct,18.4634
l1d_mpki,1.7093
l2_mpki,1.4016
l3_mpki,0.2588
l3_miss_count,11182
cpi_base_frac,0.7819
cpi_branch_frac,0.1606
cpi_l2_frac,0.0
cpi_l3_frac,0.0409
cpi_dram_local_frac,0.008
cpi_dram_remote_frac,0.0086
futex_wake_count,34
futex_wait_count,11
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,3.0891
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,2447581
L1-D.access-mru-0.c1,549805
L1-D.access-mru-0.c10,554099
L1-D.access-mru-0.c11,548978
L1-D.access-mru-0.c2,554096
L1-D.access-mru-0.c3,530218
L1-D.access-mru-0.c4,554512
L1-D.access-mru-0.c5,541533
L1-D.access-mru-0.c6,508031
L1-D.access-mru-0.c7,554287
L1-D.access-mru-0.c8,548764
L1-D.access-mru-0.c9,539773
L1-D.access-mru-0.node0,5167083
L1-D.access-mru-0.node1,3264594
L1-D.access-mru-0.total,8431677
L1-D.access-mru-1.c0,120489
L1-D.access-mru-1.c1,4031
L1-D.access-mru-1.c10,3933
L1-D.access-mru-1.c11,3873
L1-D.access-mru-1.c2,3849
L1-D.access-mru-1.c3,4280
L1-D.access-mru-1.c4,3934
L1-D.access-mru-1.c5,3935
L1-D.access-mru-1.c6,4840
L1-D.access-mru-1.c7,4198
L1-D.access-mru-1.c8,3998
L1-D.access-mru-1.c9,4125
L1-D.access-mru-1.node0,141043
L1-D.access-mru-1.node1,24442
L1-D.access-mru-1.total,165485
L1-D.access-mru-2.c0,42750
L1-D.access-mru-2.c1,477
L1-D.access-mru-2.c10,471
L1-D.access-mru-2.c11,442
L1-D.access-mru-2.c2,425
L1-D.access-mru-2.c3,520
L1-D.access-mru-2.c4,457
L1-D.access-mru-2.c5,421
L1-D.access-mru-2.c6,588
L1-D.access-mru-2.c7,455
L1-D.access-mru-2.c8,417
L1-D.access-mru-2.c9,481
L1-D.access-mru-2.node0,45108
L1-D.access-mru-2.node1,2796
L1-D.access-mru-2.total,47904
L1-D.access-mru-3.c0,13733
L1-D.access-mru-3.c1,93
L1-D.access-mru-3.c10,105
L1-D.access-mru-3.c11,80
L1-D.access-mru-3.c2,92
L1-D.access-mru-3.c3,107
L1-D.access-mru-3.c4,97
L1-D.access-mru-3.c5,100
L1-D.access-mru-3.c6,275
L1-D.access-mru-3.c7,95
L1-D.access-mru-3.c8,81
L1-D.access-mru-3.c9,109
L1-D.access-mru-3.node0,14383
L1-D.access-mru-3.node1,584
L1-D.access-mru-3.total,14967
L1-D.access-mru-4.c0,4648
L1-D.access-mru-4.c1,57
L1-D.access-mru-4.c10,51
L1-D.access-mru-4.c11,50
L1-D.access-mru-4.c2,44
L1-D.access-mru-4.c3,53
L1-D.access-mru-4.c4,62
L1-D.access-mru-4.c5,52
L1-D.access-mru-4.c6,135
L1-D.access-mru-4.c7,49
L1-D.access-mru-4.c8,38
L1-D.access-mru-4.c9,45
L1-D.access-mru-4.node0,4978
L1-D.access-mru-4.node1,306
L1-D.access-mru-4.total,5284
L1-D.access-mru-5.c0,2272
L1-D.access-mru-5.c1,65
L1-D.access-mru-5.c10,59
L1-D.access-mru-5.c11,70
L1-D.access-mru-5.c2,67
L1-D.access-mru-5.c3,52
L1-D.access-mru-5.c4,81
L1-D.access-mru-5.c5,53
L1-D.access-mru-5.c6,55
L1-D.access-mru-5.c7,81
L1-D.access-mru-5.c8,59
L1-D.access-mru-5.c9,47
L1-D.access-mru-5.node0,2593
L1-D.access-mru-5.node1,368
L1-D.access-mru-5.total,2961
L1-D.access-mru-6.c0,1334
L1-D.access-mru-6.c1,175
L1-D.access-mru-6.c10,178
L1-D.access-mru-6.c11,174
L1-D.access-mru-6.c2,178
L1-D.access-mru-6.c3,158
L1-D.access-mru-6.c4,157
L1-D.access-mru-6.c5,173
L1-D.access-mru-6.c6,155
L1-D.access-mru-6.c7,196
L1-D.access-mru-6.c8,175
L1-D.access-mru-6.c9,177
L1-D.access-mru-6.node0,2177
L1-D.access-mru-6.node1,1053
L1-D.access-mru-6.total,3230
L1-D.access-mru-7.c0,974
L1-D.access-mru-7.c1,216
L1-D.access-mru-7.c10,192
L1-D.access-mru-7.c11,197
L1-D.access-mru-7.c2,243
L1-D.access-mru-7.c3,204
L1-D.access-mru-7.c4,199
L1-D.access-mru-7.c5,216
L1-D.access-mru-7.c6,167
L1-D.access-mru-7.c7,181
L1-D.access-mru-7.c8,231
L1-D.access-mru-7.c9,203
L1-D.access-mru-7.node0,2006
L1-D.access-mru-7.node1,1217
L1-D.access-mru-7.total,3223
L1-D.coherency-downgrades.c0,1199
L1-D.coherency-downgrades.c1,607
L1-D.coherency-downgrades.c10,55
L1-D.coherency-downgrades.c11,95
L1-D.coherency-downgrades.c2,442
L1-D.coherency-downgrades.c3,379
L1-D.coherency-downgrades.c4,305
L1-D.coherency-downgrades.c5,223
L1-D.coherency-downgrades.c6,79
L1-D.coherency-downgrades.c7,69
L1-D.coherency-downgrades.c8,66
L1-D.coherency-downgrades.c9,85
L1-D.coherency-downgrades.node0,2146
L1-D.coherency-downgrades.node1,1458
L1-D.coherency-downgrades.total,3604
L1-D.coherency-invalidates.c0,80
L1-D.coherency-invalidates.c1,43
L1-D.coherency-invalidates.c10,186
L1-D.coherency-invalidates.c11,210
L1-D.coherency-invalidates.c2,39
L1-D.coherency-invalidates.c3,48
L1-D.coherency-invalidates.c4,30
L1-D.coherency-invalidates.c5,20
L1-D.coherency-invalidates.c6,180
L1-D.coherency-invalidates.c7,186
L1-D.coherency-invalidates.c8,177
L1-D.coherency-invalidates.c9,188
L1-D.coherency-invalidates.node0,692
L1-D.coherency-invalidates.node1,695
L1-D.coherency-invalidates.total,1387
L1-D.coherency-upgrades.c0,23
L1-D.coherency-upgrades.c1,119
L1-D.coherency-upgrades.c10,9
L1-D.coherency-upgrades.c11,8
L1-D.coherency-upgrades.c2,127
L1-D.coherency-upgrades.c3,115
L1-D.coherency-upgrades.c4,123
L1-D.coherency-upgrades.c5,120
L1-D.coherency-upgrades.c6,7
L1-D.coherency-upgrades.c7,10
L1-D.coherency-upgrades.c8,10
L1-D.coherency-upgrades.c9,11
L1-D.coherency-upgrades.node0,299
L1-D.coherency-upgrades.node1,383
L1-D.coherency-upgrades.total,682
L1-D.coherency-writebacks.c0,7396
L1-D.coherency-writebacks.c1,7451
L1-D.coherency-writebacks.c10,7319
L1-D.coherency-writebacks.c11,7317
L1-D.coherency-writebacks.c2,7430
L1-D.coherency-writebacks.c3,7361
L1-D.coherency-writebacks.c4,7358
L1-D.coherency-writebacks.c5,7353
L1-D.coherency-writebacks.c6,7337
L1-D.coherency-writebacks.c7,7338
L1-D.coherency-writebacks.c8,7329
L1-D.coherency-writebacks.c9,7308
L1-D.coherency-writebacks.node0,44169
L1-D.coherency-writebacks.node1,44128
L1-D.coherency-writebacks.total,88297
L1-D.evict-E.c0,13603
L1-D.evict-E.c3,18
L1-D.evict-E.node0,13603
L1-D.evict-E.node1,18
L1-D.evict-E.total,13621
L1-D.evict-M.c0,11733
L1-D.evict-M.c1,810
L1-D.evict-M.c10,802
L1-D.evict-M.c11,784
L1-D.evict-M.c2,810
L1-D.evict-M.c3,1181
L1-D.evict-M.c4,744
L1-D.evict-M.c5,969
L1-D.evict-M.c6,1283
L1-D.evict-M.c7,762
L1-D.evict-M.c8,952
L1-D.evict-M.c9,1020
L1-D.evict-M.node0,16324
L1-D.evict-M.node1,5526
L1-D.evict-M.total,21850
L1-D.evict-S.c0,956
L1-D.evict-S.c1,221
L1-D.evict-S.c10,248
L1-D.evict-S.c11,185
L1-D.evict-S.c2,211
L1-D.evict-S.c3,183
L1-D.evict-S.c4,267
L1-D.evict-S.c5,242
L1-D.evict-S.c6,278
L1-D.evict-S.c7,257
L1-D.evict-S.c8,260
L1-D.evict-S.c9,271
L1-D.evict-S.node0,2220
L1-D.evict-S.node1,1359
L1-D.evict-S.total,3579
L1-D.load-misses-E,2
L1-D.load-misses-I.c0,24783
L1-D.load-misses-I.c1,6119
L1-D.load-misses-I.c10,6027
L1-D.load-misses-I.c11,6005
L1-D.load-misses-I.c2,6079
L1-D.load-misses-I.c3,6320
L1-D.load-misses-I.c4,5999
L1-D.load-misses-I.c5,6139
L1-D.load-misses-I.c6,6488
L1-D.load-misses-I.c7,6060
L1-D.load-misses-I.c8,6194
L1-D.load-misses-I.c9,6217
L1-D.load-misses-I.node0,55570
L1-D.load-misses-I.node1,36860
L1-D.load-misses-I.total,92430
L1-D.load-misses-S.c0,1
L1-D.load-misses-S.c10,3
L1-D.load-misses-S.c4,1
L1-D.load-misses-S.c5,1
L1-D.load-misses-S.c6,2
L1-D.load-misses-S.c8,4
L1-D.load-misses-S.node0,11
L1-D.load-misses-S.node1,1
L1-D.load-misses-S.total,12
L1-D.load-misses.c0,24786
L1-D.load-misses.c1,6119
L1-D.load-misses.c10,6030
L1-D.load-misses.c11,6005
L1-D.load-misses.c2,6079
L1-D.load-misses.c3,6320
L1-D.load-misses.c4,6000
L1-D.load-misses.c5,6140
L1-D.load-misses.c6,6490
L1-D.load-misses.c7,6060
L1-D.load-misses.c8,6198
L1-D.load-misses.c9,6217
L1-D.load-misses.node0,55583
L1-D.load-misses.node1,36861
L1-D.load-misses.total,92444
L1-D.loads-E.c0,167102
L1-D.loads-E.c1,138
L1-D.loads-E.c2,103
L1-D.loads-E.c3,137
L1-D.loads-E.c4,19
