metric,value
timestamp,2026-07-11T07:33:22
workload,GUPS
strategy,AKARIN
bench_class,S
num_threads,12
output_dir,Outputs/sizeS/12TH/GUPS_S_AKARIN_12TH_20260711_032936
cpu_map,"[0, 9, 13, 11, 15, 12, 14, 10, 8, 7, 6, 5]"
p_core_count,5
e_core_count,7
node0_threads,4
node1_threads,8
sim_time_ms,121.2838
total_instructions,1277757105
avg_ipc,0.5894
avg_ipc_p,0.6134
avg_ipc_e,0.5814
total_power_W,8.6713
dynamic_W,4.7547
leakage_W,2.5
dram_W,1.4166
energy_J,1.05169
node0_reads,19949484
node1_reads,388
node0_pct,99.9981
node0_writes,9806196
node1_writes,167
dram_local,13052684
dram_remote,6369057
dram_remote_pct,32.7934
l1d_miss_pct,82.0465
l2_miss_pct,95.8935
l3_miss_pct,62.7988
l1d_mpki,25.2406
l2_mpki,24.2041
l3_mpki,15.1999
l3_miss_count,19421741
cpi_base_frac,0.7679
cpi_branch_frac,0.0095
cpi_l2_frac,0.0023
cpi_l3_frac,0.032
cpi_dram_local_frac,0.12
cpi_dram_remote_frac,0.0684
futex_wake_count,6
futex_wait_count,22
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.0242
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,2719280
L1-D.access-mru-0.c10,1139855
L1-D.access-mru-0.c11,1169707
L1-D.access-mru-0.c12,1143296
L1-D.access-mru-0.c13,1159461
L1-D.access-mru-0.c14,1154519
L1-D.access-mru-0.c15,1144940
L1-D.access-mru-0.c5,852999
L1-D.access-mru-0.c6,1136871
L1-D.access-mru-0.c7,1070441
L1-D.access-mru-0.c8,1126379
L1-D.access-mru-0.c9,1126892
L1-D.access-mru-0.node0,5779591
L1-D.access-mru-0.node1,9165049
L1-D.access-mru-0.total,14944640
L1-D.access-mru-1.c0,33151
L1-D.access-mru-1.c10,442
L1-D.access-mru-1.c11,1611
L1-D.access-mru-1.c12,516
L1-D.access-mru-1.c13,1401
L1-D.access-mru-1.c14,812
L1-D.access-mru-1.c15,420
L1-D.access-mru-1.c5,930
L1-D.access-mru-1.c6,339
L1-D.access-mru-1.c7,296
L1-D.access-mru-1.c8,304
L1-D.access-mru-1.c9,3345
L1-D.access-mru-1.node0,34716
L1-D.access-mru-1.node1,8851
L1-D.access-mru-1.total,43567
L1-D.access-mru-2.c0,21660
L1-D.access-mru-2.c10,308
L1-D.access-mru-2.c11,891
L1-D.access-mru-2.c12,452
L1-D.access-mru-2.c13,1066
L1-D.access-mru-2.c14,563
L1-D.access-mru-2.c15,347
L1-D.access-mru-2.c5,711
L1-D.access-mru-2.c6,344
L1-D.access-mru-2.c7,288
L1-D.access-mru-2.c8,309
L1-D.access-mru-2.c9,2524
L1-D.access-mru-2.node0,23003
L1-D.access-mru-2.node1,6460
L1-D.access-mru-2.total,29463
L1-D.access-mru-3.c0,18339
L1-D.access-mru-3.c10,346
L1-D.access-mru-3.c11,894
L1-D.access-mru-3.c12,437
L1-D.access-mru-3.c13,1143
L1-D.access-mru-3.c14,505
L1-D.access-mru-3.c15,282
L1-D.access-mru-3.c5,589
L1-D.access-mru-3.c6,310
L1-D.access-mru-3.c7,314
L1-D.access-mru-3.c8,343
L1-D.access-mru-3.c9,2456
L1-D.access-mru-3.node0,19552
L1-D.access-mru-3.node1,6406
L1-D.access-mru-3.total,25958
L1-D.access-mru-4.c0,16212
L1-D.access-mru-4.c10,333
L1-D.access-mru-4.c11,976
L1-D.access-mru-4.c12,416
L1-D.access-mru-4.c13,1155
L1-D.access-mru-4.c14,441
L1-D.access-mru-4.c15,362
L1-D.access-mru-4.c5,407
L1-D.access-mru-4.c6,267
L1-D.access-mru-4.c7,326
L1-D.access-mru-4.c8,349
L1-D.access-mru-4.c9,2287
L1-D.access-mru-4.node0,17212
L1-D.access-mru-4.node1,6319
L1-D.access-mru-4.total,23531
L1-D.access-mru-5.c0,14518
L1-D.access-mru-5.c10,357
L1-D.access-mru-5.c11,1042
L1-D.access-mru-5.c12,456
L1-D.access-mru-5.c13,977
L1-D.access-mru-5.c14,425
L1-D.access-mru-5.c15,343
L1-D.access-mru-5.c5,355
L1-D.access-mru-5.c6,229
L1-D.access-mru-5.c7,339
L1-D.access-mru-5.c8,314
L1-D.access-mru-5.c9,2034
L1-D.access-mru-5.node0,15441
L1-D.access-mru-5.node1,5948
L1-D.access-mru-5.total,21389
L1-D.access-mru-6.c0,13774
L1-D.access-mru-6.c10,308
L1-D.access-mru-6.c11,1072
L1-D.access-mru-6.c12,401
L1-D.access-mru-6.c13,726
L1-D.access-mru-6.c14,381
L1-D.access-mru-6.c15,376
L1-D.access-mru-6.c5,329
L1-D.access-mru-6.c6,197
L1-D.access-mru-6.c7,332
L1-D.access-mru-6.c8,293
L1-D.access-mru-6.c9,1852
L1-D.access-mru-6.node0,14632
L1-D.access-mru-6.node1,5409
L1-D.access-mru-6.total,20041
L1-D.access-mru-7.c0,12620
L1-D.access-mru-7.c10,321
L1-D.access-mru-7.c11,1035
L1-D.access-mru-7.c12,354
L1-D.access-mru-7.c13,607
L1-D.access-mru-7.c14,365
L1-D.access-mru-7.c15,415
L1-D.access-mru-7.c5,279
L1-D.access-mru-7.c6,194
L1-D.access-mru-7.c7,262
L1-D.access-mru-7.c8,303
L1-D.access-mru-7.c9,1625
L1-D.access-mru-7.node0,13355
L1-D.access-mru-7.node1,5025
L1-D.access-mru-7.total,18380
L1-D.backinval-E.c0,535
L1-D.backinval-E.c11,8
L1-D.backinval-E.c13,6
L1-D.backinval-E.c5,2
L1-D.backinval-E.c6,2
L1-D.backinval-E.c7,2
L1-D.backinval-E.node0,541
L1-D.backinval-E.node1,14
L1-D.backinval-E.total,555
L1-D.backinval-M.c0,422
L1-D.backinval-M.c10,354
L1-D.backinval-M.c11,522
L1-D.backinval-M.c12,451
L1-D.backinval-M.c13,371
L1-D.backinval-M.c14,636
L1-D.backinval-M.c15,390
L1-D.backinval-M.c5,364
L1-D.backinval-M.c6,350
L1-D.backinval-M.c7,368
L1-D.backinval-M.c8,28
L1-D.backinval-M.c9,474
L1-D.backinval-M.node0,1504
L1-D.backinval-M.node1,3226
L1-D.backinval-M.total,4730
L1-D.backinval-S.c0,4
L1-D.backinval-S.c10,209
L1-D.backinval-S.c11,395
L1-D.backinval-S.c12,259
L1-D.backinval-S.c13,347
L1-D.backinval-S.c14,272
L1-D.backinval-S.c15,236
L1-D.backinval-S.c5,404
L1-D.backinval-S.c6,268
L1-D.backinval-S.c7,261
L1-D.backinval-S.c8,59
L1-D.backinval-S.c9,324
L1-D.backinval-S.node0,937
L1-D.backinval-S.node1,2101
L1-D.backinval-S.total,3038
L1-D.coherency-downgrades.c0,1848
L1-D.coherency-downgrades.c10,3148
L1-D.coherency-downgrades.c11,2316
L1-D.coherency-downgrades.c12,2098
L1-D.coherency-downgrades.c13,2220
L1-D.coherency-downgrades.c14,2664
L1-D.coherency-downgrades.c15,2192
L1-D.coherency-downgrades.c5,2385
L1-D.coherency-downgrades.c6,1725
L1-D.coherency-downgrades.c7,1649
L1-D.coherency-downgrades.c8,2837
L1-D.coherency-downgrades.c9,1916
L1-D.coherency-downgrades.node0,7607
L1-D.coherency-downgrades.node1,19391
L1-D.coherency-downgrades.total,26998
L1-D.coherency-invalidates.c0,1667
L1-D.coherency-invalidates.c10,306
L1-D.coherency-invalidates.c11,6
L1-D.coherency-invalidates.c12,7
L1-D.coherency-invalidates.c13,13
L1-D.coherency-invalidates.c14,11
L1-D.coherency-invalidates.c15,6
L1-D.coherency-invalidates.c5,7
L1-D.coherency-invalidates.c6,6
L1-D.coherency-invalidates.c7,680
L1-D.coherency-invalidates.c8,1547
L1-D.coherency-invalidates.c9,833
L1-D.coherency-invalidates.node0,2360
L1-D.coherency-invalidates.node1,2729
L1-D.coherency-invalidates.total,5089
L1-D.coherency-upgrades.c0,2
L1-D.coherency-upgrades.c10,5
L1-D.coherency-upgrades.c11,6
L1-D.coherency-upgrades.c12,6
L1-D.coherency-upgrades.c13,5
L1-D.coherency-upgrades.c14,5
L1-D.coherency-upgrades.c15,7
L1-D.coherency-upgrades.c5,5
L1-D.coherency-upgrades.c6,7
L1-D.coherency-upgrades.c7,6
L1-D.coherency-upgrades.c8,5
L1-D.coherency-upgrades.c9,4
L1-D.coherency-upgrades.node0,20
L1-D.coherency-upgrades.node1,43
L1-D.coherency-upgrades.total,63
L1-D.coherency-writebacks.c0,64
L1-D.coherency-writebacks.c10,75
L1-D.coherency-writebacks.c11,80
L1-D.coherency-writebacks.c12,53
L1-D.coherency-writebacks.c13,124
L1-D.coherency-writebacks.c14,92
L1-D.coherency-writebacks.c15,109
L1-D.coherency-writebacks.c5,34
