metric,value
timestamp,2026-07-09T01:28:40
workload,GUPS
strategy,AKARIN_a040_7
bench_class,S
num_threads,12
output_dir,Outputs/sizeS/12TH/GUPS_S_AKARIN_a040_7_12TH_20260708_223450
cpu_map,"[0, 12, 14, 10, 2, 4, 3, 1, 5, 6, 15, 7]"
p_core_count,5
e_core_count,7
node0_threads,8
node1_threads,4
sim_time_ms,99.5598
total_instructions,1081160036
avg_ipc,1.7472
avg_ipc_p,0.5447
avg_ipc_e,2.6062
total_power_W,17.8755
dynamic_W,12.2881
leakage_W,3.9
dram_W,1.6874
energy_J,1.779679
node0_reads,9839642
node1_reads,9780164
node0_pct,50.1516
node0_writes,4730193
node1_writes,4699325
dram_local,9573788
dram_remote,9518168
dram_remote_pct,49.8543
l1d_miss_pct,57.1801
l2_miss_pct,95.8334
l3_miss_pct,62.5044
l1d_mpki,29.4804
l2_mpki,28.2521
l3_mpki,17.6588
l3_miss_count,19091956
cpi_base_frac,0.7094
cpi_branch_frac,0.0004
cpi_l2_frac,0.0031
cpi_l3_frac,0.0445
cpi_dram_local_frac,0.12
cpi_dram_remote_frac,0.1226
futex_wake_count,5
futex_wait_count,11
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.0211
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,4176460
L1-D.access-mru-0.c1,2576143
L1-D.access-mru-0.c10,2514761
L1-D.access-mru-0.c11,2229075
L1-D.access-mru-0.c2,2535288
L1-D.access-mru-0.c3,2549974
L1-D.access-mru-0.c4,2525026
L1-D.access-mru-0.c5,2517171
L1-D.access-mru-0.c6,2522008
L1-D.access-mru-0.c7,2481655
L1-D.access-mru-0.c8,2416424
L1-D.access-mru-0.c9,2500079
L1-D.access-mru-0.node0,21367898
L1-D.access-mru-0.node1,10176166
L1-D.access-mru-0.total,31544064
L1-D.access-mru-1.c0,50329
L1-D.access-mru-1.c1,17317
L1-D.access-mru-1.c10,14829
L1-D.access-mru-1.c11,22466
L1-D.access-mru-1.c2,22737
L1-D.access-mru-1.c3,15712
L1-D.access-mru-1.c4,15159
L1-D.access-mru-1.c5,21978
L1-D.access-mru-1.c6,21759
L1-D.access-mru-1.c7,21860
L1-D.access-mru-1.c8,22151
L1-D.access-mru-1.c9,21724
L1-D.access-mru-1.node0,197426
L1-D.access-mru-1.node1,70595
L1-D.access-mru-1.total,268021
L1-D.access-mru-2.c0,21924
L1-D.access-mru-2.c1,2585
L1-D.access-mru-2.c10,483
L1-D.access-mru-2.c11,719
L1-D.access-mru-2.c2,1045
L1-D.access-mru-2.c3,900
L1-D.access-mru-2.c4,501
L1-D.access-mru-2.c5,467
L1-D.access-mru-2.c6,568
L1-D.access-mru-2.c7,289
L1-D.access-mru-2.c8,221
L1-D.access-mru-2.c9,291
L1-D.access-mru-2.node0,24980
L1-D.access-mru-2.node1,5013
L1-D.access-mru-2.total,29993
L1-D.access-mru-3.c0,18270
L1-D.access-mru-3.c1,2445
L1-D.access-mru-3.c10,383
L1-D.access-mru-3.c11,588
