metric,value
timestamp,2026-07-11T07:30:19
workload,GUPS
strategy,MPO
bench_class,S
num_threads,12
output_dir,Outputs/sizeS/12TH/GUPS_S_MPO_12TH_20260711_032936
cpu_map,"[0, 1, 8, 2, 3, 9, 10, 4, 5, 11, 12, 13]"
p_core_count,8
e_core_count,4
node0_threads,6
node1_threads,6
sim_time_ms,121.0419
total_instructions,1277794524
avg_ipc,0.4907
avg_ipc_p,0.4089
avg_ipc_e,0.6053
total_power_W,11.3036
dynamic_W,5.9336
leakage_W,4.1
dram_W,1.27
energy_J,1.368208
node0_reads,18310020
node1_reads,190
node0_pct,99.999
node0_writes,8120085
node1_writes,124
dram_local,13897460
dram_remote,3884649
dram_remote_pct,21.8458
l1d_miss_pct,81.1246
l2_miss_pct,95.2834
l3_miss_pct,61.4255
l1d_mpki,23.777
l2_mpki,22.6555
l3_mpki,13.9163
l3_miss_count,17782109
cpi_base_frac,0.7914
cpi_branch_frac,0.0087
cpi_l2_frac,0.0025
cpi_l3_frac,0.0306
cpi_dram_local_frac,0.1282
cpi_dram_remote_frac,0.0387
futex_wake_count,6
futex_wait_count,22
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.0242
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,2727421
L1-D.access-mru-0.c1,1179097
L1-D.access-mru-0.c10,1149855
L1-D.access-mru-0.c11,1078297
L1-D.access-mru-0.c12,1136373
L1-D.access-mru-0.c13,853977
L1-D.access-mru-0.c2,1139734
L1-D.access-mru-0.c3,1135455
L1-D.access-mru-0.c4,1077930
L1-D.access-mru-0.c5,1110591
L1-D.access-mru-0.c8,1087555
L1-D.access-mru-0.c9,1087205
L1-D.access-mru-0.node0,8370228
L1-D.access-mru-0.node1,6393262
L1-D.access-mru-0.total,14763490
L1-D.access-mru-1.c0,45695
L1-D.access-mru-1.c1,3382
L1-D.access-mru-1.c10,1073
L1-D.access-mru-1.c11,474
L1-D.access-mru-1.c12,338
L1-D.access-mru-1.c13,929
L1-D.access-mru-1.c2,1633
L1-D.access-mru-1.c3,560
L1-D.access-mru-1.c4,357
L1-D.access-mru-1.c5,167
L1-D.access-mru-1.c8,1993
L1-D.access-mru-1.c9,780
L1-D.access-mru-1.node0,51794
L1-D.access-mru-1.node1,5587
L1-D.access-mru-1.total,57381
L1-D.access-mru-2.c0,21305
L1-D.access-mru-2.c1,2526
L1-D.access-mru-2.c10,742
L1-D.access-mru-2.c11,457
L1-D.access-mru-2.c12,344
L1-D.access-mru-2.c13,711
L1-D.access-mru-2.c2,889
L1-D.access-mru-2.c3,460
