metric,value
timestamp,2026-07-09T21:41:11
workload,IS
strategy,AKARIN_a065_11
bench_class,S
num_threads,12
output_dir,Outputs/sizeS/12TH/IS_S_AKARIN_a065_11_12TH_20260709_195844
cpu_map,"[12, 8, 9, 11, 15, 14, 1, 13, 2, 0, 10, 3]"
p_core_count,8
e_core_count,4
node0_threads,4
node1_threads,8
sim_time_ms,2.456
total_instructions,54677449
avg_ipc,0.9486
avg_ipc_p,0.4533
avg_ipc_e,1.9391
total_power_W,15.0398
dynamic_W,10.1619
leakage_W,4.8
dram_W,0.078
energy_J,0.036938
node0_reads,14349
node1_reads,15085
node0_pct,48.7497
node0_writes,451
node1_writes,244
dram_local,10942
dram_remote,19858
dram_remote_pct,64.474
l1d_miss_pct,1.8891
l2_miss_pct,52.4581
l3_miss_pct,23.5728
l1d_mpki,4.5553
l2_mpki,2.3896
l3_mpki,0.5633
l3_miss_count,30800
cpi_base_frac,0.8291
cpi_branch_frac,0.0102
cpi_l2_frac,0.0002
cpi_l3_frac,0.0963
cpi_dram_local_frac,0.0231
cpi_dram_remote_frac,0.0411
futex_wake_count,54
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,10.0392
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,1680681
L1-D.access-mru-0.c1,1466064
L1-D.access-mru-0.c10,1162502
L1-D.access-mru-0.c11,1303476
L1-D.access-mru-0.c2,1470994
L1-D.access-mru-0.c3,1463753
L1-D.access-mru-0.c4,1261393
L1-D.access-mru-0.c5,1392252
L1-D.access-mru-0.c6,1417200
L1-D.access-mru-0.c7,1376191
L1-D.access-mru-0.c8,1191258
L1-D.access-mru-0.c9,1176792
L1-D.access-mru-0.node0,5088726
L1-D.access-mru-0.node1,11273830
L1-D.access-mru-0.total,16362556
L1-D.access-mru-1.c0,109747
L1-D.access-mru-1.c1,86813
L1-D.access-mru-1.c10,94458
L1-D.access-mru-1.c11,59541
L1-D.access-mru-1.c2,77751
L1-D.access-mru-1.c3,76697
L1-D.access-mru-1.c4,117632
L1-D.access-mru-1.c5,69731
L1-D.access-mru-1.c6,69095
L1-D.access-mru-1.c7,75089
L1-D.access-mru-1.c8,98550
L1-D.access-mru-1.c9,93827
L1-D.access-mru-1.node0,321013
L1-D.access-mru-1.node1,707918
L1-D.access-mru-1.total,1028931
L1-D.access-mru-2.c0,20134
L1-D.access-mru-2.c1,12595
L1-D.access-mru-2.c10,18194
L1-D.access-mru-2.c11,14536
L1-D.access-mru-2.c2,12977
L1-D.access-mru-2.c3,12117
L1-D.access-mru-2.c4,22052
L1-D.access-mru-2.c5,13490
L1-D.access-mru-2.c6,12514
L1-D.access-mru-2.c7,11966
L1-D.access-mru-2.c8,19982
