metric,value
timestamp,2026-07-02T00:40:14
workload,IS
strategy,EPO
bench_class,S
num_threads,12
output_dir,Outputs/sizeS/12TH/IS_S_EPO_12TH_20260702_001946
cpu_map,"[4, 5, 6, 7, 12, 13, 14, 15, 0, 1, 2, 3]"
p_core_count,4
e_core_count,8
node0_threads,8
node1_threads,4
sim_time_ms,4.2181
total_instructions,47429994
avg_ipc,0.7052
avg_ipc_p,0.2318
avg_ipc_e,0.9419
total_power_W,8.309
dynamic_W,4.6803
leakage_W,3.6
dram_W,0.0287
energy_J,0.035048
node0_reads,9486
node1_reads,9421
node0_pct,50.1719
dram_local,3202
dram_remote,3183
dram_remote_pct,49.8512
l1d_miss_pct,2.4129
l2_miss_pct,52.2805
l3_miss_pct,4.1348
l1d_mpki,6.2275
l2_mpki,3.2558
l3_mpki,0.1346
l3_miss_count,6385
cpi_base_frac,0.8624
cpi_branch_frac,0.0063
cpi_l2_frac,0.0002
cpi_l3_frac,0.1285
cpi_dram_local_frac,0.0009
cpi_dram_remote_frac,0.0016
futex_wake_count,55
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,12.9374
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,1309064
L1-D.access-mru-0.c1,1183729
L1-D.access-mru-0.c10,1177896
L1-D.access-mru-0.c11,1176381
L1-D.access-mru-0.c2,1168836
L1-D.access-mru-0.c3,1163328
L1-D.access-mru-0.c4,1180529
L1-D.access-mru-0.c5,1170604
L1-D.access-mru-0.c6,1169312
L1-D.access-mru-0.c7,1151175
L1-D.access-mru-0.c8,1208423
L1-D.access-mru-0.c9,1209609
L1-D.access-mru-0.node0,9597266
L1-D.access-mru-0.node1,4671620
L1-D.access-mru-0.total,14268886
L1-D.access-mru-1.c0,94808
L1-D.access-mru-1.c1,76134
L1-D.access-mru-1.c10,71715
L1-D.access-mru-1.c11,74556
L1-D.access-mru-1.c2,78024
L1-D.access-mru-1.c3,76059
L1-D.access-mru-1.c4,80190
L1-D.access-mru-1.c5,76813
L1-D.access-mru-1.c6,76619
L1-D.access-mru-1.c7,77782
L1-D.access-mru-1.c8,79549
L1-D.access-mru-1.c9,80082
L1-D.access-mru-1.node0,630927
L1-D.access-mru-1.node1,311404
L1-D.access-mru-1.total,942331
L1-D.access-mru-2.c0,31258
L1-D.access-mru-2.c1,27921
L1-D.access-mru-2.c10,20697
L1-D.access-mru-2.c11,21359
L1-D.access-mru-2.c2,27741
L1-D.access-mru-2.c3,26585
L1-D.access-mru-2.c4,27290
L1-D.access-mru-2.c5,27980
L1-D.access-mru-2.c6,27516
L1-D.access-mru-2.c7,28077
L1-D.access-mru-2.c8,29212
L1-D.access-mru-2.c9,20299
L1-D.access-mru-2.node0,205072
L1-D.access-mru-2.node1,110863
L1-D.access-mru-2.total,315935
L1-D.access-mru-3.c0,83105
L1-D.access-mru-3.c1,75063
L1-D.access-mru-3.c10,44037
L1-D.access-mru-3.c11,46098
L1-D.access-mru-3.c2,69741
L1-D.access-mru-3.c3,64107
L1-D.access-mru-3.c4,57785
L1-D.access-mru-3.c5,54737
L1-D.access-mru-3.c6,50463
L1-D.access-mru-3.c7,45998
L1-D.access-mru-3.c8,40540
L1-D.access-mru-3.c9,42945
L1-D.access-mru-3.node0,465636
L1-D.access-mru-3.node1,208983
L1-D.access-mru-3.total,674619
L1-D.access-mru-4.c0,28119
L1-D.access-mru-4.c1,26209
L1-D.access-mru-4.c10,20075
L1-D.access-mru-4.c11,18315
L1-D.access-mru-4.c2,26494
L1-D.access-mru-4.c3,27092
L1-D.access-mru-4.c4,27183
L1-D.access-mru-4.c5,25667
L1-D.access-mru-4.c6,24162
L1-D.access-mru-4.c7,23653
L1-D.access-mru-4.c8,23122
L1-D.access-mru-4.c9,21486
L1-D.access-mru-4.node0,190912
L1-D.access-mru-4.node1,100665
L1-D.access-mru-4.total,291577
L1-D.access-mru-5.c0,7017
L1-D.access-mru-5.c1,6287
L1-D.access-mru-5.c10,5954
L1-D.access-mru-5.c11,5645
L1-D.access-mru-5.c2,5813
L1-D.access-mru-5.c3,6029
L1-D.access-mru-5.c4,6239
L1-D.access-mru-5.c5,6023
L1-D.access-mru-5.c6,6314
L1-D.access-mru-5.c7,6245
L1-D.access-mru-5.c8,5967
L1-D.access-mru-5.c9,5900
L1-D.access-mru-5.node0,48612
L1-D.access-mru-5.node1,24821
L1-D.access-mru-5.total,73433
L1-D.access-mru-6.c0,5066
L1-D.access-mru-6.c1,4457
L1-D.access-mru-6.c10,4601
L1-D.access-mru-6.c11,4394
L1-D.access-mru-6.c2,3981
L1-D.access-mru-6.c3,4487
L1-D.access-mru-6.c4,4260
L1-D.access-mru-6.c5,4531
L1-D.access-mru-6.c6,4647
L1-D.access-mru-6.c7,4524
L1-D.access-mru-6.c8,4389
L1-D.access-mru-6.c9,4435
L1-D.access-mru-6.node0,35810
L1-D.access-mru-6.node1,17962
L1-D.access-mru-6.total,53772
L1-D.access-mru-7.c0,3966
L1-D.access-mru-7.c1,3689
L1-D.access-mru-7.c10,4045
L1-D.access-mru-7.c11,3925
L1-D.access-mru-7.c2,3963
L1-D.access-mru-7.c3,3904
L1-D.access-mru-7.c4,4130
L1-D.access-mru-7.c5,3957
L1-D.access-mru-7.c6,3777
L1-D.access-mru-7.c7,4218
L1-D.access-mru-7.c8,3541
L1-D.access-mru-7.c9,3726
L1-D.access-mru-7.node0,30759
L1-D.access-mru-7.node1,16082
L1-D.access-mru-7.total,46841
L1-D.coherency-downgrades.c0,15116
L1-D.coherency-downgrades.c1,14832
L1-D.coherency-downgrades.c10,17706
L1-D.coherency-downgrades.c11,18725
L1-D.coherency-downgrades.c2,15487
L1-D.coherency-downgrades.c3,14082
L1-D.coherency-downgrades.c4,17626
L1-D.coherency-downgrades.c5,17163
L1-D.coherency-downgrades.c6,17555
L1-D.coherency-downgrades.c7,16988
L1-D.coherency-downgrades.c8,18086
L1-D.coherency-downgrades.c9,18192
L1-D.coherency-downgrades.node0,132226
L1-D.coherency-downgrades.node1,69332
L1-D.coherency-downgrades.total,201558
L1-D.coherency-invalidates.c0,2838
L1-D.coherency-invalidates.c1,2921
L1-D.coherency-invalidates.c10,3485
L1-D.coherency-invalidates.c11,3582
L1-D.coherency-invalidates.c2,3221
L1-D.coherency-invalidates.c3,2997
L1-D.coherency-invalidates.c4,3539
L1-D.coherency-invalidates.c5,3389
L1-D.coherency-invalidates.c6,3316
L1-D.coherency-invalidates.c7,3423
L1-D.coherency-invalidates.c8,3404
L1-D.coherency-invalidates.c9,3592
L1-D.coherency-invalidates.node0,26040
L1-D.coherency-invalidates.node1,13667
L1-D.coherency-invalidates.total,39707
L1-D.coherency-upgrades.c0,775
L1-D.coherency-upgrades.c1,1233
L1-D.coherency-upgrades.c10,1820
L1-D.coherency-upgrades.c11,1733
L1-D.coherency-upgrades.c2,1365
L1-D.coherency-upgrades.c3,1177
L1-D.coherency-upgrades.c4,1343
L1-D.coherency-upgrades.c5,1545
L1-D.coherency-upgrades.c6,1398
L1-D.coherency-upgrades.c7,1482
L1-D.coherency-upgrades.c8,1191
L1-D.coherency-upgrades.c9,1403
L1-D.coherency-upgrades.node0,10697
L1-D.coherency-upgrades.node1,5768
L1-D.coherency-upgrades.total,16465
L1-D.coherency-writebacks.c0,16190
L1-D.coherency-writebacks.c1,16112
L1-D.coherency-writebacks.c10,19699
L1-D.coherency-writebacks.c11,20347
L1-D.coherency-writebacks.c2,16789
L1-D.coherency-writebacks.c3,16354
L1-D.coherency-writebacks.c4,17150
L1-D.coherency-writebacks.c5,17957
L1-D.coherency-writebacks.c6,17360
L1-D.coherency-writebacks.c7,17707
L1-D.coherency-writebacks.c8,20026
L1-D.coherency-writebacks.c9,19970
L1-D.coherency-writebacks.node0,145487
L1-D.coherency-writebacks.node1,70174
L1-D.coherency-writebacks.total,215661
L1-D.evict-E.c0,5291
L1-D.evict-E.c11,2
L1-D.evict-E.c2,1
L1-D.evict-E.c3,17
L1-D.evict-E.c9,3
L1-D.evict-E.node0,5314
L1-D.evict-E.node1,0
L1-D.evict-E.total,5314
L1-D.evict-M.c0,38549
L1-D.evict-M.c1,32643
L1-D.evict-M.c10,31095
L1-D.evict-M.c11,31044
L1-D.evict-M.c2,32345
L1-D.evict-M.c3,32684
L1-D.evict-M.c4,32333
L1-D.evict-M.c5,32420
L1-D.evict-M.c6,32219
L1-D.evict-M.c7,31248
L1-D.evict-M.c8,31269
L1-D.evict-M.c9,31666
L1-D.evict-M.node0,261295
L1-D.evict-M.node1,128220
L1-D.evict-M.total,389515
L1-D.evict-S.c0,11036
L1-D.evict-S.c1,10274
L1-D.evict-S.c10,9491
L1-D.evict-S.c11,9570
L1-D.evict-S.c2,9918
L1-D.evict-S.c3,9465
L1-D.evict-S.c4,9295
L1-D.evict-S.c5,8922
L1-D.evict-S.c6,8681
L1-D.evict-S.c7,8235
L1-D.evict-S.c8,10383
L1-D.evict-S.c9,10051
L1-D.evict-S.node0,80188
L1-D.evict-S.node1,35133
L1-D.evict-S.total,115321
L1-D.load-misses-I.c0,43894
L1-D.load-misses-I.c1,34770
L1-D.load-misses-I.c10,36722
L1-D.load-misses-I.c11,36933
L1-D.load-misses-I.c2,34962
L1-D.load-misses-I.c3,34539
L1-D.load-misses-I.c4,35249
L1-D.load-misses-I.c5,35351
L1-D.load-misses-I.c6,34401
L1-D.load-misses-I.c7,34037
L1-D.load-misses-I.c8,37810
L1-D.load-misses-I.c9,37791
L1-D.load-misses-I.node0,297421
L1-D.load-misses-I.node1,139038
L1-D.load-misses-I.total,436459
L1-D.load-misses-S.c0,2
L1-D.load-misses-S.c11,11
L1-D.load-misses-S.node0,13
L1-D.load-misses-S.node1,0
L1-D.load-misses-S.total,13
L1-D.load-misses.c0,43896
L1-D.load-misses.c1,34770
L1-D.load-misses.c10,36722
L1-D.load-misses.c11,36944
L1-D.load-misses.c2,34962
L1-D.load-misses.c3,34539
L1-D.load-misses.c4,35249
L1-D.load-misses.c5,35351
L1-D.load-misses.c6,34401
L1-D.load-misses.c7,34037
L1-D.load-misses.c8,37810
L1-D.load-misses.c9,37791
L1-D.load-misses.node0,297434
L1-D.load-misses.node1,139038
L1-D.load-misses.total,436472
L1-D.loads-E.c0,50610
L1-D.loads-E.c1,77
L1-D.loads-E.c10,30
L1-D.loads-E.c11,40
L1-D.loads-E.c2,92
L1-D.loads-E.c3,108
L1-D.loads-E.c4,32
L1-D.loads-E.c5,10
L1-D.loads-E.c6,37
L1-D.loads-E.c7,30
L1-D.loads-E.c8,4
L1-D.loads-E.c9,28
L1-D.loads-E.node0,50989
L1-D.loads-E.node1,109
L1-D.loads-E.total,51098
L1-D.loads-I.c0,43894
L1-D.loads-I.c1,34770
L1-D.loads-I.c10,36722
L1-D.loads-I.c11,36933
L1-D.loads-I.c2,34962
L1-D.loads-I.c3,34539
L1-D.loads-I.c4,35249
L1-D.loads-I.c5,35351
L1-D.loads-I.c6,34401
L1-D.loads-I.c7,34037
L1-D.loads-I.c8,37810
L1-D.loads-I.c9,37791
L1-D.loads-I.node0,297421
L1-D.loads-I.node1,139038
L1-D.loads-I.total,436459
L1-D.loads-M.c0,625549
L1-D.loads-M.c1,564063
L1-D.loads-M.c10,595127
L1-D.loads-M.c11,600819
L1-D.loads-M.c2,564217
L1-D.loads-M.c3,565940
L1-D.loads-M.c4,584287
L1-D.loads-M.c5,584154
L1-D.loads-M.c6,588565
L1-D.loads-M.c7,584222
L1-D.loads-M.c8,601394
L1-D.loads-M.c9,605701
L1-D.loads-M.node0,4722810
L1-D.loads-M.node1,2341228
L1-D.loads-M.total,7064038
L1-D.loads-S.c0,416436
L1-D.loads-S.c1,436674
L1-D.loads-S.c10,380295
L1-D.loads-S.c11,376455
L1-D.loads-S.c2,423788
L1-D.loads-S.c3,412457
L1-D.loads-S.c4,410599
L1-D.loads-S.c5,399162
L1-D.loads-S.c6,389564
L1-D.loads-S.c7,378940
L1-D.loads-S.c8,406749
L1-D.loads-S.c9,399486
L1-D.loads-S.node0,3252340
L1-D.loads-S.node1,1578265
L1-D.loads-S.total,4830605
L1-D.loads-where-L1.c0,1092593
L1-D.loads-where-L1.c1,1000814
L1-D.loads-where-L1.c10,975452
L1-D.loads-where-L1.c11,977303
