                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    4563023 |    4231078 |    4190550 |    4329404 |    3906011 |    4528029 |          0 |          0 |    4563890 |    4608612 |    4346150 |    4464745 |    4021637 |    3994069 |          0 |          0
  Cycles                             |    6930710 |    6930710 |    6930710 |    6930710 |    5257780 |    5257780 |    5257780 |    5257780 |    6930710 |    6930710 |    6930710 |    6930710 |    5257780 |    5257780 |    5257780 |    5257780
  IPC                                |       0.66 |       0.61 |       0.60 |       0.62 |       0.74 |       0.86 |       0.00 |       0.00 |       0.66 |       0.66 |       0.63 |       0.64 |       0.76 |       0.76 |       0.00 |       0.00
  Time (ns)                          |    2389900 |    2389900 |    2389900 |    2389900 |    2389900 |    2389900 |    2389900 |    2389900 |    2389900 |    2389900 |    2389900 |    2389900 |    2389900 |    2389900 |    2389900 |    2389900
  Idle time (ns)                     |     354032 |     367796 |     369530 |     366091 |     362651 |        341 |    2389900 |    2389900 |     355774 |     350827 |     364358 |     360919 |     357482 |     359212 |    2389900 |    2389900
  Idle time (%)                      |      14.8% |      15.4% |      15.5% |      15.3% |      15.2% |       0.0% |     100.0% |     100.0% |      14.9% |      14.7% |      15.2% |      15.1% |      15.0% |      15.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     584034 |     513324 |     501971 |     532579 |     411968 |     472366 |          0 |          0 |     583310 |     595987 |     535904 |     562207 |     437668 |     429975 |          0 |          0
  num incorrect                      |       1184 |       2081 |       2608 |       2180 |       1368 |      11623 |          0 |          0 |       1295 |       1133 |       2218 |       1430 |       1126 |       1231 |          0 |          0
  misprediction rate                 |      0.20% |      0.40% |      0.52% |      0.41% |      0.33% |      2.40% |      0.00% |      0.00% |      0.22% |      0.19% |      0.41% |      0.25% |      0.26% |      0.29% |      0.00% |      0.00%
