                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  3938554943 |    81385869 |    81826972 |    82072541 |    81288981 |    81868256 |           0 |           0 |    81840929 |    81473428 |    81659684 |    81258417 |    81194534 |    81160273 |           0 |           0
  Cycles                             |  4265220820 |  4265220820 |  4265220820 |  4265220820 |  3235684760 |  3235684760 |  3235684760 |  3235684760 |  4265220820 |  4265220820 |  4265220820 |  4265220820 |  3235684760 |  3235684760 |  3235684760 |  3235684760
  IPC                                |        0.92 |        0.02 |        0.02 |        0.02 |        0.03 |        0.03 |        0.00 |        0.00 |        0.02 |        0.02 |        0.02 |        0.02 |        0.03 |        0.03 |        0.00 |        0.00
  Time (ns)                          |  1470765800 |  1470765800 |  1470765800 |  1470765800 |  1470765800 |  1470765800 |  1470765800 |  1470765800 |  1470765800 |  1470765800 |  1470765800 |  1470765800 |  1470765800 |  1470765800 |  1470765800 |  1470765800
  Idle time (ns)                     |    34775870 |  1439000202 |  1438872074 |  1438768656 |  1437000746 |  1436707648 |  1470765800 |  1470765800 |  1438619400 |  1438794975 |  1438681851 |  1438858961 |  1436787890 |  1436807430 |  1470765800 |  1470765800
  Idle time (%)                      |        2.4% |       97.8% |       97.8% |       97.8% |       97.7% |       97.7% |      100.0% |      100.0% |       97.8% |       97.8% |       97.8% |       97.8% |       97.7% |       97.7% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   169620529 |     1576217 |     1584278 |     1587991 |     1576666 |     1580365 |           0 |           0 |     1580669 |     1576717 |     1582160 |     1576309 |     1572237 |     1574982 |           0 |           0
  num incorrect                      |     6058792 |       53054 |       53738 |       53342 |       53804 |       53049 |           0 |           0 |       53595 |       53133 |       53557 |       53973 |       53163 |       53613 |           0 |           0
  misprediction rate                 |       3.45% |       3.26% |       3.28% |       3.25% |       3.30% |       3.25% |       0.00% |       0.00% |       3.28% |       3.26% |       3.27% |       3.31% |       3.27% |       3.29% |       0.00% |       0.00%
  mpki                               |        1.54 |        0.65 |        0.66 |        0.65 |        0.66 |        0.65 |        0.00 |        0.00 |        0.65 |        0.65 |        0.66 |        0.66 |        0.65 |        0.66 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   773982079 |    12605907 |    12672919 |    12710818 |    12590622 |    12680245 |           0 |           0 |    12674680 |    12619479 |    12647272 |    12585287 |    12576772 |    12571002 |           0 |           0
    num misses                       |         201 |          43 |          47 |          48 |          48 |          43 |           0 |           0 |          44 |          43 |          47 |          47 |          43 |          47 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |  2331216024 |    51449459 |    51720008 |    51878684 |    51373314 |    51766967 |           0 |           0 |    51739539 |    51503955 |    51617083 |    51354015 |    51325412 |    51291818 |           0 |           0
    num misses                       |    13492681 |      543141 |      548224 |      581197 |      546454 |      546537 |           0 |           0 |      545704 |      549384 |      553847 |      546869 |      539790 |      546346 |           0 |           0
    miss rate                        |       0.58% |       1.06% |       1.06% |       1.12% |       1.06% |       1.06% |       0.00% |       0.00% |       1.05% |       1.07% |       1.07% |       1.06% |       1.05% |       1.07% |       0.00% |       0.00%
    mpki                             |        3.43 |        6.67 |        6.70 |        7.08 |        6.72 |        6.68 |        0.00 |        0.00 |        6.67 |        6.74 |        6.78 |        6.73 |        6.65 |        6.73 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    13492882 |      543184 |      548271 |      581245 |      546502 |      546580 |           0 |           0 |      545748 |      549427 |      553894 |      546916 |      539833 |      546393 |           0 |           0
    num misses                       |     6485029 |      280502 |      281833 |      284974 |      279563 |      282428 |           0 |           0 |      282022 |      281086 |      281436 |      279930 |      279086 |      279266 |           0 |           0
    miss rate                        |      48.06% |      51.64% |      51.40% |      49.03% |      51.15% |      51.67% |       0.00% |       0.00% |      51.68% |      51.16% |      50.81% |      51.18% |      51.70% |      51.11% |       0.00% |       0.00%
