                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |    9675477 |    4391544 |  256068699 |   84315394 |   84062010 |  135382290 |  130363607 |  128174915 |  495896129 |  474680180 |  474621284 |    4599251
  Cycles                             |  456027030 |  456027030 |  456027030 |  456027030 |  345951540 |  345951540 |  345951540 |  345951540 |  456027030 |  456027030 |  456027030 |  456027030
  IPC                                |       0.02 |       0.01 |       0.56 |       0.18 |       0.24 |       0.39 |       0.38 |       0.37 |       1.09 |       1.04 |       1.04 |       0.01
  Time (ns)                          |  157250700 |  157250700 |  157250700 |  157250700 |  157250700 |  157250700 |  157250700 |  157250700 |  157250700 |  157250700 |  157250700 |  157250700
  Idle time (ns)                     |  154355180 |  155140072 |    7170172 |  107501861 |  107700979 |  133326343 |  134194282 |  134568259 |   21510356 |   21873082 |   25437780 |  155666192
  Idle time (%)                      |      98.2% |      98.7% |       4.6% |      68.4% |      68.5% |      84.8% |      85.3% |      85.6% |      13.7% |      13.9% |      16.2% |      99.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1277449 |     172779 |   12885084 |    4237761 |    4224645 |     200386 |     202037 |     201969 |   59250821 |   56948707 |   56543646 |     466986
  num incorrect                      |       7678 |        684 |       1752 |        589 |        584 |       3449 |       3465 |       3551 |    2661129 |    2789995 |    2645943 |       8567
  misprediction rate                 |      0.60% |      0.39% |      0.01% |      0.01% |      0.01% |      1.69% |      1.69% |      1.73% |      4.30% |      4.67% |      4.47% |      1.80%
  mpki                               |       0.79 |       0.16 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       5.37 |       5.88 |       5.57 |       1.86
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1527290 |     429954 |   19362396 |    6367602 |    6347314 |    7609660 |    7340845 |    7222455 |   56379054 |   54465811 |   54007635 |     620858
    num misses                       |        116 |         35 |         35 |         32 |         34 |         41 |         39 |         38 |         46 |         48 |         46 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
