metric,value
timestamp,2026-07-09T05:47:53
workload,dedup
strategy,AKARIN_a085_16
bench_class,S
num_threads,15
output_dir,Outputs/sizeS/15TH/dedup_S_AKARIN_a085_16_15TH_20260708_223450
cpu_map,"[12, 13, 4, 1, 9, 14, 2, 8, 15, 0, 10, 11, 6, 7, 3]"
p_core_count,8
e_core_count,7
node0_threads,7
node1_threads,8
sim_time_ms,110.5208
total_instructions,2282308881
avg_ipc,1.0424
avg_ipc_p,0.4089
avg_ipc_e,1.7664
total_power_W,16.6166
dynamic_W,11.1786
leakage_W,5.4
dram_W,0.038
energy_J,1.836484
node0_reads,265768
node1_reads,265756
node0_pct,50.0011
node0_writes,88647
node1_writes,88636
dram_local,134168
dram_remote,268554
dram_remote_pct,66.6847
l1d_miss_pct,1.037
l2_miss_pct,8.3338
l3_miss_pct,60.894
l1d_mpki,3.4771
l2_mpki,0.2898
l3_mpki,0.1765
l3_miss_count,402722
cpi_base_frac,0.8221
cpi_branch_frac,0.1611
cpi_l2_frac,0.0
cpi_l3_frac,0.0024
cpi_dram_local_frac,0.0044
cpi_dram_remote_frac,0.01
futex_wake_count,474
futex_wait_count,409
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,48.886
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,4490926
L1-D.access-mru-0.c1,3466514
L1-D.access-mru-0.c10,159110541
L1-D.access-mru-0.c11,171594318
L1-D.access-mru-0.c12,153558050
L1-D.access-mru-0.c13,157099968
L1-D.access-mru-0.c14,2395278
L1-D.access-mru-0.c2,56417107
L1-D.access-mru-0.c3,56570099
L1-D.access-mru-0.c4,56023962
L1-D.access-mru-0.c5,114600180
L1-D.access-mru-0.c6,23285583
L1-D.access-mru-0.c7,22061782
L1-D.access-mru-0.c8,22481394
L1-D.access-mru-0.c9,23838084
L1-D.access-mru-0.node0,473164169
L1-D.access-mru-0.node1,553829617
L1-D.access-mru-0.total,1026993786
L1-D.access-mru-1.c0,86083
L1-D.access-mru-1.c1,3839
L1-D.access-mru-1.c10,10453302
L1-D.access-mru-1.c11,9428741
L1-D.access-mru-1.c12,9294748
L1-D.access-mru-1.c13,8442251
L1-D.access-mru-1.c14,62880
L1-D.access-mru-1.c2,234276
L1-D.access-mru-1.c3,236976
L1-D.access-mru-1.c4,602795
L1-D.access-mru-1.c5,1234061
L1-D.access-mru-1.c6,56416
L1-D.access-mru-1.c7,72384
L1-D.access-mru-1.c8,74137
L1-D.access-mru-1.c9,56728
L1-D.access-mru-1.node0,18384275
L1-D.access-mru-1.node1,21955342
L1-D.access-mru-1.total,40339617
L1-D.access-mru-2.c0,8522
L1-D.access-mru-2.c1,153
L1-D.access-mru-2.c10,1582122
L1-D.access-mru-2.c11,1402001
L1-D.access-mru-2.c12,1476745
L1-D.access-mru-2.c13,1551232
L1-D.access-mru-2.c14,9878
L1-D.access-mru-2.c2,3125
L1-D.access-mru-2.c3,3709
L1-D.access-mru-2.c4,13255
L1-D.access-mru-2.c5,28575
L1-D.access-mru-2.c6,4443
L1-D.access-mru-2.c7,5706
L1-D.access-mru-2.c8,5859
L1-D.access-mru-2.c9,4395
L1-D.access-mru-2.node0,3053527
L1-D.access-mru-2.node1,3046193
L1-D.access-mru-2.total,6099720
L1-D.access-mru-3.c0,3653
L1-D.access-mru-3.c1,47
L1-D.access-mru-3.c10,501679
L1-D.access-mru-3.c11,486044
L1-D.access-mru-3.c12,508672
L1-D.access-mru-3.c13,632406
L1-D.access-mru-3.c14,2712
L1-D.access-mru-3.c2,779
L1-D.access-mru-3.c3,909
L1-D.access-mru-3.c4,2861
L1-D.access-mru-3.c5,6160
L1-D.access-mru-3.c6,1280
L1-D.access-mru-3.c7,2589
L1-D.access-mru-3.c8,2518
L1-D.access-mru-3.c9,1087
L1-D.access-mru-3.node0,1147845
L1-D.access-mru-3.node1,1005551
L1-D.access-mru-3.total,2153396
L1-D.access-mru-4.c0,2800
L1-D.access-mru-4.c1,9
L1-D.access-mru-4.c10,337027
L1-D.access-mru-4.c11,353101
L1-D.access-mru-4.c12,342762
L1-D.access-mru-4.c13,439710
L1-D.access-mru-4.c14,1614
L1-D.access-mru-4.c2,180
L1-D.access-mru-4.c3,228
L1-D.access-mru-4.c4,1043
L1-D.access-mru-4.c5,2235
L1-D.access-mru-4.c6,313
L1-D.access-mru-4.c7,872
L1-D.access-mru-4.c8,906
L1-D.access-mru-4.c9,279
L1-D.access-mru-4.node0,785086
L1-D.access-mru-4.node1,697993
L1-D.access-mru-4.total,1483079
L1-D.access-mru-5.c0,2173
L1-D.access-mru-5.c1,1
L1-D.access-mru-5.c10,280619
L1-D.access-mru-5.c11,312561
L1-D.access-mru-5.c12,276906
L1-D.access-mru-5.c13,352833
L1-D.access-mru-5.c14,1288
L1-D.access-mru-5.c2,60
L1-D.access-mru-5.c3,75
L1-D.access-mru-5.c4,418
L1-D.access-mru-5.c5,851
L1-D.access-mru-5.c6,75
L1-D.access-mru-5.c7,322
L1-D.access-mru-5.c8,388
L1-D.access-mru-5.c9,68
L1-D.access-mru-5.node0,631305
L1-D.access-mru-5.node1,597333
L1-D.access-mru-5.total,1228638
L1-D.access-mru-6.c0,1740
L1-D.access-mru-6.c1,1
L1-D.access-mru-6.c10,250653
L1-D.access-mru-6.c11,293774
L1-D.access-mru-6.c12,240355
L1-D.access-mru-6.c13,300726
