                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   68570882 |   68822576 |   72262985 |   72526031 |   57565644 |   57994520 |   58716224 |   58395466 |   72814830 |   72800976 |   72771068 |   72765455 |   58139924 |   58073380 |   59668123 |   59371539
  Cycles                             |   33256910 |   33256910 |   33256910 |   33256910 |   25229380 |   25229380 |   25229380 |   25229380 |   33256910 |   33256910 |   33256910 |   33256910 |   25229380 |   25229380 |   25229380 |   25229380
  IPC                                |       2.06 |       2.07 |       2.17 |       2.18 |       2.28 |       2.30 |       2.33 |       2.31 |       2.19 |       2.19 |       2.19 |       2.19 |       2.30 |       2.30 |       2.37 |       2.35
  Time (ns)                          |   11467900 |   11467900 |   11467900 |   11467900 |   11467900 |   11467900 |   11467900 |   11467900 |   11467900 |   11467900 |   11467900 |   11467900 |   11467900 |   11467900 |   11467900 |   11467900
  Idle time (ns)                     |     329590 |     330611 |     331626 |     332641 |        328 |     322088 |     323405 |     324481 |     333732 |     334768 |     335809 |     336829 |     325494 |     326517 |     327537 |     328569
  Idle time (%)                      |       2.9% |       2.9% |       2.9% |       2.9% |       0.0% |       2.8% |       2.8% |       2.8% |       2.9% |       2.9% |       2.9% |       2.9% |       2.8% |       2.8% |       2.9% |       2.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    4745801 |    4829701 |   23857485 |   23945169 |     509927 |     983292 |    1223973 |    1116859 |   24255892 |   24251274 |   24241304 |   24239431 |    1031948 |    1009909 |    1778242 |    1679324
  num incorrect                      |       3113 |       3112 |       1008 |       1006 |      11602 |       3707 |       3757 |       3803 |       1004 |       1004 |       1004 |       1005 |       3753 |       3614 |       3062 |       3115
  misprediction rate                 |      0.07% |      0.06% |      0.00% |      0.00% |      2.22% |      0.38% |      0.31% |      0.34% |      0.00% |      0.00% |      0.00% |      0.00% |      0.36% |      0.36% |      0.17% |      0.19%
  mpki                               |       0.05 |       0.05 |       0.01 |       0.01 |       0.20 |       0.06 |       0.06 |       0.07 |       0.01 |       0.01 |       0.01 |       0.01 |       0.06 |       0.06 |       0.05 |       0.05
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    5211173 |    5211175 |      81842 |      81842 |    5481768 |    5275536 |    5275343 |    5275343 |      11453 |      11453 |      11453 |      11454 |    5275343 |    5275343 |    5211173 |    5211173
    num misses                       |         38 |         38 |         31 |         31 |        234 |         38 |         38 |         38 |         31 |         31 |         31 |         31 |         38 |         38 |         38 |         38
    miss rate                        |      0.00% |      0.00% |      0.04% |      0.04% |      0.00% |      0.00% |      0.00% |      0.00% |      0.27% |      0.27% |      0.27% |      0.27% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   27611020 |   27652969 |   12272267 |   12316108 |   26581695 |   26075690 |   26195682 |   26142466 |   12155793 |   12153484 |   12148499 |   12147565 |   26099506 |   26088410 |   26127208 |   26077782
    num misses                       |       1126 |       1096 |         47 |         52 |       6462 |       1206 |       1194 |       3451 |         31 |         31 |         31 |         31 |       5038 |       1322 |       3503 |       2987
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.02% |      0.00% |      0.00% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.02% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.02 |       0.00 |       0.00 |       0.11 |       0.02 |       0.02 |       0.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.09 |       0.02 |       0.06 |       0.05
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       1164 |       1134 |         78 |         83 |       6696 |       1244 |       1232 |       3489 |         62 |         62 |         62 |         62 |       5076 |       1360 |       3541 |       3025
    num misses                       |        132 |        128 |         78 |         83 |        589 |        145 |        133 |        133 |         62 |         62 |         62 |         62 |        134 |        134 |        131 |        130
    miss rate                        |     11.34% |     11.29% |    100.00% |    100.00% |      8.80% |     11.66% |     10.80% |      3.81% |    100.00% |    100.00% |    100.00% |    100.00% |      2.64% |      9.85% |      3.70% |      4.30%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5211173 |    5211175 |      81842 |      81842 |    5481768 |    5275536 |    5275343 |    5275343 |      11453 |      11453 |      11453 |      11454 |    5275343 |    5275343 |    5211173 |    5211173
    num cache misses                 |      54647 |      54647 |        222 |        222 |      76097 |      56848 |      56882 |      56904 |        146 |        146 |        146 |        147 |      56846 |      56845 |      54647 |      54648
    miss rate                        |      1.05% |      1.05% |      0.27% |      0.27% |      1.39% |      1.08% |      1.08% |      1.08% |      1.27% |      1.27% |      1.27% |      1.28% |      1.08% |      1.08% |      1.05% |      1.05%
    mpki                             |       0.80 |       0.79 |       0.00 |       0.00 |       1.32 |       0.98 |       0.97 |       0.97 |       0.00 |       0.00 |       0.00 |       0.00 |       0.98 |       0.98 |       0.92 |       0.92
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
