metric,value
timestamp,2026-06-30T15:01:29
workload,CC
strategy,Packed
bench_class,S
num_threads,16
output_dir,Outputs/sizeS/16TH/CC_S_Packed_16TH_20260630_150113
cpu_map,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,7.4085
total_instructions,54413397
avg_ipc,0.2616
avg_ipc_p,0.1316
avg_ipc_e,0.3916
total_power_W,8.9001
dynamic_W,3.2808
leakage_W,5.6
dram_W,0.0193
energy_J,0.065937
node0_reads,11186
node1_reads,11100
node0_pct,50.1929
dram_local,5683
dram_remote,5589
dram_remote_pct,49.583
l1d_miss_pct,0.7903
l2_miss_pct,83.4719
l3_miss_pct,17.9373
l1d_mpki,1.3836
l2_mpki,1.1549
l3_mpki,0.2072
l3_miss_count,11272
cpi_base_frac,0.8126
cpi_branch_frac,0.1357
cpi_l2_frac,0.0
cpi_l3_frac,0.0374
cpi_dram_local_frac,0.0069
cpi_dram_remote_frac,0.0073
L1-D.access-mru-0.c0,2421901
L1-D.access-mru-0.c1,534072
L1-D.access-mru-0.c10,535215
L1-D.access-mru-0.c11,532050
L1-D.access-mru-0.c12,512725
L1-D.access-mru-0.c13,528215
L1-D.access-mru-0.c14,531944
L1-D.access-mru-0.c15,530272
L1-D.access-mru-0.c2,532591
L1-D.access-mru-0.c3,537448
L1-D.access-mru-0.c4,504060
L1-D.access-mru-0.c5,534468
L1-D.access-mru-0.c6,530254
L1-D.access-mru-0.c7,522496
L1-D.access-mru-0.c8,487220
L1-D.access-mru-0.c9,530747
L1-D.access-mru-0.node0,6117290
L1-D.access-mru-0.node1,4188388
L1-D.access-mru-0.total,10305678
L1-D.access-mru-1.c0,124442
L1-D.access-mru-1.c1,2912
L1-D.access-mru-1.c10,2834
L1-D.access-mru-1.c11,2906
L1-D.access-mru-1.c12,3172
L1-D.access-mru-1.c13,2773
L1-D.access-mru-1.c14,2770
L1-D.access-mru-1.c15,2754
L1-D.access-mru-1.c2,2936
L1-D.access-mru-1.c3,2844
L1-D.access-mru-1.c4,3247
L1-D.access-mru-1.c5,2714
L1-D.access-mru-1.c6,2810
L1-D.access-mru-1.c7,2849
L1-D.access-mru-1.c8,3876
L1-D.access-mru-1.c9,3008
L1-D.access-mru-1.node0,144754
L1-D.access-mru-1.node1,24093
L1-D.access-mru-1.total,168847
L1-D.access-mru-2.c0,43043
L1-D.access-mru-2.c1,405
L1-D.access-mru-2.c10,389
L1-D.access-mru-2.c11,306
L1-D.access-mru-2.c12,310
L1-D.access-mru-2.c13,327
L1-D.access-mru-2.c14,328
L1-D.access-mru-2.c15,319
L1-D.access-mru-2.c2,400
L1-D.access-mru-2.c3,337
L1-D.access-mru-2.c4,379
L1-D.access-mru-2.c5,343
L1-D.access-mru-2.c6,328
L1-D.access-mru-2.c7,339
L1-D.access-mru-2.c8,473
L1-D.access-mru-2.c9,352
L1-D.access-mru-2.node0,45574
L1-D.access-mru-2.node1,2804
L1-D.access-mru-2.total,48378
L1-D.access-mru-3.c0,13051
L1-D.access-mru-3.c1,105
L1-D.access-mru-3.c10,76
L1-D.access-mru-3.c11,78
L1-D.access-mru-3.c12,74
L1-D.access-mru-3.c13,94
L1-D.access-mru-3.c14,92
L1-D.access-mru-3.c15,86
L1-D.access-mru-3.c2,88
L1-D.access-mru-3.c3,103
L1-D.access-mru-3.c4,76
L1-D.access-mru-3.c5,107
L1-D.access-mru-3.c6,87
L1-D.access-mru-3.c7,80
L1-D.access-mru-3.c8,262
L1-D.access-mru-3.c9,104
L1-D.access-mru-3.node0,13697
L1-D.access-mru-3.node1,866
L1-D.access-mru-3.total,14563
L1-D.access-mru-4.c0,4475
L1-D.access-mru-4.c1,81
L1-D.access-mru-4.c10,81
L1-D.access-mru-4.c11,92
L1-D.access-mru-4.c12,62
L1-D.access-mru-4.c13,95
L1-D.access-mru-4.c14,79
L1-D.access-mru-4.c15,102
L1-D.access-mru-4.c2,96
L1-D.access-mru-4.c3,109
L1-D.access-mru-4.c4,69
L1-D.access-mru-4.c5,88
L1-D.access-mru-4.c6,107
L1-D.access-mru-4.c7,88
L1-D.access-mru-4.c8,169
L1-D.access-mru-4.c9,87
L1-D.access-mru-4.node0,5113
L1-D.access-mru-4.node1,767
L1-D.access-mru-4.total,5880
L1-D.access-mru-5.c0,2359
L1-D.access-mru-5.c1,192
L1-D.access-mru-5.c10,191
L1-D.access-mru-5.c11,199
L1-D.access-mru-5.c12,169
L1-D.access-mru-5.c13,199
L1-D.access-mru-5.c14,210
L1-D.access-mru-5.c15,178
L1-D.access-mru-5.c2,173
L1-D.access-mru-5.c3,172
L1-D.access-mru-5.c4,148
L1-D.access-mru-5.c5,183
L1-D.access-mru-5.c6,176
L1-D.access-mru-5.c7,194
L1-D.access-mru-5.c8,153
L1-D.access-mru-5.c9,191
L1-D.access-mru-5.node0,3597
L1-D.access-mru-5.node1,1490
L1-D.access-mru-5.total,5087
L1-D.access-mru-6.c0,1427
L1-D.access-mru-6.c1,125
L1-D.access-mru-6.c10,102
L1-D.access-mru-6.c11,115
