                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   54741039 |   26019959 |   26760177 |   54720991 |   26702141 |   47071117 |   46783017 |   25705786 |   36959567 |   54741190 |   35900015 |   54735160 |   34022169 |   28508006 |   29769550 |   30804594
  Cycles                             |   22237490 |   22237490 |   22237490 |   22237490 |   16869820 |   16869820 |   16869820 |   16869820 |   22237490 |   22237490 |   22237490 |   22237490 |   16869820 |   16869820 |   16869820 |   16869820
  IPC                                |       2.46 |       1.17 |       1.20 |       2.46 |       1.58 |       2.79 |       2.77 |       1.52 |       1.66 |       2.46 |       1.61 |       2.46 |       2.02 |       1.69 |       1.76 |       1.83
  Time (ns)                          |    7668100 |    7668100 |    7668100 |    7668100 |    7668100 |    7668100 |    7668100 |    7668100 |    7668100 |    7668100 |    7668100 |    7668100 |    7668100 |    7668100 |    7668100 |    7668100
  Idle time (ns)                     |     471204 |     468855 |     468047 |     473604 |     466478 |     470423 |     469633 |     467276 |     461068 |     472034 |     463299 |     472808 |        212 |     465707 |     464911 |     464137
  Idle time (%)                      |       6.1% |       6.1% |       6.1% |       6.2% |       6.1% |       6.1% |       6.1% |       6.1% |       6.0% |       6.2% |       6.0% |       6.2% |       0.0% |       6.1% |       6.1% |       6.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   15580521 |    2106899 |    2334914 |   15574788 |    2362290 |   13314861 |   13232529 |    2062606 |    5351959 |   15580552 |    5033797 |   15578832 |    4338213 |    2893126 |    3267488 |    3578380
  num incorrect                      |       1258 |       8250 |       9354 |       1262 |       8370 |       1334 |       1334 |       8419 |       9485 |       1267 |       9136 |       1265 |      26776 |       8216 |       8357 |       8445
  misprediction rate                 |      0.01% |      0.39% |      0.40% |      0.01% |      0.35% |      0.01% |      0.01% |      0.41% |      0.18% |      0.01% |      0.18% |      0.01% |      0.61% |      0.28% |      0.26% |      0.24%
  mpki                               |       0.02 |       0.32 |       0.35 |       0.02 |       0.31 |       0.03 |       0.03 |       0.33 |       0.26 |       0.02 |       0.25 |       0.02 |       0.79 |       0.29 |       0.28 |       0.27
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      49276 |    1805436 |    1806431 |      49278 |    1806515 |      83712 |      83724 |    1806539 |    1806485 |      49278 |    1806486 |      49278 |    1982683 |    1806481 |    1806492 |    1806534
    num misses                       |         34 |         40 |         40 |         34 |         40 |         34 |         34 |         40 |         40 |         34 |         40 |         34 |        352 |         40 |         40 |         40
    miss rate                        |      0.07% |      0.00% |      0.00% |      0.07% |      0.00% |      0.04% |      0.04% |      0.00% |      0.00% |      0.07% |      0.00% |      0.07% |      0.02% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    7928756 |    9490786 |    9542862 |    7925895 |    9405540 |    6927703 |    6886599 |    9308082 |   10690301 |    7928785 |   10586440 |    7927921 |   10649418 |    9619379 |    9757371 |    9859468
    num misses                       |         35 |       2684 |       3345 |         35 |       1978 |         70 |         68 |       2324 |       2628 |         35 |       2371 |         35 |       9598 |       1519 |       6259 |       3350
    miss rate                        |      0.00% |      0.03% |      0.04% |      0.00% |      0.02% |      0.00% |      0.00% |      0.02% |      0.02% |      0.00% |      0.02% |      0.00% |      0.09% |      0.02% |      0.06% |      0.03%
    mpki                             |       0.00 |       0.10 |       0.12 |       0.00 |       0.07 |       0.00 |       0.00 |       0.09 |       0.07 |       0.00 |       0.07 |       0.00 |       0.28 |       0.05 |       0.21 |       0.11
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         69 |       2724 |       3385 |         69 |       2018 |        104 |        102 |       2364 |       2668 |         69 |       2411 |         69 |       9950 |       1559 |       6299 |       3390
    num misses                       |         69 |        150 |        154 |         69 |        149 |         81 |         82 |        151 |        150 |         69 |        150 |         69 |        675 |        145 |        147 |        202
    miss rate                        |    100.00% |      5.51% |      4.55% |    100.00% |      7.38% |     77.88% |     80.39% |      6.39% |      5.62% |    100.00% |      6.22% |    100.00% |      6.78% |      9.30% |      2.33% |      5.96%
    mpki                             |       0.00 |       0.01 |       0.01 |       0.00 |       0.01 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.02 |       0.01 |       0.00 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      49276 |    1805436 |    1806431 |      49278 |    1806515 |      83712 |      83724 |    1806539 |    1806485 |      49278 |    1806486 |      49278 |    1982683 |    1806481 |    1806492 |    1806534
    num cache misses                 |        197 |      35374 |      35392 |        199 |      35432 |        256 |        256 |      35431 |      35401 |        198 |      35402 |        198 |      49580 |      35401 |      35410 |      35446
    miss rate                        |      0.40% |      1.96% |      1.96% |      0.40% |      1.96% |      0.31% |      0.31% |      1.96% |      1.96% |      0.40% |      1.96% |      0.40% |      2.50% |      1.96% |      1.96% |      1.96%
    mpki                             |       0.00 |       1.36 |       1.32 |       0.00 |       1.33 |       0.01 |       0.01 |       1.38 |       0.96 |       0.00 |       0.99 |       0.00 |       1.46 |       1.24 |       1.19 |       1.15
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    7928756 |    9490786 |    9542862 |    7925895 |    9405540 |    6927703 |    6886599 |    9308082 |   10690301 |    7928785 |   10586440 |    7927921 |   10649418 |    9619379 |    9757371 |    9859468
    num cache misses                 |       1980 |      88338 |      96312 |       1928 |     103678 |       6191 |       9836 |     106215 |      90798 |       1898 |      91284 |       1902 |     129721 |      96277 |     102363 |      99255
    miss rate                        |      0.02% |      0.93% |      1.01% |      0.02% |      1.10% |      0.09% |      0.14% |      1.14% |      0.85% |      0.02% |      0.86% |      0.02% |      1.22% |      1.00% |      1.05% |      1.01%
    mpki                             |       0.04 |       3.40 |       3.60 |       0.04 |       3.88 |       0.13 |       0.21 |       4.13 |       2.46 |       0.03 |       2.54 |       0.03 |       3.81 |       3.38 |       3.44 |       3.22
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       2358 |     140882 |     149968 |       2312 |     156657 |      10760 |      13790 |     159247 |     143059 |       2107 |     143459 |       2110 |     195287 |     147632 |     153881 |     151209
    num cache misses                 |       2177 |      58589 |      64205 |       2127 |      63492 |       2634 |       9992 |      63607 |      59511 |       2096 |      59476 |       2100 |      60249 |      49246 |      59163 |      59862
    miss rate                        |     92.32% |     41.59% |     42.81% |     92.00% |     40.53% |     24.48% |     72.46% |     39.94% |     41.60% |     99.48% |     41.46% |     99.53% |     30.85% |     33.36% |     38.45% |     39.59%
    mpki                             |       0.04 |       2.25 |       2.40 |       0.04 |       2.38 |       0.06 |       0.21 |       2.47 |       1.61 |       0.04 |       1.66 |       0.04 |       1.77 |       1.73 |       1.99 |       1.94
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       2358 |      78766 |      85342 |       2312 |      84732 |       8211 |      13707 |      84812 |      79269 |       2107 |      79032 |       2110 |      86730 |      68613 |      79393 |      79632
    num cache misses                 |       1319 |      20812 |      24837 |       1359 |      42145 |       1478 |       1461 |      24080 |      16898 |        581 |      16888 |        574 |      33324 |      17555 |      11060 |      16759
    miss rate                        |     55.94% |     26.42% |     29.10% |     58.78% |     49.74% |     18.00% |     10.66% |     28.39% |     21.32% |     27.57% |     21.37% |     27.20% |     38.42% |     25.59% |     13.93% |     21.05%
    mpki                             |       0.02 |       0.80 |       0.93 |       0.02 |       1.58 |       0.03 |       0.03 |       0.94 |       0.46 |       0.01 |       0.47 |       0.01 |       0.98 |       0.62 |       0.37 |       0.54
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       3726 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      14683 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     118.05 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |     115.58 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      56.80 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |      54.33 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
