                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    4324658 |    4448202 |    4407435 |    4534919 |    3897414 |    3945043 |    3932535 |    3883042 |    4364831 |    4147103 |    4201562 |    4183595 |    3783270 |    3790530 |    3679437 |    3716939
  Cycles                             |    4068990 |    4068990 |    4068990 |    4068990 |    3086820 |    3086820 |    3086820 |    3086820 |    4068990 |    4068990 |    4068990 |    4068990 |    3086820 |    3086820 |    3086820 |    3086820
  IPC                                |       1.06 |       1.09 |       1.08 |       1.11 |       1.26 |       1.28 |       1.27 |       1.26 |       1.07 |       1.02 |       1.03 |       1.03 |       1.23 |       1.23 |       1.19 |       1.20
  Time (ns)                          |    1403100 |    1403100 |    1403100 |    1403100 |    1403100 |    1403100 |    1403100 |    1403100 |    1403100 |    1403100 |    1403100 |    1403100 |    1403100 |    1403100 |    1403100 |    1403100
  Idle time (ns)                     |     466910 |     466170 |     460869 |     465402 |     463891 |     463145 |     462378 |     461635 |     464660 |     460126 |     459358 |     457847 |        282 |     454733 |     457071 |     458615
  Idle time (%)                      |      33.3% |      33.2% |      32.8% |      33.2% |      33.1% |      33.0% |      33.0% |      32.9% |      33.1% |      32.8% |      32.7% |      32.6% |       0.0% |      32.4% |      32.6% |      32.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     761532 |     797568 |     760341 |     821368 |     639818 |     653570 |     649324 |     626882 |     772700 |     686233 |     700978 |     685930 |     333841 |     567066 |     541063 |     560143
  num incorrect                      |       3261 |       3190 |       3734 |       3253 |       3183 |       3120 |       3259 |       3392 |       3396 |       3717 |       3767 |       4176 |      20548 |       4084 |       4054 |       3834
  misprediction rate                 |      0.43% |      0.40% |      0.49% |      0.39% |      0.50% |      0.48% |      0.50% |      0.54% |      0.44% |      0.54% |      0.53% |      0.61% |      5.80% |      0.72% |      0.74% |      0.68%
  mpki                               |       0.75 |       0.72 |       0.85 |       0.72 |       0.82 |       0.79 |       0.83 |       0.87 |       0.78 |       0.90 |       0.90 |       1.00 |       5.43 |       1.08 |       1.10 |       1.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
