                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    3921234 |    4010740 |    3937113 |    3511288 |    3556970 |    3567909 |    3537069 |    3931575 |    4254131 |    4194519 |    4206506 |    3743804 |    3713259 |    3717079 |    4192938 |    3652503
  Cycles                             |    3869180 |    3869180 |    3869180 |    2935240 |    2935240 |    2935240 |    2935240 |    3869180 |    3869180 |    3869180 |    3869180 |    2935240 |    2935240 |    2935240 |    3869180 |    2935240
  IPC                                |       1.01 |       1.04 |       1.02 |       1.20 |       1.21 |       1.22 |       1.21 |       1.02 |       1.10 |       1.08 |       1.09 |       1.28 |       1.27 |       1.27 |       1.08 |       1.24
  Time (ns)                          |    1334200 |    1334200 |    1334200 |    1334200 |    1334200 |    1334200 |    1334200 |    1334200 |    1334200 |    1334200 |    1334200 |    1334200 |    1334200 |    1334200 |    1334200 |    1334200
  Idle time (ns)                     |        489 |     415639 |     417924 |     418647 |     419389 |     420073 |     420826 |     421546 |     422308 |     422993 |     423754 |     424467 |     425190 |     425944 |     426648 |     427389
  Idle time (%)                      |       0.0% |      31.2% |      31.3% |      31.4% |      31.4% |      31.5% |      31.5% |      31.6% |      31.7% |      31.7% |      31.8% |      31.8% |      31.9% |      31.9% |      32.0% |      32.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     373255 |     629837 |     614542 |     493860 |     514676 |     520194 |     511917 |     624529 |     732933 |     724257 |     728376 |     596094 |     586821 |     587627 |     724502 |     569649
  num incorrect                      |      20646 |       4220 |       4131 |       4088 |       3714 |       3646 |       3658 |       3730 |       3509 |       3221 |       3160 |       3146 |       3322 |       3280 |       3321 |       3159
  misprediction rate                 |      5.24% |      0.67% |      0.67% |      0.82% |      0.72% |      0.70% |      0.71% |      0.59% |      0.48% |      0.44% |      0.43% |      0.52% |      0.56% |      0.56% |      0.46% |      0.55%
  mpki                               |       5.27 |       1.05 |       1.05 |       1.16 |       1.04 |       1.02 |       1.03 |       0.95 |       0.82 |       0.77 |       0.75 |       0.84 |       0.89 |       0.88 |       0.79 |       0.86
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     419362 |     251104 |     246290 |     245723 |     242137 |     241063 |     241067 |     241959 |     234173 |     231919 |     231159 |     230223 |     230632 |     231145 |     231200 |     230665
    num misses                       |        301 |         35 |         35 |         35 |         35 |         35 |         35 |         35 |         35 |         35 |         35 |         35 |         28 |         35 |         35 |         31
    miss rate                        |      0.07% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.02% |      0.02% |      0.01% |      0.02% |      0.02% |      0.01%
    mpki                             |       0.08 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1959331 |    1444457 |    1424222 |    1362575 |    1355691 |    1354644 |    1349126 |    1405744 |    1424812 |    1402764 |    1403585 |    1337697 |    1334680 |    1336345 |    1401126 |    1325771
    num misses                       |       2145 |        240 |        265 |        252 |        287 |        275 |        259 |        264 |        247 |        252 |        200 |        188 |        278 |        189 |        210 |        148
    miss rate                        |      0.11% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.55 |       0.06 |       0.07 |       0.07 |       0.08 |       0.08 |       0.07 |       0.07 |       0.06 |       0.06 |       0.05 |       0.05 |       0.07 |       0.05 |       0.05 |       0.04
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       2446 |        275 |        300 |        287 |        322 |        310 |        294 |        299 |        282 |        287 |        235 |        223 |        306 |        224 |        245 |        179
    num misses                       |        638 |        164 |        161 |        169 |        170 |        170 |        169 |        164 |        164 |        162 |        159 |        156 |        149 |        154 |        154 |        139
    miss rate                        |     26.08% |     59.64% |     53.67% |     58.89% |     52.80% |     54.84% |     57.48% |     54.85% |     58.16% |     56.45% |     67.66% |     69.96% |     48.69% |     68.75% |     62.86% |     77.65%
    mpki                             |       0.16 |       0.04 |       0.04 |       0.05 |       0.05 |       0.05 |       0.05 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     419362 |     251104 |     246290 |     245723 |     242137 |     241063 |     241067 |     241959 |     234173 |     231919 |     231159 |     230223 |     230632 |     231145 |     231200 |     230665
    num cache misses                 |       7267 |        446 |        431 |        433 |        436 |        432 |        439 |        427 |        446 |        429 |        437 |        428 |        374 |        436 |        432 |        381
    miss rate                        |      1.73% |      0.18% |      0.17% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.19% |      0.18% |      0.19% |      0.19% |      0.16% |      0.19% |      0.19% |      0.17%
    mpki                             |       1.85 |       0.11 |       0.11 |       0.12 |       0.12 |       0.12 |       0.12 |       0.11 |       0.10 |       0.10 |       0.10 |       0.11 |       0.10 |       0.12 |       0.10 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1959331 |    1444457 |    1424222 |    1362575 |    1355691 |    1354644 |    1349126 |    1405744 |    1424812 |    1402764 |    1403585 |    1337697 |    1334680 |    1336345 |    1401126 |    1325771
    num cache misses                 |      43190 |      27899 |      27712 |      36229 |      35726 |      35797 |      35644 |      27025 |      26603 |      25906 |      25516 |      34229 |      34009 |      34223 |      25451 |      33622
    miss rate                        |      2.20% |      1.93% |      1.95% |      2.66% |      2.64% |      2.64% |      2.64% |      1.92% |      1.87% |      1.85% |      1.82% |      2.56% |      2.55% |      2.56% |      1.82% |      2.54%
    mpki                             |      11.01 |       6.96 |       7.04 |      10.32 |      10.04 |      10.03 |      10.08 |       6.87 |       6.25 |       6.18 |       6.07 |       9.14 |       9.16 |       9.21 |       6.07 |       9.21
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      62282 |      32900 |      31712 |      39412 |      39079 |      39392 |      39128 |      31456 |      31542 |      30054 |      29726 |      37508 |      37243 |      37520 |      29610 |      35223
    num cache misses                 |      21023 |      12313 |      13866 |      13887 |      13555 |      13402 |      13477 |      14146 |      13132 |      12622 |      12446 |      12304 |      12198 |      12309 |      11919 |      12234
    miss rate                        |     33.75% |     37.43% |     43.72% |     35.24% |     34.69% |     34.02% |     34.44% |     44.97% |     41.63% |     42.00% |     41.87% |     32.80% |     32.75% |     32.81% |     40.25% |     34.73%
    mpki                             |       5.36 |       3.07 |       3.52 |       3.95 |       3.81 |       3.76 |       3.81 |       3.60 |       3.09 |       3.01 |       2.96 |       3.29 |       3.28 |       3.31 |       2.84 |       3.35
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      36726 |      19399 |      19622 |      19660 |      19497 |      19655 |      19460 |      20367 |      19699 |      18327 |      18138 |      18005 |      17903 |      18009 |      17798 |      16971
    num cache misses                 |      14718 |       2604 |       2012 |       1869 |       2398 |       2638 |       2560 |       5810 |       8540 |       3867 |       3737 |       3246 |       3152 |       3215 |       3368 |       4505
    miss rate                        |     40.08% |     13.42% |     10.25% |      9.51% |     12.30% |     13.42% |     13.16% |     28.53% |     43.35% |     21.10% |     20.60% |     18.03% |     17.61% |     17.85% |     18.92% |     26.55%
    mpki                             |       3.75 |       0.65 |       0.51 |       0.53 |       0.67 |       0.74 |       0.72 |       1.48 |       2.01 |       0.92 |       0.89 |       0.87 |       0.85 |       0.86 |       0.80 |       1.23
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      14038 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      13895 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     364.37 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |     367.39 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     303.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |     306.14 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
