metric,value
timestamp,2026-06-30T15:09:10
workload,MG
strategy,HPO
bench_class,S
num_threads,16
output_dir,Outputs/sizeS/16TH/MG_S_HPO_16TH_20260630_140248
cpu_map,"[0, 1, 2, 3, 8, 9, 10, 11, 4, 5, 6, 7, 12, 13, 14, 15]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,2.4081
total_instructions,61596847
avg_ipc,1.015
avg_ipc_p,0.3891
avg_ipc_e,1.6408
total_power_W,16.8251
dynamic_W,11.1487
leakage_W,5.6
dram_W,0.0765
energy_J,0.040517
node0_reads,14380
node1_reads,14333
node0_pct,50.0818
dram_local,3953
dram_remote,3956
dram_remote_pct,50.019
l1d_miss_pct,2.4398
l2_miss_pct,28.2894
l3_miss_pct,5.8248
l1d_mpki,7.7922
l2_mpki,2.2044
l3_mpki,0.1284
l3_miss_count,7909
cpi_base_frac,0.8577
cpi_branch_frac,0.02
cpi_l2_frac,0.0001
cpi_l3_frac,0.1173
cpi_dram_local_frac,0.0022
cpi_dram_remote_frac,0.0027
L1-D.access-mru-0.c0,1596276
L1-D.access-mru-0.c1,1270065
L1-D.access-mru-0.c10,1245331
L1-D.access-mru-0.c11,1246108
L1-D.access-mru-0.c12,1175496
L1-D.access-mru-0.c13,1176995
L1-D.access-mru-0.c14,1181149
L1-D.access-mru-0.c15,1181782
L1-D.access-mru-0.c2,1246352
L1-D.access-mru-0.c3,1249579
L1-D.access-mru-0.c4,1169255
L1-D.access-mru-0.c5,1181139
L1-D.access-mru-0.c6,1174656
L1-D.access-mru-0.c7,1212305
L1-D.access-mru-0.c8,1308187
L1-D.access-mru-0.c9,1246533
L1-D.access-mru-0.node0,10408431
L1-D.access-mru-0.node1,9452777
L1-D.access-mru-0.total,19861208
L1-D.access-mru-1.c0,176722
L1-D.access-mru-1.c1,128641
L1-D.access-mru-1.c10,118590
L1-D.access-mru-1.c11,117538
L1-D.access-mru-1.c12,119063
L1-D.access-mru-1.c13,118558
L1-D.access-mru-1.c14,118068
L1-D.access-mru-1.c15,119932
L1-D.access-mru-1.c2,127022
L1-D.access-mru-1.c3,124018
L1-D.access-mru-1.c4,126457
L1-D.access-mru-1.c5,123289
L1-D.access-mru-1.c6,124082
L1-D.access-mru-1.c7,122517
L1-D.access-mru-1.c8,120175
L1-D.access-mru-1.c9,116979
L1-D.access-mru-1.node0,1029685
L1-D.access-mru-1.node1,971966
L1-D.access-mru-1.total,2001651
L1-D.access-mru-2.c0,39234
L1-D.access-mru-2.c1,27189
L1-D.access-mru-2.c10,26047
L1-D.access-mru-2.c11,25945
L1-D.access-mru-2.c12,25751
L1-D.access-mru-2.c13,25955
L1-D.access-mru-2.c14,25539
L1-D.access-mru-2.c15,26366
L1-D.access-mru-2.c2,27133
L1-D.access-mru-2.c3,26485
L1-D.access-mru-2.c4,27359
L1-D.access-mru-2.c5,26395
L1-D.access-mru-2.c6,27055
L1-D.access-mru-2.c7,25993
L1-D.access-mru-2.c8,26216
L1-D.access-mru-2.c9,25882
L1-D.access-mru-2.node0,224131
L1-D.access-mru-2.node1,210413
L1-D.access-mru-2.total,434544
L1-D.access-mru-3.c0,14833
L1-D.access-mru-3.c1,7838
L1-D.access-mru-3.c10,7211
L1-D.access-mru-3.c11,7540
L1-D.access-mru-3.c12,7271
L1-D.access-mru-3.c13,7501
L1-D.access-mru-3.c14,7398
L1-D.access-mru-3.c15,7522
L1-D.access-mru-3.c2,7797
L1-D.access-mru-3.c3,7559
L1-D.access-mru-3.c4,7649
L1-D.access-mru-3.c5,7655
L1-D.access-mru-3.c6,7497
L1-D.access-mru-3.c7,7644
L1-D.access-mru-3.c8,7355
L1-D.access-mru-3.c9,7460
L1-D.access-mru-3.node0,67593
L1-D.access-mru-3.node1,60137
L1-D.access-mru-3.total,127730
L1-D.access-mru-4.c0,7230
L1-D.access-mru-4.c1,1871
L1-D.access-mru-4.c10,1662
L1-D.access-mru-4.c11,1506
L1-D.access-mru-4.c12,1644
L1-D.access-mru-4.c13,1511
L1-D.access-mru-4.c14,1595
L1-D.access-mru-4.c15,1638
L1-D.access-mru-4.c2,1895
L1-D.access-mru-4.c3,1648
L1-D.access-mru-4.c4,1861
L1-D.access-mru-4.c5,1592
L1-D.access-mru-4.c6,1729
L1-D.access-mru-4.c7,1551
L1-D.access-mru-4.c8,1768
L1-D.access-mru-4.c9,1484
L1-D.access-mru-4.node0,19064
L1-D.access-mru-4.node1,13121
L1-D.access-mru-4.total,32185
L1-D.access-mru-5.c0,5155
L1-D.access-mru-5.c1,906
L1-D.access-mru-5.c10,548
L1-D.access-mru-5.c11,568
L1-D.access-mru-5.c12,559
L1-D.access-mru-5.c13,587
L1-D.access-mru-5.c14,682
L1-D.access-mru-5.c15,644
L1-D.access-mru-5.c2,696
L1-D.access-mru-5.c3,756
L1-D.access-mru-5.c4,814
L1-D.access-mru-5.c5,669
L1-D.access-mru-5.c6,727
L1-D.access-mru-5.c7,712
L1-D.access-mru-5.c8,616
L1-D.access-mru-5.c9,657
L1-D.access-mru-5.node0,9902
L1-D.access-mru-5.node1,5394
L1-D.access-mru-5.total,15296
L1-D.access-mru-6.c0,3774
L1-D.access-mru-6.c1,630
L1-D.access-mru-6.c10,539
L1-D.access-mru-6.c11,477
L1-D.access-mru-6.c12,548
L1-D.access-mru-6.c13,598
L1-D.access-mru-6.c14,565
L1-D.access-mru-6.c15,484
L1-D.access-mru-6.c2,597
L1-D.access-mru-6.c3,681
L1-D.access-mru-6.c4,503
L1-D.access-mru-6.c5,601
L1-D.access-mru-6.c6,575
L1-D.access-mru-6.c7,568
L1-D.access-mru-6.c8,497
L1-D.access-mru-6.c9,518
L1-D.access-mru-6.node0,7713
L1-D.access-mru-6.node1,4442
L1-D.access-mru-6.total,12155
L1-D.access-mru-7.c0,2841
L1-D.access-mru-7.c1,470
L1-D.access-mru-7.c10,470
L1-D.access-mru-7.c11,450
L1-D.access-mru-7.c12,468
L1-D.access-mru-7.c13,464
L1-D.access-mru-7.c14,503
L1-D.access-mru-7.c15,525
L1-D.access-mru-7.c2,523
L1-D.access-mru-7.c3,451
L1-D.access-mru-7.c4,481
L1-D.access-mru-7.c5,598
L1-D.access-mru-7.c6,504
L1-D.access-mru-7.c7,531
L1-D.access-mru-7.c8,441
L1-D.access-mru-7.c9,426
L1-D.access-mru-7.node0,6072
L1-D.access-mru-7.node1,4074
L1-D.access-mru-7.total,10146
L1-D.coherency-downgrades.c0,15986
L1-D.coherency-downgrades.c1,8686
L1-D.coherency-downgrades.c10,3711
L1-D.coherency-downgrades.c11,5284
L1-D.coherency-downgrades.c12,2276
L1-D.coherency-downgrades.c13,3298
L1-D.coherency-downgrades.c14,3530
L1-D.coherency-downgrades.c15,3964
L1-D.coherency-downgrades.c2,9257
L1-D.coherency-downgrades.c3,9561
L1-D.coherency-downgrades.c4,7094
L1-D.coherency-downgrades.c5,7569
L1-D.coherency-downgrades.c6,7567
L1-D.coherency-downgrades.c7,6903
L1-D.coherency-downgrades.c8,5164
L1-D.coherency-downgrades.c9,2756
L1-D.coherency-downgrades.node0,60405
L1-D.coherency-downgrades.node1,42201
L1-D.coherency-downgrades.total,102606
L1-D.coherency-invalidates.c0,690
L1-D.coherency-invalidates.c1,520
L1-D.coherency-invalidates.c10,1666
L1-D.coherency-invalidates.c11,1702
L1-D.coherency-invalidates.c12,1677
L1-D.coherency-invalidates.c13,1712
L1-D.coherency-invalidates.c14,1507
L1-D.coherency-invalidates.c15,1616
L1-D.coherency-invalidates.c2,756
L1-D.coherency-invalidates.c3,661
L1-D.coherency-invalidates.c4,554
L1-D.coherency-invalidates.c5,377
L1-D.coherency-invalidates.c6,429
L1-D.coherency-invalidates.c7,649
L1-D.coherency-invalidates.c8,1908
L1-D.coherency-invalidates.c9,1798
L1-D.coherency-invalidates.node0,9701
L1-D.coherency-invalidates.node1,8521
L1-D.coherency-invalidates.total,18222
L1-D.coherency-upgrades.c0,168
L1-D.coherency-upgrades.c1,1069
L1-D.coherency-upgrades.c10,521
L1-D.coherency-upgrades.c11,496
L1-D.coherency-upgrades.c12,495
L1-D.coherency-upgrades.c13,519
L1-D.coherency-upgrades.c14,301
L1-D.coherency-upgrades.c15,239
L1-D.coherency-upgrades.c2,1069
L1-D.coherency-upgrades.c3,1071
L1-D.coherency-upgrades.c4,1055
L1-D.coherency-upgrades.c5,1025
L1-D.coherency-upgrades.c6,1209
L1-D.coherency-upgrades.c7,1064
L1-D.coherency-upgrades.c8,349
L1-D.coherency-upgrades.c9,532
L1-D.coherency-upgrades.node0,5275
L1-D.coherency-upgrades.node1,5907
L1-D.coherency-upgrades.total,11182
L1-D.coherency-writebacks.c0,933
L1-D.coherency-writebacks.c1,2085
L1-D.coherency-writebacks.c10,1239
L1-D.coherency-writebacks.c11,1252
L1-D.coherency-writebacks.c12,1264
L1-D.coherency-writebacks.c13,1248
L1-D.coherency-writebacks.c14,1212
L1-D.coherency-writebacks.c15,1163
L1-D.coherency-writebacks.c2,2002
L1-D.coherency-writebacks.c3,2099
L1-D.coherency-writebacks.c4,1898
L1-D.coherency-writebacks.c5,1974
L1-D.coherency-writebacks.c6,1780
L1-D.coherency-writebacks.c7,1643
L1-D.coherency-writebacks.c8,1275
L1-D.coherency-writebacks.c9,1291
L1-D.coherency-writebacks.node0,12176
L1-D.coherency-writebacks.node1,12182
L1-D.coherency-writebacks.total,24358
