                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   11208434 |    3041901 |    2994708 |    3059797 |    2747854 |    3074614 |    3036480 |    2938493 |    2582710 |    2988094 |    3036676 |    3025072 |    2835630 |    3007619 |    3048836 |    3021603
  Cycles                             |   29994800 |   29994800 |   29994800 |   29994800 |    7498700 |    7498700 |    7498700 |    7498700 |   29994800 |   29994800 |   29994800 |   29994800 |    7498700 |    7498700 |    7498700 |    7498700
  IPC                                |       0.37 |       0.10 |       0.10 |       0.10 |       0.37 |       0.41 |       0.40 |       0.39 |       0.09 |       0.10 |       0.10 |       0.10 |       0.38 |       0.40 |       0.41 |       0.40
  Time (ns)                          |    7498700 |    7498700 |    7498700 |    7498700 |    7498700 |    7498700 |    7498700 |    7498700 |    7498700 |    7498700 |    7498700 |    7498700 |    7498700 |    7498700 |    7498700 |    7498700
  Idle time (ns)                     |       2003 |    6239824 |    6240676 |    6240940 |    6211030 |    6211389 |    6211643 |    6212027 |    6242025 |    6242545 |    6242673 |    6243063 |    6212846 |    6213756 |    6213990 |    6214624
  Idle time (%)                      |       0.0% |      83.2% |      83.2% |      83.2% |      82.8% |      82.8% |      82.8% |      82.8% |      83.2% |      83.2% |      83.3% |      83.3% |      82.9% |      82.9% |      82.9% |      82.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1305966 |     977925 |     960085 |     987925 |     859942 |     998765 |     981689 |     941763 |     787229 |     958171 |     976490 |     972787 |     895906 |     969402 |     986819 |     975185
  num incorrect                      |      77032 |       3207 |       3843 |       2805 |       6797 |       1855 |       2487 |       3971 |       9493 |       3952 |       3287 |       3661 |       5576 |       3020 |       2447 |       2796
  misprediction rate                 |      5.57% |      0.33% |      0.40% |      0.28% |      0.78% |      0.19% |      0.25% |      0.42% |      1.19% |      0.41% |      0.34% |      0.37% |      0.62% |      0.31% |      0.25% |      0.29%
  mpki                               |       6.87 |       1.05 |       1.28 |       0.92 |       2.47 |       0.60 |       0.82 |       1.35 |       3.68 |       1.32 |       1.08 |       1.21 |       1.97 |       1.00 |       0.80 |       0.93
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1239338 |      26951 |      27636 |      22896 |      41988 |      18495 |      21722 |      28429 |      64281 |      28335 |      26015 |      27262 |      38056 |      24091 |      21731 |      22986
    num misses                       |        182 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         28 |         26 |         26 |         26
    miss rate                        |      0.01% |      0.10% |      0.09% |      0.11% |      0.06% |      0.14% |      0.12% |      0.09% |      0.04% |      0.09% |      0.10% |      0.10% |      0.07% |      0.11% |      0.12% |      0.11%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2419534 |     554501 |     549740 |     555100 |     523091 |     552409 |     549674 |     539155 |     509539 |     547728 |     554007 |     552206 |     530823 |     547523 |     551376 |     548474
    num misses                       |       1902 |        142 |        148 |        146 |        126 |        127 |        128 |        122 |        124 |        128 |        123 |        111 |        126 |        122 |        126 |        121
    miss rate                        |      0.08% |      0.03% |      0.03% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.17 |       0.05 |       0.05 |       0.05 |       0.05 |       0.04 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       2084 |        168 |        174 |        172 |        152 |        153 |        154 |        148 |        150 |        154 |        149 |        137 |        154 |        148 |        152 |        147
    num misses                       |        609 |        139 |        138 |        135 |        126 |        133 |        136 |        134 |        125 |        132 |        133 |        122 |        127 |        129 |        127 |        123
