                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   10995814 |    3105337 |    3062155 |    3150468 |    2819826 |    3156163 |    3118342 |    3014904 |    2606216 |    3082889 |    3117706 |    3088606 |    2899182 |    3071678 |    3121574 |    3084130
  Cycles                             |   11050400 |   11050400 |   11050400 |   11050400 |    8287800 |    8287800 |    8287800 |    8287800 |   11050400 |   11050400 |   11050400 |   11050400 |    8287800 |    8287800 |    8287800 |    8287800
  IPC                                |       1.00 |       0.28 |       0.28 |       0.29 |       0.34 |       0.38 |       0.38 |       0.36 |       0.24 |       0.28 |       0.28 |       0.28 |       0.35 |       0.37 |       0.38 |       0.37
  Time (ns)                          |    2762600 |    2762600 |    2762600 |    2762600 |    2762600 |    2762600 |    2762600 |    2762600 |    2762600 |    2762600 |    2762600 |    2762600 |    2762600 |    2762600 |    2762600 |    2762600
  Idle time (ns)                     |       1657 |    2290037 |    2290548 |    2290405 |    2280648 |    2280873 |    2280898 |    2281048 |    2291043 |    2291332 |    2291307 |    2291404 |    2281457 |    2281601 |    2281708 |    2281772
  Idle time (%)                      |       0.1% |      82.9% |      82.9% |      82.9% |      82.6% |      82.6% |      82.6% |      82.6% |      82.9% |      82.9% |      82.9% |      82.9% |      82.6% |      82.6% |      82.6% |      82.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1335646 |     997484 |     979954 |    1015791 |     880523 |    1024248 |    1006914 |     964849 |     788130 |     986930 |    1001461 |     991599 |     914333 |     988314 |    1009012 |     993565
  num incorrect                      |      75006 |       3455 |       3843 |       2799 |       6799 |       1831 |       2519 |       3923 |       9773 |       3878 |       3318 |       3709 |       5676 |       3124 |       2439 |       2893
  misprediction rate                 |      5.32% |      0.35% |      0.39% |      0.27% |      0.77% |      0.18% |      0.25% |      0.40% |      1.22% |      0.39% |      0.33% |      0.37% |      0.62% |      0.32% |      0.24% |      0.29%
  mpki                               |       6.82 |       1.11 |       1.25 |       0.89 |       2.41 |       0.58 |       0.81 |       1.30 |       3.75 |       1.26 |       1.06 |       1.20 |       1.96 |       1.02 |       0.78 |       0.94
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1265653 |      21437 |      24118 |      20261 |      37595 |      15402 |      18270 |      23701 |      55024 |      25047 |      21907 |      22083 |      32910 |      20655 |      18109 |      19808
    num misses                       |        173 |         29 |         29 |         31 |         29 |         29 |         29 |         29 |         46 |         29 |         29 |         29 |         29 |         29 |         29 |         29
    miss rate                        |      0.01% |      0.14% |      0.12% |      0.15% |      0.08% |      0.19% |      0.16% |      0.12% |      0.08% |      0.12% |      0.13% |      0.13% |      0.09% |      0.14% |      0.16% |      0.15%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2659750 |     569188 |     565203 |     574210 |     539496 |     570060 |     567550 |     556369 |     523437 |     567673 |     571751 |     567002 |     546108 |     562288 |     567630 |     563327
    num misses                       |       1990 |        156 |        169 |        152 |        136 |        145 |        157 |        145 |        166 |        142 |        153 |        137 |        135 |        126 |        147 |        160
    miss rate                        |      0.07% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.02% |      0.02% |      0.02% |      0.03% |      0.03%
    mpki                             |       0.18 |       0.05 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.06 |       0.05 |       0.05 |       0.04 |       0.05 |       0.04 |       0.05 |       0.05
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       2163 |        185 |        198 |        183 |        165 |        174 |        186 |        174 |        212 |        171 |        182 |        166 |        164 |        155 |        176 |        189
    num misses                       |        622 |        141 |        141 |        139 |        132 |        138 |        137 |        133 |        164 |        138 |        146 |        135 |        133 |        132 |        133 |        140
    miss rate                        |     28.76% |     76.22% |     71.21% |     75.96% |     80.00% |     79.31% |     73.66% |     76.44% |     77.36% |     80.70% |     80.22% |     81.33% |     81.10% |     85.16% |     75.57% |     74.07%
    mpki                             |       0.06 |       0.05 |       0.05 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04 |       0.06 |       0.04 |       0.05 |       0.04 |       0.05 |       0.04 |       0.04 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1265653 |      21437 |      24118 |      20261 |      37595 |      15402 |      18270 |      23701 |      55024 |      25047 |      21907 |      22083 |      32910 |      20655 |      18109 |      19808
    num cache misses                 |       2808 |        178 |        179 |        184 |        177 |        176 |        177 |        176 |        375 |        176 |        177 |        176 |        176 |        177 |        176 |        177
    miss rate                        |      0.22% |      0.83% |      0.74% |      0.91% |      0.47% |      1.14% |      0.97% |      0.74% |      0.68% |      0.70% |      0.81% |      0.80% |      0.53% |      0.86% |      0.97% |      0.89%
    mpki                             |       0.26 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.14 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2659750 |     569188 |     565203 |     574210 |     539496 |     570060 |     567550 |     556369 |     523437 |     567673 |     571751 |     567002 |     546108 |     562288 |     567630 |     563327
    num cache misses                 |      32432 |       6960 |       7145 |       6934 |       7240 |       6811 |       6872 |       6930 |       7927 |       6900 |       6992 |       6925 |       7101 |       6892 |       6877 |       6904
    miss rate                        |      1.22% |      1.22% |      1.26% |      1.21% |      1.34% |      1.19% |      1.21% |      1.25% |      1.51% |      1.22% |      1.22% |      1.22% |      1.30% |      1.23% |      1.21% |      1.23%
    mpki                             |       2.95 |       2.24 |       2.33 |       2.20 |       2.57 |       2.16 |       2.20 |       2.30 |       3.04 |       2.24 |       2.24 |       2.24 |       2.45 |       2.24 |       2.20 |       2.24
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      37513 |       7203 |       7396 |       7158 |       7535 |       7026 |       7109 |       7174 |       8549 |       7287 |       7386 |       7298 |       7511 |       7267 |       7237 |       7288
    num cache misses                 |      24065 |       6806 |       6958 |       6816 |       6978 |       6754 |       6777 |       6842 |       7483 |       6772 |       6865 |       6859 |       6939 |       6821 |       6795 |       6811
    miss rate                        |     64.15% |     94.49% |     94.08% |     95.22% |     92.61% |     96.13% |     95.33% |     95.37% |     87.53% |     92.93% |     92.95% |     93.98% |     92.38% |     93.86% |     93.89% |     93.45%
    mpki                             |       2.19 |       2.19 |       2.27 |       2.16 |       2.47 |       2.14 |       2.17 |       2.27 |       2.87 |       2.20 |       2.20 |       2.22 |       2.39 |       2.22 |       2.18 |       2.21
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      27111 |       6869 |       7031 |       6855 |       7096 |       6792 |       6836 |       6910 |       7797 |       6983 |       7081 |       7056 |       7173 |       7018 |       6979 |       7018
    num cache misses                 |      20565 |       3433 |       3592 |       3482 |       3657 |       3508 |       3464 |       3462 |       4483 |       4020 |       3808 |       3812 |       3873 |       3702 |       3779 |       3782
    miss rate                        |     75.85% |     49.98% |     51.09% |     50.80% |     51.54% |     51.65% |     50.67% |     50.10% |     57.50% |     57.57% |     53.78% |     54.02% |     53.99% |     52.75% |     54.15% |     53.89%
    mpki                             |       1.87 |       1.11 |       1.17 |       1.11 |       1.30 |       1.11 |       1.11 |       1.15 |       1.72 |       1.30 |       1.22 |       1.23 |       1.34 |       1.21 |       1.21 |       1.23
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      11285 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      11194 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.66 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.59 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.41 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.33 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      10338 |         97 |         71 |         87 |         77 |         96 |         69 |         73 |        138 |         51 |         60 |         77 |         77 |         48 |         58 |         43
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1198 |       1131 |       1122 |       1089 |       1129 |       1127 |       1096 |       1115 |       1555 |       1488 |       1424 |       1380 |       1447 |       1327 |       1316 |       1361
