metric,value
timestamp,2026-07-09T01:21:59
workload,canneal
strategy,Packed
bench_class,S
num_threads,16
output_dir,Outputs/sizeS/16TH/canneal_S_Packed_16TH_20260708_223450
cpu_map,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,1435.115
total_instructions,4835876045
avg_ipc,0.0718
avg_ipc_p,0.0962
avg_ipc_e,0.0475
total_power_W,7.3087
dynamic_W,1.681
leakage_W,5.6
dram_W,0.0277
energy_J,10.488787
node0_reads,2275173
node1_reads,2276128
node0_pct,49.9895
node0_writes,1183926
node1_writes,1184038
dram_local,1925523
dram_remote,1927578
dram_remote_pct,50.0267
l1d_miss_pct,1.4267
l2_miss_pct,62.065
l3_miss_pct,25.6139
l1d_mpki,5.012
l2_mpki,3.1107
l3_mpki,0.7968
l3_miss_count,3853101
cpi_base_frac,0.6186
cpi_branch_frac,0.1821
cpi_l2_frac,0.0151
cpi_l3_frac,0.0829
cpi_dram_local_frac,0.0501
cpi_dram_remote_frac,0.0513
futex_wake_count,72
futex_wait_count,470
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.0183
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,2241096952
L1-D.access-mru-0.c1,36965083
L1-D.access-mru-0.c10,36691507
L1-D.access-mru-0.c11,37024049
L1-D.access-mru-0.c12,36262838
L1-D.access-mru-0.c13,36572486
L1-D.access-mru-0.c14,36491623
L1-D.access-mru-0.c15,36767904
L1-D.access-mru-0.c2,36812343
L1-D.access-mru-0.c3,36761113
L1-D.access-mru-0.c4,36733595
L1-D.access-mru-0.c5,36548639
L1-D.access-mru-0.c6,36405450
L1-D.access-mru-0.c7,36555004
L1-D.access-mru-0.c8,36778446
L1-D.access-mru-0.c9,36441178
L1-D.access-mru-0.node0,2497878179
L1-D.access-mru-0.node1,293030031
L1-D.access-mru-0.total,2790908210
L1-D.access-mru-1.c0,43418101
L1-D.access-mru-1.c1,580801
L1-D.access-mru-1.c10,568004
L1-D.access-mru-1.c11,522297
L1-D.access-mru-1.c12,729655
L1-D.access-mru-1.c13,715718
L1-D.access-mru-1.c14,723676
L1-D.access-mru-1.c15,733107
L1-D.access-mru-1.c2,541607
L1-D.access-mru-1.c3,570920
L1-D.access-mru-1.c4,734994
L1-D.access-mru-1.c5,729192
L1-D.access-mru-1.c6,722190
L1-D.access-mru-1.c7,721539
L1-D.access-mru-1.c8,515504
L1-D.access-mru-1.c9,554978
L1-D.access-mru-1.node0,48019344
L1-D.access-mru-1.node1,5062939
L1-D.access-mru-1.total,53082283
L1-D.access-mru-2.c0,14241649
L1-D.access-mru-2.c1,71821
L1-D.access-mru-2.c10,74366
L1-D.access-mru-2.c11,63425
L1-D.access-mru-2.c12,110930
L1-D.access-mru-2.c13,110542
L1-D.access-mru-2.c14,110514
L1-D.access-mru-2.c15,111968
L1-D.access-mru-2.c2,63186
L1-D.access-mru-2.c3,69285
L1-D.access-mru-2.c4,111884
L1-D.access-mru-2.c5,113123
L1-D.access-mru-2.c6,110597
L1-D.access-mru-2.c7,112095
L1-D.access-mru-2.c8,62789
L1-D.access-mru-2.c9,67690
L1-D.access-mru-2.node0,14893640
L1-D.access-mru-2.node1,712224
L1-D.access-mru-2.total,15605864
L1-D.access-mru-3.c0,5668779
L1-D.access-mru-3.c1,15810
L1-D.access-mru-3.c10,17020
L1-D.access-mru-3.c11,14626
L1-D.access-mru-3.c12,28108
L1-D.access-mru-3.c13,27945
L1-D.access-mru-3.c14,27868
L1-D.access-mru-3.c15,28141
L1-D.access-mru-3.c2,14147
L1-D.access-mru-3.c3,15817
L1-D.access-mru-3.c4,28116
L1-D.access-mru-3.c5,27397
L1-D.access-mru-3.c6,28000
L1-D.access-mru-3.c7,28127
L1-D.access-mru-3.c8,14407
L1-D.access-mru-3.c9,15537
L1-D.access-mru-3.node0,5826193
L1-D.access-mru-3.node1,173652
L1-D.access-mru-3.total,5999845
L1-D.access-mru-4.c0,2487670
L1-D.access-mru-4.c1,4135
L1-D.access-mru-4.c10,4213
L1-D.access-mru-4.c11,3837
L1-D.access-mru-4.c12,7009
L1-D.access-mru-4.c13,6815
L1-D.access-mru-4.c14,6819
L1-D.access-mru-4.c15,6973
L1-D.access-mru-4.c2,3910
L1-D.access-mru-4.c3,4087
L1-D.access-mru-4.c4,6969
L1-D.access-mru-4.c5,6833
L1-D.access-mru-4.c6,6809
L1-D.access-mru-4.c7,6794
L1-D.access-mru-4.c8,3807
L1-D.access-mru-4.c9,3947
L1-D.access-mru-4.node0,2527207
L1-D.access-mru-4.node1,43420
L1-D.access-mru-4.total,2570627
L1-D.access-mru-5.c0,1287365
L1-D.access-mru-5.c1,1819
L1-D.access-mru-5.c10,1925
L1-D.access-mru-5.c11,1792
L1-D.access-mru-5.c12,2324
L1-D.access-mru-5.c13,2245
L1-D.access-mru-5.c14,2227
L1-D.access-mru-5.c15,2250
L1-D.access-mru-5.c2,1687
L1-D.access-mru-5.c3,1842
L1-D.access-mru-5.c4,2287
L1-D.access-mru-5.c5,2124
L1-D.access-mru-5.c6,2199
L1-D.access-mru-5.c7,2240
L1-D.access-mru-5.c8,1867
L1-D.access-mru-5.c9,1806
L1-D.access-mru-5.node0,1301563
L1-D.access-mru-5.node1,16436
L1-D.access-mru-5.total,1317999
L1-D.access-mru-6.c0,760160
L1-D.access-mru-6.c1,1427
L1-D.access-mru-6.c10,1409
L1-D.access-mru-6.c11,1441
L1-D.access-mru-6.c12,1232
L1-D.access-mru-6.c13,1203
L1-D.access-mru-6.c14,1174
L1-D.access-mru-6.c15,1291
L1-D.access-mru-6.c2,1443
L1-D.access-mru-6.c3,1435
L1-D.access-mru-6.c4,1289
L1-D.access-mru-6.c5,1332
L1-D.access-mru-6.c6,1232
L1-D.access-mru-6.c7,1283
L1-D.access-mru-6.c8,1339
L1-D.access-mru-6.c9,1394
L1-D.access-mru-6.node0,769601
L1-D.access-mru-6.node1,10483
L1-D.access-mru-6.total,780084
L1-D.access-mru-7.c0,495573
L1-D.access-mru-7.c1,1360
L1-D.access-mru-7.c10,1325
L1-D.access-mru-7.c11,1275
L1-D.access-mru-7.c12,1058
L1-D.access-mru-7.c13,1007
L1-D.access-mru-7.c14,1045
L1-D.access-mru-7.c15,1005
L1-D.access-mru-7.c2,1289
L1-D.access-mru-7.c3,1267
L1-D.access-mru-7.c4,1009
L1-D.access-mru-7.c5,1044
L1-D.access-mru-7.c6,1045
L1-D.access-mru-7.c7,996
L1-D.access-mru-7.c8,1287
L1-D.access-mru-7.c9,1326
L1-D.access-mru-7.node0,503583
L1-D.access-mru-7.node1,9328
L1-D.access-mru-7.total,512911
L1-D.backinval-E.c0,12007
L1-D.backinval-E.c1,43
L1-D.backinval-E.c12,15
L1-D.backinval-E.c13,21
L1-D.backinval-E.c14,21
L1-D.backinval-E.c2,46
L1-D.backinval-E.c3,42
L1-D.backinval-E.c4,37
L1-D.backinval-E.c5,24
L1-D.backinval-E.c6,39
L1-D.backinval-E.c7,47
L1-D.backinval-E.c8,5
L1-D.backinval-E.c9,7
L1-D.backinval-E.node0,12285
L1-D.backinval-E.node1,69
L1-D.backinval-E.total,12354
L1-D.backinval-M.c0,41212
L1-D.backinval-M.c1,171
L1-D.backinval-M.c10,95
