                                     | Core 0     | Core 1    
  Instructions                       |  362470324 |  362303126
  Cycles                             |  117698820 |  117698820
  IPC                                |       3.08 |       3.08
  Time (ns)                          |   40585800 |   40585800
  Idle time (ns)                     |        488 |     362075
  Idle time (%)                      |       0.0% |       0.9%
Branch predictor stats               |            |           
  num correct                        |   17415545 |   17508213
  num incorrect                      |     501947 |     487697
  misprediction rate                 |      2.80% |      2.71%
  mpki                               |       1.38 |       1.35
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   32385795 |   32252586
    num misses                       |        336 |         28
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |  112886387 |  112566497
    num misses                       |     109358 |     106727
    miss rate                        |      0.10% |      0.09%
    mpki                             |       0.30 |       0.29
  L2 TLB                             |            |           
    num accesses                     |     109694 |     106755
    num misses                       |      25111 |      23904
    miss rate                        |     22.89% |     22.39%
    mpki                             |       0.07 |       0.07
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   32385795 |   32252586
    num cache misses                 |      13729 |       3697
    miss rate                        |      0.04% |      0.01%
    mpki                             |       0.04 |       0.01
  Cache L1-D                         |            |           
    num cache accesses               |  112886387 |  112566497
    num cache misses                 |   11160168 |   11165590
    miss rate                        |      9.89% |      9.92%
    mpki                             |      30.79 |      30.82
  Cache L2                           |            |           
    num cache accesses               |   11191683 |   11186028
    num cache misses                 |    1539596 |    1515369
    miss rate                        |     13.76% |     13.55%
    mpki                             |       4.25 |       4.18
  Cache L3                           |            |           
    num cache accesses               |    1757518 |    1732233
    num cache misses                 |     361226 |     352267
    miss rate                        |     20.55% |     20.34%
    mpki                             |       1.00 |       0.97
DRAM summary                         |            |           
  num dram accesses                  |      89271 |      89190
  average dram access latency (ns)   |      61.64 |      61.55
  average dram queueing delay        |       0.39 |       0.30
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       5827 |        605
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |     250444 |     250904
