metric,value
timestamp,2026-07-09T20:59:01
workload,IS
strategy,Scatter
bench_class,S
num_threads,2
output_dir,Outputs/sizeS/2TH/IS_S_Scatter_2TH_20260709_195844
cpu_map,"[0, 8]"
p_core_count,2
e_core_count,0
node0_threads,1
node1_threads,1
sim_time_ms,8.0356
total_instructions,36878653
avg_ipc,0.5737
avg_ipc_p,0.5737
avg_ipc_e,0.0
total_power_W,3.309
dynamic_W,2.2947
leakage_W,1.0
dram_W,0.0143
energy_J,0.02659
node0_reads,9014
node1_reads,8950
node0_pct,50.1781
node0_writes,0
node1_writes,0
dram_local,3288
dram_remote,3295
dram_remote_pct,50.0532
l1d_miss_pct,1.4189
l2_miss_pct,8.5604
l3_miss_pct,57.5286
l1d_mpki,3.6247
l2_mpki,0.3103
l3_mpki,0.1785
l3_miss_count,6583
cpi_base_frac,0.9768
cpi_branch_frac,0.0134
cpi_l2_frac,0.0001
cpi_l3_frac,0.0032
cpi_dram_local_frac,0.0027
cpi_dram_remote_frac,0.0037
futex_wake_count,54
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,2.9017
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,5888749
L1-D.access-mru-0.c1,5971523
L1-D.access-mru-0.node0,5888749
L1-D.access-mru-0.node1,5971523
L1-D.access-mru-0.total,11860272
L1-D.access-mru-1.c0,483204
L1-D.access-mru-1.c1,239516
L1-D.access-mru-1.node0,483204
L1-D.access-mru-1.node1,239516
L1-D.access-mru-1.total,722720
L1-D.access-mru-2.c0,77028
L1-D.access-mru-2.c1,73950
L1-D.access-mru-2.node0,77028
L1-D.access-mru-2.node1,73950
L1-D.access-mru-2.total,150978
L1-D.access-mru-3.c0,46329
L1-D.access-mru-3.c1,46089
L1-D.access-mru-3.node0,46329
L1-D.access-mru-3.node1,46089
L1-D.access-mru-3.total,92418
L1-D.access-mru-4.c0,29675
L1-D.access-mru-4.c1,30014
L1-D.access-mru-4.node0,29675
L1-D.access-mru-4.node1,30014
L1-D.access-mru-4.total,59689
L1-D.access-mru-5.c0,17314
L1-D.access-mru-5.c1,18288
L1-D.access-mru-5.node0,17314
L1-D.access-mru-5.node1,18288
L1-D.access-mru-5.total,35602
L1-D.access-mru-6.c0,10056
L1-D.access-mru-6.c1,10395
L1-D.access-mru-6.node0,10056
L1-D.access-mru-6.node1,10395
L1-D.access-mru-6.total,20451
L1-D.access-mru-7.c0,5678
L1-D.access-mru-7.c1,5951
L1-D.access-mru-7.node0,5678
L1-D.access-mru-7.node1,5951
L1-D.access-mru-7.total,11629
L1-D.coherency-downgrades.c0,75900
L1-D.coherency-downgrades.c1,78385
L1-D.coherency-downgrades.node0,75900
L1-D.coherency-downgrades.node1,78385
L1-D.coherency-downgrades.total,154285
L1-D.coherency-invalidates.c0,22973
L1-D.coherency-invalidates.c1,23722
L1-D.coherency-invalidates.node0,22973
L1-D.coherency-invalidates.node1,23722
L1-D.coherency-invalidates.total,46695
L1-D.coherency-writebacks.c0,67393
L1-D.coherency-writebacks.c1,66095
L1-D.coherency-writebacks.node0,67393
L1-D.coherency-writebacks.node1,66095
L1-D.coherency-writebacks.total,133488
L1-D.evict-E.c0,5500
L1-D.evict-E.c1,9
L1-D.evict-E.node0,5500
L1-D.evict-E.node1,9
L1-D.evict-E.total,5509
L1-D.evict-M.c0,102535
L1-D.evict-M.c1,95673
L1-D.evict-M.node0,102535
L1-D.evict-M.node1,95673
L1-D.evict-M.total,198208
L1-D.evict-S.c0,17277
L1-D.evict-S.c1,18224
L1-D.evict-S.node0,17277
L1-D.evict-S.node1,18224
L1-D.evict-S.total,35501
L1-D.load-misses-I.c0,160983
L1-D.load-misses-I.c1,151401
L1-D.load-misses-I.node0,160983
L1-D.load-misses-I.node1,151401
L1-D.load-misses-I.total,312384
L1-D.load-misses-S.c0,2
L1-D.load-misses-S.c1,10
L1-D.load-misses-S.node0,2
L1-D.load-misses-S.node1,10
L1-D.load-misses-S.total,12
L1-D.load-misses.c0,160985
L1-D.load-misses.c1,151411
L1-D.load-misses.node0,160985
L1-D.load-misses.node1,151411
L1-D.load-misses.total,312396
L1-D.loads-E.c0,68289
L1-D.loads-E.c1,134
L1-D.loads-E.node0,68289
L1-D.loads-E.node1,134
L1-D.loads-E.total,68423
L1-D.loads-I.c0,160983
L1-D.loads-I.c1,151401
L1-D.loads-I.node0,160983
L1-D.loads-I.node1,151401
L1-D.loads-I.total,312384
L1-D.loads-M.c0,3522381
L1-D.loads-M.c1,3456683
L1-D.loads-M.node0,3522381
L1-D.loads-M.node1,3456683
L1-D.loads-M.total,6979064
L1-D.loads-S.c0,1101131
L1-D.loads-S.c1,1138675
L1-D.loads-S.node0,1101131
L1-D.loads-S.node1,1138675
L1-D.loads-S.total,2239806
L1-D.loads-where-L1.c0,4691799
L1-D.loads-where-L1.c1,4595482
L1-D.loads-where-L1.node0,4691799
L1-D.loads-where-L1.node1,4595482
L1-D.loads-where-L1.total,9287281
L1-D.loads-where-L2.c0,61816
L1-D.loads-where-L2.c1,60414
L1-D.loads-where-L2.node0,61816
L1-D.loads-where-L2.node1,60414
L1-D.loads-where-L2.total,122230
L1-D.loads-where-L3.c0,2430
L1-D.loads-where-L3.c1,2430
L1-D.loads-where-L3.node0,2430
L1-D.loads-where-L3.node1,2430
L1-D.loads-where-L3.total,4860
L1-D.loads-where-cache-remote.c0,90179
L1-D.loads-where-cache-remote.c1,88544
L1-D.loads-where-cache-remote.node0,90179
L1-D.loads-where-cache-remote.node1,88544
L1-D.loads-where-cache-remote.total,178723
L1-D.loads-where-dram-local.c0,3279
L1-D.loads-where-dram-local.c1,9
L1-D.loads-where-dram-local.node0,3279
L1-D.loads-where-dram-local.node1,9
L1-D.loads-where-dram-local.total,3288
L1-D.loads-where-dram-remote.c0,3281
L1-D.loads-where-dram-remote.c1,14
L1-D.loads-where-dram-remote.node0,3281
L1-D.loads-where-dram-remote.node1,14
L1-D.loads-where-dram-remote.total,3295
L1-D.loads.c0,4852784
L1-D.loads.c1,4746893
L1-D.loads.node0,4852784
L1-D.loads.node1,4746893
L1-D.loads.total,9599677
L1-D.store-misses-E.c0,1872
L1-D.store-misses-E.c1,9
L1-D.store-misses-E.node0,1872
L1-D.store-misses-E.node1,9
L1-D.store-misses-E.total,1881
L1-D.store-misses-I.c0,53368
L1-D.store-misses-I.c1,51273
L1-D.store-misses-I.node0,53368
L1-D.store-misses-I.node1,51273
L1-D.store-misses-I.total,104641
L1-D.store-misses-S.c0,129927
L1-D.store-misses-S.c1,128936
L1-D.store-misses-S.node0,129927
L1-D.store-misses-S.node1,128936
L1-D.store-misses-S.total,258863
L1-D.store-misses.c0,185167
L1-D.store-misses.c1,180218
L1-D.store-misses.node0,185167
L1-D.store-misses.node1,180218
L1-D.store-misses.total,365385
L1-D.stores-E.c0,1872
L1-D.stores-E.c1,9
L1-D.stores-E.node0,1872
L1-D.stores-E.node1,9
L1-D.stores-E.total,1881
L1-D.stores-I.c0,53368
L1-D.stores-I.c1,51273
L1-D.stores-I.node0,53368
L1-D.stores-I.node1,51273
L1-D.stores-I.total,104641
L1-D.stores-M.c0,1866234
L1-D.stores-M.c1,1800244
L1-D.stores-M.node0,1866234
L1-D.stores-M.node1,1800244
L1-D.stores-M.total,3666478
L1-D.stores-S.c0,129927
L1-D.stores-S.c1,128936
L1-D.stores-S.node0,129927
L1-D.stores-S.node1,128936
L1-D.stores-S.total,258863
L1-D.stores-where-L1.c0,1866234
L1-D.stores-where-L1.c1,1800244
L1-D.stores-where-L1.node0,1866234
L1-D.stores-where-L1.node1,1800244
L1-D.stores-where-L1.total,3666478
L1-D.stores-where-L2.c0,19003
L1-D.stores-where-L2.c1,17908
L1-D.stores-where-L2.node0,19003
L1-D.stores-where-L2.node1,17908
L1-D.stores-where-L2.total,36911
L1-D.stores-where-L3.c0,166164
L1-D.stores-where-L3.c1,162310
L1-D.stores-where-L3.node0,166164
L1-D.stores-where-L3.node1,162310
L1-D.stores-where-L3.total,328474
L1-D.stores.c0,2051401
L1-D.stores.c1,1980462
L1-D.stores.node0,2051401
L1-D.stores.node1,1980462
L1-D.stores.total,4031863
L1-D.total-latency.c0,6872506082576
L1-D.total-latency.c1,6259733265768
L1-D.total-latency.node0,6872506082576
L1-D.total-latency.node1,6259733265768
L1-D.total-latency.total,13132239348344
L1-I.access-mru-0.c0,1214930
L1-I.access-mru-0.c1,1143299
L1-I.access-mru-0.node0,1214930
L1-I.access-mru-0.node1,1143299
L1-I.access-mru-0.total,2358229
L1-I.access-mru-1.c0,3735
L1-I.access-mru-1.c1,280
L1-I.access-mru-1.node0,3735
L1-I.access-mru-1.node1,280
L1-I.access-mru-1.total,4015
L1-I.access-mru-2.c0,859
L1-I.access-mru-2.c1,15
L1-I.access-mru-2.node0,859
L1-I.access-mru-2.node1,15
L1-I.access-mru-2.total,874
L1-I.access-mru-3,247
L1-I.backinval-E,4
L1-I.backinval-S,6
L1-I.coherency-downgrades.c0,78
L1-I.coherency-downgrades.c1,38
L1-I.coherency-downgrades.node0,78
L1-I.coherency-downgrades.node1,38
L1-I.coherency-downgrades.total,116
L1-I.evict-E,1276
L1-I.evict-S,60
L1-I.load-misses-I.c0,1858
L1-I.load-misses-I.c1,142
L1-I.load-misses-I.node0,1858
L1-I.load-misses-I.node1,142
L1-I.load-misses-I.total,2000
L1-I.load-misses.c0,1858
L1-I.load-misses.c1,142
L1-I.load-misses.node0,1858
L1-I.load-misses.node1,142
L1-I.load-misses.total,2000
L1-I.loads-E.c0,63210
L1-I.loads-E.c1,366
L1-I.loads-E.node0,63210
L1-I.loads-E.node1,366
L1-I.loads-E.total,63576
L1-I.loads-I.c0,1858
L1-I.loads-I.c1,142
L1-I.loads-I.node0,1858
L1-I.loads-I.node1,142
L1-I.loads-I.total,2000
L1-I.loads-S.c0,1156561
L1-I.loads-S.c1,1143228
L1-I.loads-S.node0,1156561
L1-I.loads-S.node1,1143228
L1-I.loads-S.total,2299789
L1-I.loads-where-L1I.c0,1219771
L1-I.loads-where-L1I.c1,1143594
L1-I.loads-where-L1I.node0,1219771
L1-I.loads-where-L1I.node1,1143594
L1-I.loads-where-L1I.total,2363365
L1-I.loads-where-L2,186
L1-I.loads-where-L3,6
L1-I.loads-where-cache-remote.c0,38
L1-I.loads-where-cache-remote.c1,89
L1-I.loads-where-cache-remote.node0,38
L1-I.loads-where-cache-remote.node1,89
L1-I.loads-where-cache-remote.total,127
L1-I.loads-where-dram-local.c0,823
L1-I.loads-where-dram-local.c1,25
L1-I.loads-where-dram-local.node0,823
L1-I.loads-where-dram-local.node1,25
L1-I.loads-where-dram-local.total,848
L1-I.loads-where-dram-remote.c0,805
L1-I.loads-where-dram-remote.c1,28
L1-I.loads-where-dram-remote.node0,805
L1-I.loads-where-dram-remote.node1,28
L1-I.loads-where-dram-remote.total,833
L1-I.loads.c0,1221629
L1-I.loads.c1,1143736
L1-I.loads.node0,1221629
L1-I.loads.node1,1143736
L1-I.loads.total,2365365
L1-I.total-latency.c0,116661158112
L1-I.total-latency.c1,5971849307
L1-I.total-latency.node0,116661158112
L1-I.total-latency.node1,5971849307
L1-I.total-latency.total,122633007419
L2.access-mru-0.c0,30347
L2.access-mru-0.c1,30992
L2.access-mru-0.node0,30347
L2.access-mru-0.node1,30992
L2.access-mru-0.total,61339
L2.access-mru-1.c0,34810
L2.access-mru-1.c1,34036
L2.access-mru-1.node0,34810
L2.access-mru-1.node1,34036
L2.access-mru-1.total,68846
L2.access-mru-2.c0,14977
L2.access-mru-2.c1,12152
L2.access-mru-2.node0,14977
L2.access-mru-2.node1,12152
L2.access-mru-2.total,27129
L2.access-mru-3.c0,633
L2.access-mru-3.c1,1137
L2.access-mru-3.node0,633
L2.access-mru-3.node1,1137
L2.access-mru-3.total,1770
L2.access-mru-4.c0,108
L2.access-mru-4.c1,5
L2.access-mru-4.node0,108
L2.access-mru-4.node1,5
L2.access-mru-4.total,113
L2.access-mru-5,54
L2.access-mru-6,42
L2.access-mru-7,34
L2.coherency-downgrades.c0,88633
L2.coherency-downgrades.c1,90217
L2.coherency-downgrades.node0,88633
L2.coherency-downgrades.node1,90217
L2.coherency-downgrades.total,178850
L2.coherency-invalidates.c0,33535
L2.coherency-invalidates.c1,35696
L2.coherency-invalidates.node0,33535
L2.coherency-invalidates.node1,35696
L2.coherency-invalidates.total,69231
L2.coherency-writebacks.c0,75459
L2.coherency-writebacks.c1,72982
L2.coherency-writebacks.node0,75459
L2.coherency-writebacks.node1,72982
L2.coherency-writebacks.total,148441
L2.evict-E,154
L2.evict-M,60
L2.evict-S,6
L2.load-misses-I.c0,100839
L2.load-misses-I.c1,91129
L2.load-misses-I.node0,100839
L2.load-misses-I.node1,91129
L2.load-misses-I.total,191968
L2.load-misses-S.c0,2
L2.load-misses-S.c1,10
L2.load-misses-S.node0,2
L2.load-misses-S.node1,10
L2.load-misses-S.total,12
L2.load-misses.c0,100841
L2.load-misses.c1,91139
L2.load-misses.node0,100841
L2.load-misses.node1,91139
L2.load-misses.total,191980
L2.loads-E,1081
L2.loads-I.c0,100839
L2.loads-I.c1,91129
L2.loads-I.node0,100839
L2.loads-I.node1,91129
L2.loads-I.total,191968
L2.loads-M.c0,58589
L2.loads-M.c1,57861
L2.loads-M.node0,58589
L2.loads-M.node1,57861
L2.loads-M.total,116450
L2.loads-S.c0,2334
L2.loads-S.c1,2563
L2.loads-S.node0,2334
L2.loads-S.node1,2563
L2.loads-S.total,4897
L2.loads.c0,162843
L2.loads.c1,151553
L2.loads.node0,162843
L2.loads.node1,151553
L2.loads.total,314396
L2.store-misses-E.c0,1877
L2.store-misses-E.c1,9
L2.store-misses-E.node0,1877
L2.store-misses-E.node1,9
L2.store-misses-E.total,1886
L2.store-misses-I.c0,24517
L2.store-misses-I.c1,24700
L2.store-misses-I.node0,24517
L2.store-misses-I.node1,24700
L2.store-misses-I.total,49217
L2.store-misses-S.c0,139770
L2.store-misses-S.c1,137601
L2.store-misses-S.node0,139770
L2.store-misses-S.node1,137601
L2.store-misses-S.total,277371
L2.store-misses.c0,166164
L2.store-misses.c1,162310
L2.store-misses.node0,166164
L2.store-misses.node1,162310
L2.store-misses.total,328474
L2.stores-E.c0,1877
L2.stores-E.c1,9
L2.stores-E.node0,1877
L2.stores-E.node1,9
L2.stores-E.total,1886
L2.stores-I.c0,24517
L2.stores-I.c1,24700
L2.stores-I.node0,24517
L2.stores-I.node1,24700
L2.stores-I.total,49217
L2.stores-M.c0,19003
L2.stores-M.c1,17908
L2.stores-M.node0,19003
L2.stores-M.node1,17908
L2.stores-M.total,36911
L2.stores-S.c0,139770
L2.stores-S.c1,137601
L2.stores-S.node0,139770
L2.stores-S.node1,137601
L2.stores-S.total,277371
L2.stores.c0,185167
L2.stores.c1,180218
L2.stores.node0,185167
L2.stores.node1,180218
L2.stores.total,365385
L3.access-mru-1,6
L3.coherency-downgrades.c0,88633
L3.coherency-downgrades.c1,90217
L3.coherency-downgrades.node0,88633
L3.coherency-downgrades.node1,90217
L3.coherency-downgrades.total,178850
L3.coherency-invalidates.c0,85054
L3.coherency-invalidates.c1,88253
L3.coherency-invalidates.node0,85054
L3.coherency-invalidates.node1,88253
L3.coherency-invalidates.total,173307
L3.coherency-upgrades.c0,88253
L3.coherency-upgrades.c1,85054
L3.coherency-upgrades.node0,88253
L3.coherency-upgrades.node1,85054
L3.coherency-upgrades.total,173307
L3.coherency-writebacks.c0,75459
L3.coherency-writebacks.c1,72982
L3.coherency-writebacks.node0,75459
L3.coherency-writebacks.node1,72982
L3.coherency-writebacks.total,148441
L3.load-misses-I.c0,100833
L3.load-misses-I.c1,91129
L3.load-misses-I.node0,100833
L3.load-misses-I.node1,91129
L3.load-misses-I.total,191962
L3.load-misses-S.c0,2
L3.load-misses-S.c1,10
L3.load-misses-S.node0,2
