metric,value
timestamp,2026-07-09T21:46:27
workload,MG
strategy,AKARIN_a100_2
bench_class,S
num_threads,2
output_dir,Outputs/sizeS/2TH/MG_S_AKARIN_a100_2_2TH_20260709_195844
cpu_map,"[8, 1]"
p_core_count,2
e_core_count,0
node0_threads,1
node1_threads,1
sim_time_ms,3.394
total_instructions,35143674
avg_ipc,1.2943
avg_ipc_p,1.2943
avg_ipc_e,0.0
total_power_W,6.227
dynamic_W,5.1774
leakage_W,1.0
dram_W,0.0497
energy_J,0.021135
node0_reads,13207
node1_reads,13127
node0_pct,50.1519
node0_writes,0
node1_writes,0
dram_local,2637
dram_remote,2640
dram_remote_pct,50.0284
l1d_miss_pct,1.9125
l2_miss_pct,2.1686
l3_miss_pct,84.3645
l1d_mpki,8.2075
l2_mpki,0.178
l3_mpki,0.1502
l3_miss_count,5277
cpi_base_frac,0.9428
cpi_branch_frac,0.0412
cpi_l2_frac,0.0003
cpi_l3_frac,0.0013
cpi_dram_local_frac,0.0064
cpi_dram_remote_frac,0.008
futex_wake_count,500
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,28.4507
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,8449444
L1-D.access-mru-0.c1,8143997
L1-D.access-mru-0.node0,8143997
L1-D.access-mru-0.node1,8449444
L1-D.access-mru-0.total,16593441
L1-D.access-mru-1.c0,426906
L1-D.access-mru-1.c1,384773
L1-D.access-mru-1.node0,384773
L1-D.access-mru-1.node1,426906
L1-D.access-mru-1.total,811679
L1-D.access-mru-2.c0,98973
L1-D.access-mru-2.c1,88252
L1-D.access-mru-2.node0,88252
L1-D.access-mru-2.node1,98973
L1-D.access-mru-2.total,187225
L1-D.access-mru-3.c0,24824
L1-D.access-mru-3.c1,16652
L1-D.access-mru-3.node0,16652
L1-D.access-mru-3.node1,24824
L1-D.access-mru-3.total,41476
L1-D.access-mru-4.c0,6727
L1-D.access-mru-4.c1,4361
L1-D.access-mru-4.node0,4361
L1-D.access-mru-4.node1,6727
L1-D.access-mru-4.total,11088
L1-D.access-mru-5.c0,16465
L1-D.access-mru-5.c1,15383
L1-D.access-mru-5.node0,15383
