metric,value
timestamp,2026-06-30T15:09:12
workload,MG
strategy,EPO
bench_class,S
num_threads,2
output_dir,Outputs/sizeS/2TH/MG_S_EPO_2TH_20260630_134918
cpu_map,"[4, 5]"
p_core_count,0
e_core_count,2
node0_threads,2
node1_threads,0
sim_time_ms,9.4491
total_instructions,34958860
avg_ipc,1.8498
avg_ipc_p,0.0
avg_ipc_e,1.8498
total_power_W,1.8059
dynamic_W,1.3874
leakage_W,0.4
dram_W,0.0185
energy_J,0.017064
node0_reads,27346
node1_reads,0
node0_pct,100.0
dram_local,10366
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,3.1852
l2_miss_pct,42.913
l3_miss_pct,5.027
l1d_mpki,13.7454
l2_mpki,5.8986
l3_mpki,0.2965
l3_miss_count,10366
cpi_base_frac,0.9456
cpi_branch_frac,0.0147
cpi_l2_frac,0.0
cpi_l3_frac,0.032
cpi_dram_local_frac,0.0076
cpi_dram_remote_frac,0.0
L1-D.access-mru-0.c0,7860697
L1-D.access-mru-0.c1,7462814
L1-D.access-mru-0.node0,15323511
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,15323511
L1-D.access-mru-1.c0,837939
L1-D.access-mru-1.c1,903415
L1-D.access-mru-1.node0,1741354
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,1741354
L1-D.access-mru-2.c0,186632
L1-D.access-mru-2.c1,190387
L1-D.access-mru-2.node0,377019
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,377019
L1-D.access-mru-3.c0,48564
L1-D.access-mru-3.c1,48122
L1-D.access-mru-3.node0,96686
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,96686
L1-D.access-mru-4.c0,9103
L1-D.access-mru-4.c1,6706
L1-D.access-mru-4.node0,15809
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,15809
L1-D.access-mru-5.c0,7097
L1-D.access-mru-5.c1,3446
L1-D.access-mru-5.node0,10543
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,10543
L1-D.access-mru-6.c0,3606
L1-D.access-mru-6.c1,1393
L1-D.access-mru-6.node0,4999
L1-D.access-mru-6.node1,0
L1-D.access-mru-6.total,4999
L1-D.access-mru-7.c0,1751
L1-D.access-mru-7.c1,460
L1-D.access-mru-7.node0,2211
L1-D.access-mru-7.node1,0
L1-D.access-mru-7.total,2211
L1-D.backinval-E,3
L1-D.backinval-M.c0,566
L1-D.backinval-M.c1,431
L1-D.backinval-M.node0,997
L1-D.backinval-M.node1,0
L1-D.backinval-M.total,997
L1-D.backinval-S.c0,78
L1-D.backinval-S.c1,50
L1-D.backinval-S.node0,128
L1-D.backinval-S.node1,0
L1-D.backinval-S.total,128
L1-D.coherency-downgrades.c0,2344
L1-D.coherency-downgrades.c1,1493
L1-D.coherency-downgrades.node0,3837
L1-D.coherency-downgrades.node1,0
L1-D.coherency-downgrades.total,3837
L1-D.coherency-writebacks.c0,700
L1-D.coherency-writebacks.c1,2213
L1-D.coherency-writebacks.node0,2913
L1-D.coherency-writebacks.node1,0
L1-D.coherency-writebacks.total,2913
L1-D.evict-E.c0,6784
L1-D.evict-E.c1,109
L1-D.evict-E.node0,6893
L1-D.evict-E.node1,0
L1-D.evict-E.total,6893
L1-D.evict-M.c0,300141
L1-D.evict-M.c1,286583
L1-D.evict-M.node0,586724
