metric,value
timestamp,2026-06-30T15:09:12
workload,TC
strategy,EPO
bench_class,S
num_threads,2
output_dir,Outputs/sizeS/2TH/TC_S_EPO_2TH_20260630_134918
cpu_map,"[4, 5]"
p_core_count,0
e_core_count,2
node0_threads,2
node1_threads,0
sim_time_ms,9.3953
total_instructions,16585440
avg_ipc,0.8827
avg_ipc_p,0.0
avg_ipc_e,0.8827
total_power_W,1.0763
dynamic_W,0.662
leakage_W,0.4
dram_W,0.0143
energy_J,0.010112
node0_reads,20680
node1_reads,0
node0_pct,100.0
dram_local,11960
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,2.2418
l2_miss_pct,72.4412
l3_miss_pct,25.0272
l1d_mpki,3.9775
l2_mpki,2.8813
l3_mpki,0.7211
l3_miss_count,11960
cpi_base_frac,0.5592
cpi_branch_frac,0.2441
cpi_l2_frac,0.0
cpi_l3_frac,0.1622
cpi_dram_local_frac,0.0345
cpi_dram_remote_frac,0.0
L1-D.access-mru-0.c0,2701546
L1-D.access-mru-0.c1,993305
L1-D.access-mru-0.node0,3694851
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,3694851
L1-D.access-mru-1.c0,134564
L1-D.access-mru-1.c1,30576
L1-D.access-mru-1.node0,165140
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,165140
L1-D.access-mru-2.c0,48157
L1-D.access-mru-2.c1,5496
L1-D.access-mru-2.node0,53653
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,53653
L1-D.access-mru-3.c0,13346
L1-D.access-mru-3.c1,2104
L1-D.access-mru-3.node0,15450
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,15450
L1-D.access-mru-4.c0,5298
L1-D.access-mru-4.c1,1462
L1-D.access-mru-4.node0,6760
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,6760
L1-D.access-mru-5.c0,3105
L1-D.access-mru-5.c1,1047
L1-D.access-mru-5.node0,4152
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,4152
L1-D.access-mru-6.c0,2052
L1-D.access-mru-6.c1,799
L1-D.access-mru-6.node0,2851
L1-D.access-mru-6.node1,0
L1-D.access-mru-6.total,2851
L1-D.access-mru-7.c0,1457
L1-D.access-mru-7.c1,637
L1-D.access-mru-7.node0,2094
L1-D.access-mru-7.node1,0
L1-D.access-mru-7.total,2094
L1-D.backinval-E,2
L1-D.backinval-M,17
L1-D.coherency-downgrades.c0,398
L1-D.coherency-downgrades.c1,159
L1-D.coherency-downgrades.node0,557
L1-D.coherency-downgrades.node1,0
L1-D.coherency-downgrades.total,557
L1-D.coherency-writebacks.c0,22261
L1-D.coherency-writebacks.c1,22238
L1-D.coherency-writebacks.node0,44499
L1-D.coherency-writebacks.node1,0
L1-D.coherency-writebacks.total,44499
L1-D.evict-E.c0,13591
L1-D.evict-E.c1,131
L1-D.evict-E.node0,13722
L1-D.evict-E.node1,0
L1-D.evict-E.total,13722
L1-D.evict-M.c0,21614
L1-D.evict-M.c1,13174
L1-D.evict-M.node0,34788
L1-D.evict-M.node1,0
L1-D.evict-M.total,34788
L1-D.evict-S.c0,468
L1-D.evict-S.c1,266
L1-D.evict-S.node0,734
L1-D.evict-S.node1,0
L1-D.evict-S.total,734
L1-D.load-misses-E,2
L1-D.load-misses-I.c0,41624
L1-D.load-misses-I.c1,24335
L1-D.load-misses-I.node0,65959
L1-D.load-misses-I.node1,0
L1-D.load-misses-I.total,65959
L1-D.load-misses-S,7
L1-D.load-misses.c0,41633
L1-D.load-misses.c1,24335
L1-D.load-misses.node0,65968
L1-D.load-misses.node1,0
L1-D.load-misses.total,65968
L1-D.loads-E.c0,167109
L1-D.loads-E.c1,1056
L1-D.loads-E.node0,168165
L1-D.loads-E.node1,0
L1-D.loads-E.total,168165
L1-D.loads-I.c0,41624
L1-D.loads-I.c1,24335
L1-D.loads-I.node0,65959
L1-D.loads-I.node1,0
L1-D.loads-I.total,65959
L1-D.loads-M.c0,1544145
L1-D.loads-M.c1,825956
L1-D.loads-M.node0,2370101
L1-D.loads-M.node1,0
L1-D.loads-M.total,2370101
L1-D.loads-S.c0,331664
L1-D.loads-S.c1,6798
L1-D.loads-S.node0,338462
L1-D.loads-S.node1,0
L1-D.loads-S.total,338462
L1-D.loads-where-L1.c0,2042909
L1-D.loads-where-L1.c1,833810
L1-D.loads-where-L1.node0,2876719
L1-D.loads-where-L1.node1,0
L1-D.loads-where-L1.total,2876719
L1-D.loads-where-L2.c0,12667
L1-D.loads-where-L2.c1,5513
L1-D.loads-where-L2.node0,18180
L1-D.loads-where-L2.node1,0
L1-D.loads-where-L2.total,18180
L1-D.loads-where-L3.c0,1542
L1-D.loads-where-L3.c1,188
L1-D.loads-where-L3.node0,1730
L1-D.loads-where-L3.node1,0
L1-D.loads-where-L3.total,1730
L1-D.loads-where-L3_S.c0,16432
L1-D.loads-where-L3_S.c1,17666
L1-D.loads-where-L3_S.node0,34098
L1-D.loads-where-L3_S.node1,0
L1-D.loads-where-L3_S.total,34098
L1-D.loads-where-dram-local.c0,10992
L1-D.loads-where-dram-local.c1,968
L1-D.loads-where-dram-local.node0,11960
L1-D.loads-where-dram-local.node1,0
L1-D.loads-where-dram-local.total,11960
L1-D.loads.c0,2084542
L1-D.loads.c1,858145
L1-D.loads.node0,2942687
L1-D.loads.node1,0
L1-D.loads.total,2942687
L1-D.store-misses-E,1938
L1-D.store-misses-I.c0,16584
L1-D.store-misses-I.c1,11728
L1-D.store-misses-I.node0,28312
L1-D.store-misses-I.node1,0
L1-D.store-misses-I.total,28312
L1-D.store-misses-S.c0,103
L1-D.store-misses-S.c1,6
L1-D.store-misses-S.node0,109
L1-D.store-misses-S.node1,0
L1-D.store-misses-S.total,109
L1-D.store-misses.c0,18625
L1-D.store-misses.c1,11734
L1-D.store-misses.node0,30359
L1-D.store-misses.node1,0
L1-D.store-misses.total,30359
L1-D.stores-E,1938
L1-D.stores-I.c0,16584
L1-D.stores-I.c1,11728
L1-D.stores-I.node0,28312
L1-D.stores-I.node1,0
L1-D.stores-I.total,28312
L1-D.stores-M.c0,866616
L1-D.stores-M.c1,201616
L1-D.stores-M.node0,1068232
L1-D.stores-M.node1,0
L1-D.stores-M.total,1068232
L1-D.stores-S.c0,103
L1-D.stores-S.c1,6
L1-D.stores-S.node0,109
L1-D.stores-S.node1,0
L1-D.stores-S.total,109
L1-D.stores-where-L1.c0,866616
L1-D.stores-where-L1.c1,201616
L1-D.stores-where-L1.node0,1068232
L1-D.stores-where-L1.node1,0
L1-D.stores-where-L1.total,1068232
