metric,value
timestamp,2026-07-08T23:34:20
workload,canneal
strategy,AKARIN_a100_2
bench_class,S
num_threads,2
output_dir,Outputs/sizeS/2TH/canneal_S_AKARIN_a100_2_2TH_20260708_223450
cpu_map,"[8, 1]"
p_core_count,2
e_core_count,0
node0_threads,1
node1_threads,1
sim_time_ms,1307.8922
total_instructions,4835936773
avg_ipc,0.4723
avg_ipc_p,0.4723
avg_ipc_e,0.0
total_power_W,2.9212
dynamic_W,1.8893
leakage_W,1.0
dram_W,0.0319
energy_J,3.820593
node0_reads,2389729
node1_reads,2388887
node0_pct,50.0088
node0_writes,1237140
node1_writes,1236464
dram_local,2027020
dram_remote,2028902
dram_remote_pct,50.0232
l1d_miss_pct,1.4747
l2_miss_pct,61.9356
l3_miss_pct,26.1219
l1d_mpki,5.184
l2_mpki,3.2107
l3_mpki,0.8387
l3_miss_count,4055922
cpi_base_frac,0.5893
cpi_branch_frac,0.1822
cpi_l2_frac,0.0155
cpi_l3_frac,0.0959
cpi_dram_local_frac,0.0579
cpi_dram_remote_frac,0.0592
futex_wake_count,35
futex_wait_count,1
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.0089
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,2237412833
L1-D.access-mru-0.c1,551742362
L1-D.access-mru-0.node0,551742362
L1-D.access-mru-0.node1,2237412833
L1-D.access-mru-0.total,2789155195
L1-D.access-mru-1.c0,47829712
L1-D.access-mru-1.c1,8389250
L1-D.access-mru-1.node0,8389250
L1-D.access-mru-1.node1,47829712
L1-D.access-mru-1.total,56218962
L1-D.access-mru-2.c0,14755468
L1-D.access-mru-2.c1,1087180
L1-D.access-mru-2.node0,1087180
L1-D.access-mru-2.node1,14755468
L1-D.access-mru-2.total,15842648
L1-D.access-mru-3.c0,4936094
L1-D.access-mru-3.c1,243681
L1-D.access-mru-3.node0,243681
L1-D.access-mru-3.node1,4936094
L1-D.access-mru-3.total,5179775
L1-D.access-mru-4.c0,2166396
L1-D.access-mru-4.c1,61437
L1-D.access-mru-4.node0,61437
L1-D.access-mru-4.node1,2166396
L1-D.access-mru-4.total,2227833
L1-D.access-mru-5.c0,1182634
L1-D.access-mru-5.c1,27022
L1-D.access-mru-5.node0,27022
L1-D.access-mru-5.node1,1182634
L1-D.access-mru-5.total,1209656
L1-D.access-mru-6.c0,714140
L1-D.access-mru-6.c1,21188
L1-D.access-mru-6.node0,21188
L1-D.access-mru-6.node1,714140
L1-D.access-mru-6.total,735328
L1-D.access-mru-7.c0,470255
L1-D.access-mru-7.c1,19507
L1-D.access-mru-7.node0,19507
L1-D.access-mru-7.node1,470255
L1-D.access-mru-7.total,489762
L1-D.backinval-E.c0,15724
L1-D.backinval-E.c1,2121
L1-D.backinval-E.node0,2121
L1-D.backinval-E.node1,15724
L1-D.backinval-E.total,17845
L1-D.backinval-M.c0,38432
L1-D.backinval-M.c1,3333
L1-D.backinval-M.node0,3333
L1-D.backinval-M.node1,38432
L1-D.backinval-M.total,41765
L1-D.backinval-S.c0,535
L1-D.backinval-S.c1,382
L1-D.backinval-S.node0,382
L1-D.backinval-S.node1,535
L1-D.backinval-S.total,917
L1-D.coherency-downgrades.c0,150
L1-D.coherency-downgrades.c1,356
L1-D.coherency-downgrades.node0,356
L1-D.coherency-downgrades.node1,150
L1-D.coherency-downgrades.total,506
L1-D.coherency-invalidates.c0,17
L1-D.coherency-invalidates.c1,97
L1-D.coherency-invalidates.node0,97
L1-D.coherency-invalidates.node1,17
L1-D.coherency-invalidates.total,114
L1-D.coherency-writebacks.c0,15
L1-D.coherency-writebacks.c1,243
L1-D.coherency-writebacks.node0,243
L1-D.coherency-writebacks.node1,15
L1-D.coherency-writebacks.total,258
L1-D.evict-E.c0,6853274
L1-D.evict-E.c1,2940684
L1-D.evict-E.node0,2940684
L1-D.evict-E.node1,6853274
L1-D.evict-E.total,9793958
L1-D.evict-M.c0,12421667
L1-D.evict-M.c1,2658512
L1-D.evict-M.node0,2658512
L1-D.evict-M.node1,12421667
L1-D.evict-M.total,15080179
L1-D.evict-S.c0,1172905
L1-D.evict-S.c1,104687
L1-D.evict-S.node0,104687
L1-D.evict-S.node1,1172905
L1-D.evict-S.total,1277592
L1-D.load-misses-E.c0,13594
L1-D.load-misses-E.c1,3503
L1-D.load-misses-E.node0,3503
L1-D.load-misses-E.node1,13594
L1-D.load-misses-E.total,17097
L1-D.load-misses-I.c0,19546596
L1-D.load-misses-I.c1,5706333
L1-D.load-misses-I.node0,5706333
L1-D.load-misses-I.node1,19546596
L1-D.load-misses-I.total,25252929
L1-D.load-misses-S.c0,1149
L1-D.load-misses-S.c1,557
L1-D.load-misses-S.node0,557
L1-D.load-misses-S.node1,1149
L1-D.load-misses-S.total,1706
L1-D.load-misses.c0,19561339
L1-D.load-misses.c1,5710393
L1-D.load-misses.node0,5710393
L1-D.load-misses.node1,19561339
L1-D.load-misses.total,25271732
L1-D.loads-E.c0,62325039
L1-D.loads-E.c1,53937848
L1-D.loads-E.node0,53937848
L1-D.loads-E.node1,62325039
L1-D.loads-E.total,116262887
L1-D.loads-I.c0,19546596
L1-D.loads-I.c1,5706333
L1-D.loads-I.node0,5706333
L1-D.loads-I.node1,19546596
L1-D.loads-I.total,25252929
L1-D.loads-M.c0,1250468101
L1-D.loads-M.c1,294376008
L1-D.loads-M.node0,294376008
L1-D.loads-M.node1,1250468101
L1-D.loads-M.total,1544844109
L1-D.loads-S.c0,7976449
L1-D.loads-S.c1,5823585
L1-D.loads-S.node0,5823585
L1-D.loads-S.node1,7976449
L1-D.loads-S.total,13800034
L1-D.loads-where-L1.c0,1320754846
L1-D.loads-where-L1.c1,354133381
L1-D.loads-where-L1.node0,354133381
L1-D.loads-where-L1.node1,1320754846
L1-D.loads-where-L1.total,1674888227
L1-D.loads-where-L2.c0,7935586
L1-D.loads-where-L2.c1,1606930
L1-D.loads-where-L2.node0,1606930
L1-D.loads-where-L2.node1,7935586
L1-D.loads-where-L2.total,9542516
L1-D.loads-where-L3.c0,8134342
L1-D.loads-where-L3.c1,3336649
L1-D.loads-where-L3.node0,3336649
L1-D.loads-where-L3.node1,8134342
L1-D.loads-where-L3.total,11470991
L1-D.loads-where-cache-remote.c0,141485
L1-D.loads-where-cache-remote.c1,60818
L1-D.loads-where-cache-remote.node0,60818
L1-D.loads-where-cache-remote.node1,141485
L1-D.loads-where-cache-remote.total,202303
L1-D.loads-where-dram-local.c0,1674635
L1-D.loads-where-dram-local.c1,352385
L1-D.loads-where-dram-local.node0,352385
L1-D.loads-where-dram-local.node1,1674635
L1-D.loads-where-dram-local.total,2027020
L1-D.loads-where-dram-remote.c0,1675291
L1-D.loads-where-dram-remote.c1,353611
L1-D.loads-where-dram-remote.node0,353611
L1-D.loads-where-dram-remote.node1,1675291
L1-D.loads-where-dram-remote.total,2028902
L1-D.loads.c0,1340316185
L1-D.loads.c1,359843774
L1-D.loads.node0,359843774
L1-D.loads.node1,1340316185
L1-D.loads.total,1700159959
L1-D.store-misses-E.c0,1181331
L1-D.store-misses-E.c1,587
L1-D.store-misses-E.node0,587
L1-D.store-misses-E.node1,1181331
L1-D.store-misses-E.total,1181918
L1-D.store-misses-I.c0,956741
L1-D.store-misses-I.c1,4156
L1-D.store-misses-I.node0,4156
L1-D.store-misses-I.node1,956741
L1-D.store-misses-I.total,960897
L1-D.store-misses-S.c0,40741
L1-D.store-misses-S.c1,13
L1-D.store-misses-S.node0,13
L1-D.store-misses-S.node1,40741
L1-D.store-misses-S.total,40754
L1-D.store-misses.c0,2178813
L1-D.store-misses.c1,4756
L1-D.store-misses.node0,4756
L1-D.store-misses.node1,2178813
L1-D.store-misses.total,2183569
L1-D.stores-E.c0,1181331
L1-D.stores-E.c1,587
L1-D.stores-E.node0,587
L1-D.stores-E.node1,1181331
L1-D.stores-E.total,1181918
L1-D.stores-I.c0,956741
L1-D.stores-I.c1,4156
L1-D.stores-I.node0,4156
L1-D.stores-I.node1,956741
L1-D.stores-I.total,960897
L1-D.stores-M.c0,988712686
L1-D.stores-M.c1,207458246
L1-D.stores-M.node0,207458246
L1-D.stores-M.node1,988712686
L1-D.stores-M.total,1196170932
L1-D.stores-S.c0,40741
L1-D.stores-S.c1,13
L1-D.stores-S.node0,13
L1-D.stores-S.node1,40741
L1-D.stores-S.total,40754
L1-D.stores-where-L1.c0,988712686
L1-D.stores-where-L1.c1,207458246
L1-D.stores-where-L1.node0,207458246
L1-D.stores-where-L1.node1,988712686
L1-D.stores-where-L1.total,1196170932
L1-D.stores-where-L2.c0,68841
L1-D.stores-where-L2.c1,2759
L1-D.stores-where-L2.node0,2759
L1-D.stores-where-L2.node1,68841
L1-D.stores-where-L2.total,71600
L1-D.stores-where-L3.c0,2108512
L1-D.stores-where-L3.c1,1922
L1-D.stores-where-L3.node0,1922
L1-D.stores-where-L3.node1,2108512
L1-D.stores-where-L3.total,2110434
L1-D.stores-where-cache-remote.c0,6
L1-D.stores-where-cache-remote.c1,5
L1-D.stores-where-cache-remote.node0,5
L1-D.stores-where-cache-remote.node1,6
L1-D.stores-where-cache-remote.total,11
L1-D.stores-where-dram-local.c0,759
L1-D.stores-where-dram-local.c1,46
L1-D.stores-where-dram-local.node0,46
L1-D.stores-where-dram-local.node1,759
L1-D.stores-where-dram-local.total,805
L1-D.stores-where-dram-remote.c0,695
L1-D.stores-where-dram-remote.c1,24
L1-D.stores-where-dram-remote.node0,24
L1-D.stores-where-dram-remote.node1,695
L1-D.stores-where-dram-remote.total,719
L1-D.stores.c0,990891499
L1-D.stores.c1,207463002
L1-D.stores.node0,207463002
L1-D.stores.node1,990891499
L1-D.stores.total,1198354501
L1-D.total-latency.c0,413961359501473
L1-D.total-latency.c1,100048413744361
L1-D.total-latency.node0,100048413744361
L1-D.total-latency.node1,413961359501473
L1-D.total-latency.total,514009773245834
L1-I.access-mru-0.c0,632847854
L1-I.access-mru-0.c1,127949564
L1-I.access-mru-0.node0,127949564
L1-I.access-mru-0.node1,632847854
L1-I.access-mru-0.total,760797418
L1-I.access-mru-1.c0,89478429
L1-I.access-mru-1.c1,6933018
L1-I.access-mru-1.node0,6933018
L1-I.access-mru-1.node1,89478429
L1-I.access-mru-1.total,96411447
L1-I.access-mru-2.c0,38289656
L1-I.access-mru-2.c1,4089550
L1-I.access-mru-2.node0,4089550
L1-I.access-mru-2.node1,38289656
L1-I.access-mru-2.total,42379206
L1-I.access-mru-3.c0,10713158
L1-I.access-mru-3.c1,596
L1-I.access-mru-3.node0,596
L1-I.access-mru-3.node1,10713158
L1-I.access-mru-3.total,10713754
L1-I.backinval-E.c0,165029
L1-I.backinval-E.c1,17104
L1-I.backinval-E.node0,17104
L1-I.backinval-E.node1,165029
L1-I.backinval-E.total,182133
L1-I.backinval-S.c0,2016
L1-I.backinval-S.c1,1987
L1-I.backinval-S.node0,1987
