metric,value
timestamp,2026-06-30T15:09:13
workload,BFS
strategy,Scatter
bench_class,S
num_threads,4
output_dir,Outputs/sizeS/4TH/BFS_S_Scatter_4TH_20260630_030816
cpu_map,"[0, 8, 1, 9]"
p_core_count,4
e_core_count,0
node0_threads,2
node1_threads,2
sim_time_ms,2.4891
total_instructions,22411130
avg_ipc,0.5628
avg_ipc_p,0.5628
avg_ipc_e,0.0
total_power_W,6.5558
dynamic_W,4.5022
leakage_W,2.0
dram_W,0.0536
energy_J,0.016318
node0_reads,10425
node1_reads,10385
node0_pct,50.0961
dram_local,5494
dram_remote,5486
dram_remote_pct,49.9636
l1d_miss_pct,1.7528
l2_miss_pct,74.1085
l3_miss_pct,21.6803
l1d_mpki,3.0493
l2_mpki,2.2598
l3_mpki,0.4899
l3_miss_count,10980
cpi_base_frac,0.5468
cpi_branch_frac,0.2108
cpi_l2_frac,0.0
cpi_l3_frac,0.1709
cpi_dram_local_frac,0.034
cpi_dram_remote_frac,0.0374
L1-D.access-mru-0.c0,2417507
L1-D.access-mru-0.c1,760596
L1-D.access-mru-0.c2,717550
L1-D.access-mru-0.c3,767196
L1-D.access-mru-0.node0,3135057
L1-D.access-mru-0.node1,1527792
L1-D.access-mru-0.total,4662849
L1-D.access-mru-1.c0,115832
L1-D.access-mru-1.c1,11239
L1-D.access-mru-1.c2,12228
L1-D.access-mru-1.c3,11113
L1-D.access-mru-1.node0,128060
L1-D.access-mru-1.node1,22352
L1-D.access-mru-1.total,150412
L1-D.access-mru-2.c0,44481
L1-D.access-mru-2.c1,1595
L1-D.access-mru-2.c2,1769
L1-D.access-mru-2.c3,1620
L1-D.access-mru-2.node0,46250
L1-D.access-mru-2.node1,3215
L1-D.access-mru-2.total,49465
L1-D.access-mru-3.c0,11969
L1-D.access-mru-3.c1,459
L1-D.access-mru-3.c2,651
L1-D.access-mru-3.c3,510
L1-D.access-mru-3.node0,12620
L1-D.access-mru-3.node1,969
L1-D.access-mru-3.total,13589
L1-D.access-mru-4.c0,4201
L1-D.access-mru-4.c1,302
L1-D.access-mru-4.c2,389
L1-D.access-mru-4.c3,291
L1-D.access-mru-4.node0,4590
L1-D.access-mru-4.node1,593
L1-D.access-mru-4.total,5183
L1-D.access-mru-5.c0,2258
L1-D.access-mru-5.c1,207
L1-D.access-mru-5.c2,188
L1-D.access-mru-5.c3,177
L1-D.access-mru-5.node0,2446
L1-D.access-mru-5.node1,384
L1-D.access-mru-5.total,2830
L1-D.access-mru-6.c0,1363
L1-D.access-mru-6.c1,141
L1-D.access-mru-6.c2,125
L1-D.access-mru-6.c3,136
L1-D.access-mru-6.node0,1488
L1-D.access-mru-6.node1,277
L1-D.access-mru-6.total,1765
L1-D.access-mru-7.c0,956
L1-D.access-mru-7.c1,107
L1-D.access-mru-7.c2,86
L1-D.access-mru-7.c3,114
L1-D.access-mru-7.node0,1042
L1-D.access-mru-7.node1,221
L1-D.access-mru-7.total,1263
L1-D.coherency-downgrades.c0,642
L1-D.coherency-downgrades.c1,275
L1-D.coherency-downgrades.c2,79
L1-D.coherency-downgrades.c3,100
L1-D.coherency-downgrades.node0,721
L1-D.coherency-downgrades.node1,375
L1-D.coherency-downgrades.total,1096
L1-D.coherency-invalidates.c0,71
L1-D.coherency-invalidates.c1,21
L1-D.coherency-invalidates.c2,154
L1-D.coherency-invalidates.c3,165
L1-D.coherency-invalidates.node0,225
L1-D.coherency-invalidates.node1,186
L1-D.coherency-invalidates.total,411
L1-D.coherency-upgrades.c0,13
L1-D.coherency-upgrades.c1,83
L1-D.coherency-upgrades.c2,13
L1-D.coherency-upgrades.c3,15
L1-D.coherency-upgrades.node0,26
L1-D.coherency-upgrades.node1,98
L1-D.coherency-upgrades.total,124
L1-D.coherency-writebacks.c0,17379
L1-D.coherency-writebacks.c1,17437
L1-D.coherency-writebacks.c2,17359
L1-D.coherency-writebacks.c3,17320
L1-D.coherency-writebacks.node0,34738
L1-D.coherency-writebacks.node1,34757
L1-D.coherency-writebacks.total,69495
L1-D.evict-E,13563
L1-D.evict-M.c0,14472
L1-D.evict-M.c1,4743
L1-D.evict-M.c2,5055
L1-D.evict-M.c3,4634
L1-D.evict-M.node0,19527
L1-D.evict-M.node1,9377
L1-D.evict-M.total,28904
L1-D.evict-S.c0,724
L1-D.evict-S.c1,363
L1-D.evict-S.c2,434
L1-D.evict-S.c3,436
L1-D.evict-S.node0,1158
L1-D.evict-S.node1,799
L1-D.evict-S.total,1957
L1-D.load-misses-E,3
L1-D.load-misses-I.c0,34036
L1-D.load-misses-I.c1,15960
L1-D.load-misses-I.c2,16228
L1-D.load-misses-I.c3,15949
L1-D.load-misses-I.node0,50264
L1-D.load-misses-I.node1,31909
L1-D.load-misses-I.total,82173
L1-D.load-misses-S.c0,8
L1-D.load-misses-S.c1,2
L1-D.load-misses-S.c2,13
L1-D.load-misses-S.c3,6
L1-D.load-misses-S.node0,21
L1-D.load-misses-S.node1,8
L1-D.load-misses-S.total,29
L1-D.load-misses.c0,34047
L1-D.load-misses.c1,15962
L1-D.load-misses.c2,16241
L1-D.load-misses.c3,15955
L1-D.load-misses.node0,50288
L1-D.load-misses.node1,31917
L1-D.load-misses.total,82205
L1-D.loads-E.c0,167032
L1-D.loads-E.c1,181
L1-D.loads-E.c2,6
L1-D.loads-E.c3,9
L1-D.loads-E.node0,167038
L1-D.loads-E.node1,190
L1-D.loads-E.total,167228
L1-D.loads-I.c0,34036
L1-D.loads-I.c1,15960
L1-D.loads-I.c2,16228
L1-D.loads-I.c3,15949
L1-D.loads-I.node0,50264
L1-D.loads-I.node1,31909
L1-D.loads-I.total,82173
L1-D.loads-M.c0,1430489
L1-D.loads-M.c1,146871
L1-D.loads-M.c2,185521
L1-D.loads-M.c3,136680
L1-D.loads-M.node0,1616010
L1-D.loads-M.node1,283551
L1-D.loads-M.total,1899561
L1-D.loads-S.c0,226276
L1-D.loads-S.c1,537845
L1-D.loads-S.c2,440387
L1-D.loads-S.c3,559177
L1-D.loads-S.node0,666663
L1-D.loads-S.node1,1097022
L1-D.loads-S.total,1763685
L1-D.loads-where-L1.c0,1823786
L1-D.loads-where-L1.c1,684895
L1-D.loads-where-L1.c2,625901
L1-D.loads-where-L1.c3,695860
L1-D.loads-where-L1.node0,2449687
L1-D.loads-where-L1.node1,1380755
L1-D.loads-where-L1.total,3830442
L1-D.loads-where-L2.c0,10604
L1-D.loads-where-L2.c1,2350
L1-D.loads-where-L2.c2,2444
L1-D.loads-where-L2.c3,2296
L1-D.loads-where-L2.node0,13048
L1-D.loads-where-L2.node1,4646
L1-D.loads-where-L2.total,17694
L1-D.loads-where-L3.c0,8506
L1-D.loads-where-L3.c1,8104
L1-D.loads-where-L3.c2,8244
L1-D.loads-where-L3.c3,8147
L1-D.loads-where-L3.node0,16750
L1-D.loads-where-L3.node1,16251
L1-D.loads-where-L3.total,33001
L1-D.loads-where-L3_S.c0,1415
L1-D.loads-where-L3_S.c1,2279
L1-D.loads-where-L3_S.c2,1460
L1-D.loads-where-L3_S.c3,1510
L1-D.loads-where-L3_S.node0,2875
L1-D.loads-where-L3_S.node1,3789
L1-D.loads-where-L3_S.total,6664
L1-D.loads-where-cache-remote.c0,3076
L1-D.loads-where-cache-remote.c1,3011
L1-D.loads-where-cache-remote.c2,3931
L1-D.loads-where-cache-remote.c3,3848
L1-D.loads-where-cache-remote.node0,7007
L1-D.loads-where-cache-remote.node1,6859
L1-D.loads-where-cache-remote.total,13866
L1-D.loads-where-dram-local.c0,5237
L1-D.loads-where-dram-local.c1,104
L1-D.loads-where-dram-local.c2,69
L1-D.loads-where-dram-local.c3,84
L1-D.loads-where-dram-local.node0,5306
L1-D.loads-where-dram-local.node1,188
L1-D.loads-where-dram-local.total,5494
L1-D.loads-where-dram-remote.c0,5209
L1-D.loads-where-dram-remote.c1,114
L1-D.loads-where-dram-remote.c2,93
L1-D.loads-where-dram-remote.c3,70
L1-D.loads-where-dram-remote.node0,5302
L1-D.loads-where-dram-remote.node1,184
L1-D.loads-where-dram-remote.total,5486
L1-D.loads.c0,1857833
L1-D.loads.c1,700857
L1-D.loads.c2,642142
L1-D.loads.c3,711815
L1-D.loads.node0,2499975
L1-D.loads.node1,1412672
L1-D.loads.total,3912647
L1-D.store-misses-E,2065
L1-D.store-misses-I.c0,12442
L1-D.store-misses-I.c1,6941
L1-D.store-misses-I.c2,7042
L1-D.store-misses-I.c3,6875
L1-D.store-misses-I.node0,19484
L1-D.store-misses-I.node1,13816
L1-D.store-misses-I.total,33300
L1-D.store-misses-S.c0,370
L1-D.store-misses-S.c1,281
L1-D.store-misses-S.c2,839
L1-D.store-misses-S.c3,760
L1-D.store-misses-S.node0,1209
L1-D.store-misses-S.node1,1041
L1-D.store-misses-S.total,2250
L1-D.store-misses.c0,14877
L1-D.store-misses.c1,7222
L1-D.store-misses.c2,7881
L1-D.store-misses.c3,7635
L1-D.store-misses.node0,22758
L1-D.store-misses.node1,14857
L1-D.store-misses.total,37615
L1-D.stores-E,2065
L1-D.stores-I.c0,12442
L1-D.stores-I.c1,6941
L1-D.stores-I.c2,7042
L1-D.stores-I.c3,6875
L1-D.stores-I.node0,19484
L1-D.stores-I.node1,13816
L1-D.stores-I.total,33300
L1-D.stores-M.c0,774781
L1-D.stores-M.c1,89751
L1-D.stores-M.c2,107085
L1-D.stores-M.c3,85297
L1-D.stores-M.node0,881866
L1-D.stores-M.node1,175048
L1-D.stores-M.total,1056914
L1-D.stores-S.c0,370
L1-D.stores-S.c1,281
L1-D.stores-S.c2,839
L1-D.stores-S.c3,760
L1-D.stores-S.node0,1209
L1-D.stores-S.node1,1041
L1-D.stores-S.total,2250
L1-D.stores-where-L1.c0,774781
L1-D.stores-where-L1.c1,89751
L1-D.stores-where-L1.c2,107085
L1-D.stores-where-L1.c3,85297
L1-D.stores-where-L1.node0,881866
L1-D.stores-where-L1.node1,175048
L1-D.stores-where-L1.total,1056914
L1-D.stores-where-L2.c0,1182
L1-D.stores-where-L2.c1,222
L1-D.stores-where-L2.c2,211
L1-D.stores-where-L2.c3,204
L1-D.stores-where-L2.node0,1393
L1-D.stores-where-L2.node1,426
L1-D.stores-where-L2.total,1819
L1-D.stores-where-L3.c0,11641
L1-D.stores-where-L3.c1,5026
L1-D.stores-where-L3.c2,5723
L1-D.stores-where-L3.c3,5519
L1-D.stores-where-L3.node0,17364
L1-D.stores-where-L3.node1,10545
L1-D.stores-where-L3.total,27909
L1-D.stores-where-L3_S.c0,1211
L1-D.stores-where-L3_S.c1,1207
L1-D.stores-where-L3_S.c2,1165
L1-D.stores-where-L3_S.c3,1169
L1-D.stores-where-L3_S.node0,2376
L1-D.stores-where-L3_S.node1,2376
L1-D.stores-where-L3_S.total,4752
L1-D.stores-where-cache-remote.c0,822
L1-D.stores-where-cache-remote.c1,749
L1-D.stores-where-cache-remote.c2,763
L1-D.stores-where-cache-remote.c3,726
L1-D.stores-where-cache-remote.node0,1585
L1-D.stores-where-cache-remote.node1,1475
L1-D.stores-where-cache-remote.total,3060
L1-D.stores-where-dram-local.c0,12
L1-D.stores-where-dram-local.c1,7
L1-D.stores-where-dram-local.c2,8
L1-D.stores-where-dram-local.c3,8
L1-D.stores-where-dram-local.node0,20
L1-D.stores-where-dram-local.node1,15
L1-D.stores-where-dram-local.total,35
L1-D.stores-where-dram-remote.c0,9
L1-D.stores-where-dram-remote.c1,11
L1-D.stores-where-dram-remote.c2,11
L1-D.stores-where-dram-remote.c3,9
L1-D.stores-where-dram-remote.node0,20
L1-D.stores-where-dram-remote.node1,20
L1-D.stores-where-dram-remote.total,40
L1-D.stores.c0,789658
L1-D.stores.c1,96973
L1-D.stores.c2,114966
L1-D.stores.c3,92932
L1-D.stores.node0,904624
L1-D.stores.node1,189905
L1-D.stores.total,1094529
L1-D.total-latency.c0,1449191272265
L1-D.total-latency.c1,448822248865
L1-D.total-latency.c2,463060352140
L1-D.total-latency.c3,452717486430
L1-D.total-latency.node0,1912251624405
L1-D.total-latency.node1,901539735295
L1-D.total-latency.total,2813791359700
L1-I.access-mru-0.c0,1289360
L1-I.access-mru-0.c1,130071
L1-I.access-mru-0.c2,162603
L1-I.access-mru-0.c3,121472
L1-I.access-mru-0.node0,1451963
L1-I.access-mru-0.node1,251543
L1-I.access-mru-0.total,1703506
L1-I.access-mru-1.c0,10448
L1-I.access-mru-1.c1,518
L1-I.access-mru-1.c2,512
L1-I.access-mru-1.c3,532
L1-I.access-mru-1.node0,10960
L1-I.access-mru-1.node1,1050
L1-I.access-mru-1.total,12010
L1-I.access-mru-2.c0,1761
L1-I.access-mru-2.c1,16
L1-I.access-mru-2.c2,16
L1-I.access-mru-2.c3,14
L1-I.access-mru-2.node0,1777
L1-I.access-mru-2.node1,30
L1-I.access-mru-2.total,1807
L1-I.access-mru-3.c0,603
L1-I.access-mru-3.c1,2
L1-I.access-mru-3.c2,2
L1-I.access-mru-3.c3,2
L1-I.access-mru-3.node0,605
L1-I.access-mru-3.node1,4
L1-I.access-mru-3.total,609
L1-I.backinval-E,343
L1-I.backinval-S,6
L1-I.coherency-downgrades.c0,136
L1-I.coherency-downgrades.c1,136
L1-I.coherency-downgrades.c2,41
L1-I.coherency-downgrades.c3,34
L1-I.coherency-downgrades.node0,177
L1-I.coherency-downgrades.node1,170
L1-I.coherency-downgrades.total,347
L1-I.evict-E,1788
L1-I.evict-S,89
L1-I.load-misses-I.c0,2738
L1-I.load-misses-I.c1,187
L1-I.load-misses-I.c2,188
L1-I.load-misses-I.c3,194
L1-I.load-misses-I.node0,2926
L1-I.load-misses-I.node1,381
L1-I.load-misses-I.total,3307
L1-I.load-misses.c0,2738
L1-I.load-misses.c1,187
L1-I.load-misses.c2,188
L1-I.load-misses.c3,194
L1-I.load-misses.node0,2926
L1-I.load-misses.node1,381
L1-I.load-misses.total,3307
L1-I.loads-E.c0,1139957
L1-I.loads-E.c1,264
L1-I.loads-E.c2,46
L1-I.loads-E.c3,41
L1-I.loads-E.node0,1140003
L1-I.loads-E.node1,305
L1-I.loads-E.total,1140308
L1-I.loads-I.c0,2738
L1-I.loads-I.c1,187
L1-I.loads-I.c2,188
L1-I.loads-I.c3,194
L1-I.loads-I.node0,2926
L1-I.loads-I.node1,381
L1-I.loads-I.total,3307
L1-I.loads-S.c0,162215
L1-I.loads-S.c1,130343
L1-I.loads-S.c2,163087
L1-I.loads-S.c3,121979
L1-I.loads-S.node0,325302
L1-I.loads-S.node1,252322
L1-I.loads-S.total,577624
L1-I.loads-where-L1I.c0,1302172
L1-I.loads-where-L1I.c1,130607
L1-I.loads-where-L1I.c2,163133
L1-I.loads-where-L1I.c3,122020
L1-I.loads-where-L1I.node0,1465305
L1-I.loads-where-L1I.node1,252627
L1-I.loads-where-L1I.total,1717932
L1-I.loads-where-L2,402
L1-I.loads-where-L3.c0,170
L1-I.loads-where-L3.c1,71
L1-I.loads-where-L3.c2,47
L1-I.loads-where-L3.c3,82
L1-I.loads-where-L3.node0,217
L1-I.loads-where-L3.node1,153
L1-I.loads-where-L3.total,370
L1-I.loads-where-cache-remote.c0,21
L1-I.loads-where-cache-remote.c1,35
L1-I.loads-where-cache-remote.c2,110
L1-I.loads-where-cache-remote.c3,77
L1-I.loads-where-cache-remote.node0,131
L1-I.loads-where-cache-remote.node1,112
L1-I.loads-where-cache-remote.total,243
L1-I.loads-where-dram-local.c0,1073
L1-I.loads-where-dram-local.c1,39
L1-I.loads-where-dram-local.c2,18
L1-I.loads-where-dram-local.c3,18
L1-I.loads-where-dram-local.node0,1091
L1-I.loads-where-dram-local.node1,57
L1-I.loads-where-dram-local.total,1148
L1-I.loads-where-dram-remote.c0,1072
L1-I.loads-where-dram-remote.c1,42
L1-I.loads-where-dram-remote.c2,13
L1-I.loads-where-dram-remote.c3,17
L1-I.loads-where-dram-remote.node0,1085
L1-I.loads-where-dram-remote.node1,59
L1-I.loads-where-dram-remote.total,1144
L1-I.loads.c0,1304910
L1-I.loads.c1,130794
L1-I.loads.c2,163321
L1-I.loads.c3,122214
L1-I.loads.node0,1468231
L1-I.loads.node1,253008
L1-I.loads.total,1721239
L1-I.total-latency.c0,149546709850
L1-I.total-latency.c1,6414255305
L1-I.total-latency.c2,4534606655
L1-I.total-latency.c3,4047082490
L1-I.total-latency.node0,154081316505
L1-I.total-latency.node1,10461337795
L1-I.total-latency.total,164542654300
L2.access-mru-0.c0,5247
L2.access-mru-0.c1,1557
L2.access-mru-0.c2,1467
L2.access-mru-0.c3,1563
L2.access-mru-0.node0,6714
L2.access-mru-0.node1,3120
L2.access-mru-0.total,9834
L2.access-mru-1.c0,3502
L2.access-mru-1.c1,639
L2.access-mru-1.c2,849
L2.access-mru-1.c3,491
L2.access-mru-1.node0,4351
L2.access-mru-1.node1,1130
L2.access-mru-1.total,5481
L2.access-mru-2.c0,1393
L2.access-mru-2.c1,254
L2.access-mru-2.c2,292
L2.access-mru-2.c3,329
L2.access-mru-2.node0,1685
L2.access-mru-2.node1,583
L2.access-mru-2.total,2268
L2.access-mru-3.c0,602
L2.access-mru-3.c1,101
L2.access-mru-3.c2,37
L2.access-mru-3.c3,79
L2.access-mru-3.node0,639
L2.access-mru-3.node1,180
L2.access-mru-3.total,819
L2.access-mru-4.c0,487
L2.access-mru-4.c1,18
L2.access-mru-4.c2,10
L2.access-mru-4.c3,30
L2.access-mru-4.node0,497
L2.access-mru-4.node1,48
L2.access-mru-4.total,545
L2.access-mru-5.c0,338
