                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   11852382 |    3615012 |    3204913 |    3662417
  Cycles                             |   10080000 |   10080000 |   10080000 |   10080000
  IPC                                |       1.18 |       0.36 |       0.32 |       0.36
  Time (ns)                          |    2520000 |    2520000 |    2520000 |    2520000
  Idle time (ns)                     |       1349 |    1846114 |    1846408 |    1846567
  Idle time (%)                      |       0.1% |      73.3% |      73.3% |      73.3%
Branch predictor stats               |            |            |            |           
  num correct                        |    1433377 |    1063742 |     895652 |    1085587
  num incorrect                      |      86842 |      14092 |      19776 |      13210
  misprediction rate                 |      5.71% |      1.31% |      2.16% |      1.20%
  mpki                               |       7.33 |       3.90 |       6.17 |       3.61
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1674729 |      73750 |      81950 |      70296
    num misses                       |        174 |         25 |         27 |         25
    miss rate                        |      0.01% |      0.03% |      0.03% |      0.04%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    2647295 |     795765 |     753415 |     798009
    num misses                       |       1469 |        186 |        156 |        197
    miss rate                        |      0.06% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.12 |       0.05 |       0.05 |       0.05
  L2 TLB                             |            |            |            |           
    num accesses                     |       1643 |        211 |        183 |        222
    num misses                       |        577 |        147 |        140 |        148
    miss rate                        |     35.12% |     69.67% |     76.50% |     66.67%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1674729 |      73750 |      81950 |      70296
    num cache misses                 |       2725 |        190 |        197 |        191
    miss rate                        |      0.16% |      0.26% |      0.24% |      0.27%
    mpki                             |       0.23 |       0.05 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    2647295 |     795765 |     753415 |     798009
    num cache misses                 |      46423 |      22933 |      23216 |      22853
    miss rate                        |      1.75% |      2.88% |      3.08% |      2.86%
    mpki                             |       3.92 |       6.34 |       7.24 |       6.24
  Cache L2                           |            |            |            |           
    num cache accesses               |      51173 |      23126 |      23418 |      23049
    num cache misses                 |      36804 |      20538 |      20735 |      20515
    miss rate                        |     71.92% |     88.81% |     88.54% |     89.01%
    mpki                             |       3.11 |       5.68 |       6.47 |       5.60
  Cache L3                           |            |            |            |           
    num cache accesses               |      39030 |      20549 |      20742 |      20529
    num cache misses                 |      17452 |       1111 |       1073 |       1098
    miss rate                        |     44.71% |      5.41% |      5.17% |      5.35%
    mpki                             |       1.47 |       0.31 |       0.33 |       0.30
DRAM summary                         |            |            |            |           
  num dram accesses                  |      20678 |          0 |          0 |          0
  average dram access latency (ns)   |      62.19 |        inf |        inf |        inf
  average dram queueing delay        |       0.94 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      10641 |        531 |        492 |        548
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
