metric,value
timestamp,2026-06-30T15:09:13
workload,CG
strategy,EPO
bench_class,S
num_threads,4
output_dir,Outputs/sizeS/4TH/CG_S_EPO_4TH_20260630_030816
cpu_map,"[4, 5, 6, 7]"
p_core_count,0
e_core_count,4
node0_threads,4
node1_threads,0
sim_time_ms,36.4109
total_instructions,324323488
avg_ipc,2.2268
avg_ipc_p,0.0
avg_ipc_e,2.2268
total_power_W,4.1482
dynamic_W,3.3402
leakage_W,0.8
dram_W,0.008
energy_J,0.151041
node0_reads,45480
node1_reads,0
node0_pct,100.0
dram_local,17893
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,7.6944
l2_miss_pct,24.6109
l3_miss_pct,0.8141
l1d_mpki,27.5363
l2_mpki,6.7769
l3_mpki,0.0552
l3_miss_count,17893
cpi_base_frac,0.9274
cpi_branch_frac,0.0391
cpi_l2_frac,0.0
cpi_l3_frac,0.0326
cpi_dram_local_frac,0.0009
cpi_dram_remote_frac,0.0
L1-D.access-mru-0.c0,20685750
L1-D.access-mru-0.c1,20341823
L1-D.access-mru-0.c2,20360305
L1-D.access-mru-0.c3,20387576
L1-D.access-mru-0.node0,81775454
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,81775454
L1-D.access-mru-1.c0,2069221
L1-D.access-mru-1.c1,1996895
L1-D.access-mru-1.c2,2003934
L1-D.access-mru-1.c3,1977086
L1-D.access-mru-1.node0,8047136
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,8047136
L1-D.access-mru-2.c0,1259714
L1-D.access-mru-2.c1,1217712
L1-D.access-mru-2.c2,1225610
L1-D.access-mru-2.c3,1226912
L1-D.access-mru-2.node0,4929948
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,4929948
L1-D.access-mru-3.c0,1205299
L1-D.access-mru-3.c1,1175419
L1-D.access-mru-3.c2,1215760
L1-D.access-mru-3.c3,1203536
L1-D.access-mru-3.node0,4800014
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,4800014
L1-D.access-mru-4.c0,1076899
L1-D.access-mru-4.c1,1070998
L1-D.access-mru-4.c2,1071864
L1-D.access-mru-4.c3,1061339
L1-D.access-mru-4.node0,4281100
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,4281100
L1-D.access-mru-5.c0,974927
L1-D.access-mru-5.c1,892486
L1-D.access-mru-5.c2,906514
L1-D.access-mru-5.c3,951722
L1-D.access-mru-5.node0,3725649
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,3725649
L1-D.access-mru-6.c0,763330
L1-D.access-mru-6.c1,727640
L1-D.access-mru-6.c2,709118
L1-D.access-mru-6.c3,732511
L1-D.access-mru-6.node0,2932599
L1-D.access-mru-6.node1,0
L1-D.access-mru-6.total,2932599
L1-D.access-mru-7.c0,551594
L1-D.access-mru-7.c1,521614
L1-D.access-mru-7.c2,514736
L1-D.access-mru-7.c3,536097
L1-D.access-mru-7.node0,2124041
L1-D.access-mru-7.node1,0
L1-D.access-mru-7.total,2124041
L1-D.backinval-E,1
L1-D.backinval-M.c0,77
L1-D.backinval-M.c1,36
L1-D.backinval-M.c2,371
L1-D.backinval-M.c3,24
L1-D.backinval-M.node0,508
L1-D.backinval-M.node1,0
L1-D.backinval-M.total,508
L1-D.backinval-S.c0,875
L1-D.backinval-S.c1,449
L1-D.backinval-S.c2,590
L1-D.backinval-S.c3,511
L1-D.backinval-S.node0,2425
L1-D.backinval-S.node1,0
L1-D.backinval-S.total,2425
L1-D.coherency-downgrades.c0,112155
L1-D.coherency-downgrades.c1,122408
L1-D.coherency-downgrades.c2,118201
L1-D.coherency-downgrades.c3,114815
L1-D.coherency-downgrades.node0,467579
L1-D.coherency-downgrades.node1,0
L1-D.coherency-downgrades.total,467579
L1-D.coherency-invalidates.c0,11943
L1-D.coherency-invalidates.c1,14694
L1-D.coherency-invalidates.c2,14964
L1-D.coherency-invalidates.c3,11560
L1-D.coherency-invalidates.node0,53161
L1-D.coherency-invalidates.node1,0
L1-D.coherency-invalidates.total,53161
L1-D.coherency-writebacks.c0,9551
L1-D.coherency-writebacks.c1,10469
L1-D.coherency-writebacks.c2,11026
L1-D.coherency-writebacks.c3,11298
L1-D.coherency-writebacks.node0,42344
L1-D.coherency-writebacks.node1,0
L1-D.coherency-writebacks.total,42344
L1-D.evict-E.c0,7186
L1-D.evict-E.c1,11
L1-D.evict-E.c2,88
L1-D.evict-E.c3,96
L1-D.evict-E.node0,7381
L1-D.evict-E.node1,0
L1-D.evict-E.total,7381
L1-D.evict-M.c0,1858403
L1-D.evict-M.c1,1759624
L1-D.evict-M.c2,1781357
L1-D.evict-M.c3,1802110
L1-D.evict-M.node0,7201494
L1-D.evict-M.node1,0
L1-D.evict-M.total,7201494
L1-D.evict-S.c0,424485
L1-D.evict-S.c1,453671
L1-D.evict-S.c2,426630
L1-D.evict-S.c3,448305
L1-D.evict-S.node0,1753091
L1-D.evict-S.node1,0
L1-D.evict-S.total,1753091
L1-D.load-misses-E,3
L1-D.load-misses-I.c0,2275674
L1-D.load-misses-I.c1,2208081
L1-D.load-misses-I.c2,2203604
L1-D.load-misses-I.c3,2242441
L1-D.load-misses-I.node0,8929800
L1-D.load-misses-I.node1,0
L1-D.load-misses-I.total,8929800
L1-D.load-misses-S.c0,8
L1-D.load-misses-S.c1,437
L1-D.load-misses-S.c2,279
L1-D.load-misses-S.c3,132
L1-D.load-misses-S.node0,856
L1-D.load-misses-S.node1,0
L1-D.load-misses-S.total,856
L1-D.load-misses.c0,2275685
L1-D.load-misses.c1,2208518
L1-D.load-misses.c2,2203883
L1-D.load-misses.c3,2242573
L1-D.load-misses.node0,8930659
L1-D.load-misses.node1,0
L1-D.load-misses.total,8930659
L1-D.loads-E.c0,67777
L1-D.loads-E.c1,481
L1-D.loads-E.c2,1659
L1-D.loads-E.c3,30819
L1-D.loads-E.node0,100736
L1-D.loads-E.node1,0
L1-D.loads-E.total,100736
L1-D.loads-I.c0,2275674
L1-D.loads-I.c1,2208081
L1-D.loads-I.c2,2203604
L1-D.loads-I.c3,2242441
L1-D.loads-I.node0,8929800
L1-D.loads-I.node1,0
L1-D.loads-I.total,8929800
L1-D.loads-M.c0,20721855
L1-D.loads-M.c1,19608873
L1-D.loads-M.c2,19940849
L1-D.loads-M.c3,19919382
L1-D.loads-M.node0,80190959
L1-D.loads-M.node1,0
L1-D.loads-M.total,80190959
L1-D.loads-S.c0,6344078
L1-D.loads-S.c1,7031354
L1-D.loads-S.c2,6730711
L1-D.loads-S.c3,6738833
L1-D.loads-S.node0,26844976
L1-D.loads-S.node1,0
L1-D.loads-S.total,26844976
L1-D.loads-where-L1.c0,27133699
L1-D.loads-where-L1.c1,26640271
L1-D.loads-where-L1.c2,26672940
L1-D.loads-where-L1.c3,26688902
L1-D.loads-where-L1.node0,107135812
L1-D.loads-where-L1.node1,0
L1-D.loads-where-L1.total,107135812
L1-D.loads-where-L2.c0,1601530
L1-D.loads-where-L2.c1,1845703
L1-D.loads-where-L2.c2,1608412
L1-D.loads-where-L2.c3,1677101
L1-D.loads-where-L2.node0,6732746
L1-D.loads-where-L2.node1,0
L1-D.loads-where-L2.total,6732746
L1-D.loads-where-L3.c0,601469
L1-D.loads-where-L3.c1,295145
L1-D.loads-where-L3.c2,528710
L1-D.loads-where-L3.c3,497995
L1-D.loads-where-L3.node0,1923319
L1-D.loads-where-L3.node1,0
L1-D.loads-where-L3.total,1923319
L1-D.loads-where-L3_S.c0,63210
L1-D.loads-where-L3_S.c1,64900
L1-D.loads-where-L3_S.c2,64069
L1-D.loads-where-L3_S.c3,64522
L1-D.loads-where-L3_S.node0,256701
L1-D.loads-where-L3_S.node1,0
L1-D.loads-where-L3_S.total,256701
L1-D.loads-where-dram-local.c0,9476
L1-D.loads-where-dram-local.c1,2770
L1-D.loads-where-dram-local.c2,2692
L1-D.loads-where-dram-local.c3,2955
L1-D.loads-where-dram-local.node0,17893
L1-D.loads-where-dram-local.node1,0
L1-D.loads-where-dram-local.total,17893
L1-D.loads.c0,29409384
L1-D.loads.c1,28848789
L1-D.loads.c2,28876823
L1-D.loads.c3,28931475
L1-D.loads.node0,116066471
L1-D.loads.node1,0
L1-D.loads.total,116066471
L1-D.store-misses-E,1938
L1-D.store-misses-I.c0,37103
L1-D.store-misses-I.c1,31118
L1-D.store-misses-I.c2,31667
L1-D.store-misses-I.c3,31707
L1-D.store-misses-I.node0,131595
L1-D.store-misses-I.node1,0
L1-D.store-misses-I.total,131595
L1-D.store-misses-S.c0,20146
L1-D.store-misses-S.c1,18369
L1-D.store-misses-S.c2,19119
L1-D.store-misses-S.c3,18286
L1-D.store-misses-S.node0,75920
L1-D.store-misses-S.node1,0
