metric,value
timestamp,2026-06-30T21:51:14
workload,CG
strategy,Packed
bench_class,S
num_threads,4
output_dir,Outputs/sizeS/4TH/CG_S_Packed_4TH_20260630_214958
cpu_map,"[0, 1, 2, 3]"
p_core_count,4
e_core_count,0
node0_threads,4
node1_threads,0
sim_time_ms,9.2725
total_instructions,326564534
avg_ipc,2.2012
avg_ipc_p,2.2012
avg_ipc_e,0.0
total_power_W,19.6407
dynamic_W,17.6092
leakage_W,2.0
dram_W,0.0314
energy_J,0.182118
node0_reads,45478
node1_reads,0
node0_pct,100.0
dram_local,8022
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,7.7001
l2_miss_pct,2.8718
l3_miss_pct,3.1155
l1d_mpki,27.4556
l2_mpki,0.7885
l3_mpki,0.0246
l3_miss_count,8022
cpi_base_frac,0.9205
cpi_branch_frac,0.043
cpi_l2_frac,0.0
cpi_l3_frac,0.0325
cpi_dram_local_frac,0.0039
cpi_dram_remote_frac,0.0
L1-D.access-mru-0.c0,20633697
L1-D.access-mru-0.c1,20367852
L1-D.access-mru-0.c2,20291048
L1-D.access-mru-0.c3,20339755
L1-D.access-mru-0.node0,81632352
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,81632352
L1-D.access-mru-1.c0,2130105
L1-D.access-mru-1.c1,2027295
L1-D.access-mru-1.c2,2047001
L1-D.access-mru-1.c3,2010237
L1-D.access-mru-1.node0,8214638
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,8214638
L1-D.access-mru-2.c0,1270348
L1-D.access-mru-2.c1,1235222
L1-D.access-mru-2.c2,1255064
L1-D.access-mru-2.c3,1251906
L1-D.access-mru-2.node0,5012540
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,5012540
L1-D.access-mru-3.c0,1243129
L1-D.access-mru-3.c1,1220117
L1-D.access-mru-3.c2,1235691
L1-D.access-mru-3.c3,1228316
L1-D.access-mru-3.node0,4927253
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,4927253
L1-D.access-mru-4.c0,1084101
L1-D.access-mru-4.c1,1068904
L1-D.access-mru-4.c2,1090475
L1-D.access-mru-4.c3,1071621
L1-D.access-mru-4.node0,4315101
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,4315101
L1-D.access-mru-5.c0,975287
L1-D.access-mru-5.c1,905979
L1-D.access-mru-5.c2,912735
L1-D.access-mru-5.c3,964113
L1-D.access-mru-5.node0,3758114
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,3758114
L1-D.access-mru-6.c0,770828
L1-D.access-mru-6.c1,728727
L1-D.access-mru-6.c2,714883
L1-D.access-mru-6.c3,744690
L1-D.access-mru-6.node0,2959128
L1-D.access-mru-6.node1,0
L1-D.access-mru-6.total,2959128
L1-D.access-mru-7.c0,552254
L1-D.access-mru-7.c1,532106
L1-D.access-mru-7.c2,520598
L1-D.access-mru-7.c3,529901
L1-D.access-mru-7.node0,2134859
L1-D.access-mru-7.node1,0
L1-D.access-mru-7.total,2134859
L1-D.backinval-M.c0,4
