                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    9754751 |    9488783 |    9407553 |    9342862
  Cycles                             |   10717500 |   10717500 |   10717500 |   10717500
  IPC                                |       0.91 |       0.89 |       0.88 |       0.87
  Time (ns)                          |   10717500 |   10717500 |   10717500 |   10717500
  Idle time (ns)                     |        280 |     392545 |     393599 |     394391
  Idle time (%)                      |       0.0% |       3.7% |       3.7% |       3.7%
Branch predictor stats               |            |            |            |           
  num correct                        |     816069 |     801494 |     785623 |     771633
  num incorrect                      |       5304 |       1995 |       2036 |       2232
  misprediction rate                 |      0.65% |      0.25% |      0.26% |      0.29%
  mpki                               |       0.54 |       0.21 |       0.22 |       0.24
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     676525 |     615861 |     605011 |     585224
    num misses                       |        118 |         24 |         24 |         24
    miss rate                        |      0.02% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    3637055 |    3481218 |    3435585 |    3420867
    num misses                       |      15070 |      13269 |      13052 |      12326
    miss rate                        |      0.41% |      0.38% |      0.38% |      0.36%
    mpki                             |       1.54 |       1.40 |       1.39 |       1.32
  L2 TLB                             |            |            |            |           
    num accesses                     |      15188 |      13293 |      13076 |      12350
    num misses                       |        590 |        300 |        320 |        320
    miss rate                        |      3.88% |      2.26% |      2.45% |      2.59%
    mpki                             |       0.06 |       0.03 |       0.03 |       0.03
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     676525 |     615861 |     605011 |     585224
    num cache misses                 |       2695 |        315 |        311 |        321
    miss rate                        |      0.40% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.28 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    3637055 |    3481218 |    3435585 |    3420867
    num cache misses                 |     147563 |     135836 |     135136 |     136375
    miss rate                        |      4.06% |      3.90% |      3.93% |      3.99%
    mpki                             |      15.13 |      14.32 |      14.36 |      14.60
  Cache L2                           |            |            |            |           
    num cache accesses               |     166720 |     149623 |     149333 |     148946
    num cache misses                 |      56748 |      45813 |      46497 |      45800
    miss rate                        |     34.04% |     30.62% |     31.14% |     30.75%
    mpki                             |       5.82 |       4.83 |       4.94 |       4.90
  Cache L3                           |            |            |            |           
    num cache accesses               |      79234 |      64956 |      66120 |      63802
    num cache misses                 |      11390 |       2156 |       2145 |       2185
    miss rate                        |     14.38% |      3.32% |      3.24% |      3.42%
    mpki                             |       1.17 |       0.23 |       0.23 |       0.23
DRAM summary                         |            |            |            |           
  num dram accesses                  |      17864 |          0 |          0 |          0
  average dram access latency (ns)   |     172.64 |        inf |        inf |        inf
  average dram queueing delay        |     111.39 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       6294 |         46 |         38 |         53
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
