metric,value
timestamp,2026-06-30T21:52:08
workload,PR
strategy,Scatter
bench_class,S
num_threads,4
output_dir,Outputs/sizeS/4TH/PR_S_Scatter_4TH_20260630_214958
cpu_map,"[0, 8, 1, 9]"
p_core_count,4
e_core_count,0
node0_threads,2
node1_threads,2
sim_time_ms,2.4329
total_instructions,21868195
avg_ipc,0.5618
avg_ipc_p,0.5618
avg_ipc_e,0.0
total_power_W,6.5491
dynamic_W,4.4943
leakage_W,2.0
dram_W,0.0548
energy_J,0.015933
node0_reads,10434
node1_reads,10363
node0_pct,50.1707
dram_local,5518
dram_remote,5502
dram_remote_pct,49.9274
l1d_miss_pct,1.6786
l2_miss_pct,74.2198
l3_miss_pct,21.5918
l1d_mpki,3.1446
l2_mpki,2.3339
l3_mpki,0.5039
l3_miss_count,11020
cpi_base_frac,0.5449
cpi_branch_frac,0.2067
cpi_l2_frac,0.0
cpi_l3_frac,0.1752
cpi_dram_local_frac,0.0351
cpi_dram_remote_frac,0.038
L1-D.access-mru-0.c0,2661016
L1-D.access-mru-0.c1,753514
L1-D.access-mru-0.c2,708861
L1-D.access-mru-0.c3,757617
L1-D.access-mru-0.node0,3369877
L1-D.access-mru-0.node1,1511131
L1-D.access-mru-0.total,4881008
L1-D.access-mru-1.c0,115398
L1-D.access-mru-1.c1,12308
L1-D.access-mru-1.c2,13151
L1-D.access-mru-1.c3,12355
L1-D.access-mru-1.node0,128549
L1-D.access-mru-1.node1,24663
L1-D.access-mru-1.total,153212
L1-D.access-mru-2.c0,45684
L1-D.access-mru-2.c1,1724
L1-D.access-mru-2.c2,1825
L1-D.access-mru-2.c3,1671
L1-D.access-mru-2.node0,47509
L1-D.access-mru-2.node1,3395
L1-D.access-mru-2.total,50904
L1-D.access-mru-3.c0,12984
L1-D.access-mru-3.c1,489
L1-D.access-mru-3.c2,706
L1-D.access-mru-3.c3,550
L1-D.access-mru-3.node0,13690
L1-D.access-mru-3.node1,1039
L1-D.access-mru-3.total,14729
L1-D.access-mru-4.c0,4683
L1-D.access-mru-4.c1,262
L1-D.access-mru-4.c2,394
L1-D.access-mru-4.c3,288
L1-D.access-mru-4.node0,5077
