                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     334695 |          0 |          0 |          0
  Cycles                             |     707200 |     707200 |     707200 |     707200
  IPC                                |       0.47 |       0.00 |       0.00 |       0.00
  Time (ns)                          |     176800 |     176800 |     176800 |     176800
  Idle time (ns)                     |        268 |     176800 |     176800 |     176800
  Idle time (%)                      |       0.2% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |           
  num correct                        |      50632 |          0 |          0 |          0
  num incorrect                      |       3415 |          0 |          0 |          0
  misprediction rate                 |      6.32% |      0.00% |      0.00% |      0.00%
  mpki                               |      10.20 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      40078 |          0 |          0 |          0
    num misses                       |         94 |          0 |          0 |          0
    miss rate                        |      0.23% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.28 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     143142 |          0 |          0 |          0
    num misses                       |        441 |          0 |          0 |          0
    miss rate                        |      0.31% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.32 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        535 |          0 |          0 |          0
    num misses                       |        281 |          0 |          0 |          0
    miss rate                        |     52.52% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.84 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      40078 |          0 |          0 |          0
    num cache misses                 |       1169 |          0 |          0 |          0
    miss rate                        |      2.92% |       inf% |       inf% |       inf%
    mpki                             |       3.49 |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     143142 |          0 |          0 |          0
    num cache misses                 |       9089 |          0 |          0 |          0
    miss rate                        |      6.35% |       inf% |       inf% |       inf%
    mpki                             |      27.16 |        inf |        inf |        inf
  Cache L2                           |            |            |            |           
    num cache accesses               |      12135 |          0 |          0 |          0
    num cache misses                 |       8543 |          0 |          0 |          0
    miss rate                        |     70.40% |       inf% |       inf% |       inf%
    mpki                             |      25.52 |        inf |        inf |        inf
  Cache L3                           |            |            |            |           
    num cache accesses               |      10425 |          0 |          0 |          0
    num cache misses                 |       8512 |          0 |          0 |          0
    miss rate                        |     81.65% |       inf% |       inf% |       inf%
    mpki                             |      25.43 |        inf |        inf |        inf
DRAM summary                         |            |            |            |           
  num dram accesses                  |       4282 |          0 |       4230 |          0
  average dram access latency (ns)   |      61.47 |        inf |      61.41 |        inf
  average dram queueing delay        |       0.22 |       0.00 |       0.16 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      2.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       6151 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
