metric,value
timestamp,2026-07-02T00:22:23
workload,BT
strategy,Packed
bench_class,S
num_threads,6
output_dir,Outputs/sizeS/6TH/BT_S_Packed_6TH_20260702_001946
cpu_map,"[0, 1, 2, 3, 4, 5]"
p_core_count,4
e_core_count,2
node0_threads,6
node1_threads,0
sim_time_ms,41.4487
total_instructions,673084411
avg_ipc,1.3389
avg_ipc_p,0.6838
avg_ipc_e,2.6493
total_power_W,9.86
dynamic_W,7.4572
leakage_W,2.4
dram_W,0.0028
energy_J,0.408684
node0_reads,18343
node1_reads,0
node0_pct,100.0
dram_local,6937
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,1.2163
l2_miss_pct,15.0305
l3_miss_pct,2.1153
l1d_mpki,3.2415
l2_mpki,0.4872
l3_mpki,0.0103
l3_miss_count,6937
cpi_base_frac,0.9603
cpi_branch_frac,0.0029
cpi_l2_frac,0.0
cpi_l3_frac,0.0364
cpi_dram_local_frac,0.0004
cpi_dram_remote_frac,0.0
futex_wake_count,880
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,7.8193
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,45625450
L1-D.access-mru-0.c1,45734791
L1-D.access-mru-0.c2,45538075
L1-D.access-mru-0.c3,45634468
L1-D.access-mru-0.c4,31812736
L1-D.access-mru-0.c5,32034184
L1-D.access-mru-0.node0,246379704
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,246379704
L1-D.access-mru-1.c0,3599476
L1-D.access-mru-1.c1,3463993
L1-D.access-mru-1.c2,3611980
L1-D.access-mru-1.c3,3524137
L1-D.access-mru-1.c4,1839558
L1-D.access-mru-1.c5,1724096
L1-D.access-mru-1.node0,17763240
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,17763240
L1-D.access-mru-2.c0,419532
L1-D.access-mru-2.c1,286005
L1-D.access-mru-2.c2,340208
L1-D.access-mru-2.c3,292128
L1-D.access-mru-2.c4,170509
L1-D.access-mru-2.c5,139148
