metric,value
timestamp,2026-07-02T00:27:21
workload,SP
strategy,EPO
bench_class,S
num_threads,6
output_dir,Outputs/sizeS/6TH/SP_S_EPO_6TH_20260702_001946
cpu_map,"[4, 5, 6, 7, 12, 13]"
p_core_count,0
e_core_count,6
node0_threads,4
node1_threads,2
sim_time_ms,24.5302
total_instructions,312877783
avg_ipc,2.1258
avg_ipc_p,0.0
avg_ipc_e,2.1258
total_power_W,5.988
dynamic_W,4.783
leakage_W,1.2
dram_W,0.0049
energy_J,0.146887
node0_reads,9502
node1_reads,9459
node0_pct,50.1134
dram_local,3432
dram_remote,3426
dram_remote_pct,49.9563
l1d_miss_pct,4.63
l2_miss_pct,11.037
l3_miss_pct,1.6703
l1d_mpki,11.8899
l2_mpki,1.3123
l3_mpki,0.0219
l3_miss_count,6858
cpi_base_frac,0.9188
cpi_branch_frac,0.0094
cpi_l2_frac,0.0
cpi_l3_frac,0.0709
cpi_dram_local_frac,0.0004
cpi_dram_remote_frac,0.0006
futex_wake_count,2248
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,47.7887
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,17159745
L1-D.access-mru-0.c1,17110823
L1-D.access-mru-0.c2,17018637
L1-D.access-mru-0.c3,17894920
L1-D.access-mru-0.c4,14365461
L1-D.access-mru-0.c5,14358876
L1-D.access-mru-0.node0,69184125
L1-D.access-mru-0.node1,28724337
L1-D.access-mru-0.total,97908462
L1-D.access-mru-1.c0,1440070
L1-D.access-mru-1.c1,1385277
L1-D.access-mru-1.c2,1228953
L1-D.access-mru-1.c3,1268006
L1-D.access-mru-1.c4,553110
L1-D.access-mru-1.c5,599148
L1-D.access-mru-1.node0,5322306
L1-D.access-mru-1.node1,1152258
L1-D.access-mru-1.total,6474564
L1-D.access-mru-2.c0,262852
L1-D.access-mru-2.c1,221084
L1-D.access-mru-2.c2,246361
L1-D.access-mru-2.c3,233803
L1-D.access-mru-2.c4,133510
L1-D.access-mru-2.c5,130629
L1-D.access-mru-2.node0,964100
L1-D.access-mru-2.node1,264139
L1-D.access-mru-2.total,1228239
L1-D.access-mru-3.c0,99402
L1-D.access-mru-3.c1,87032
L1-D.access-mru-3.c2,82121
L1-D.access-mru-3.c3,88197
L1-D.access-mru-3.c4,46742
L1-D.access-mru-3.c5,58674
L1-D.access-mru-3.node0,356752
L1-D.access-mru-3.node1,105416
L1-D.access-mru-3.total,462168
L1-D.access-mru-4.c0,72409
L1-D.access-mru-4.c1,79545
L1-D.access-mru-4.c2,67115
L1-D.access-mru-4.c3,72496
L1-D.access-mru-4.c4,41037
L1-D.access-mru-4.c5,44486
L1-D.access-mru-4.node0,291565
L1-D.access-mru-4.node1,85523
L1-D.access-mru-4.total,377088
L1-D.access-mru-5.c0,79192
L1-D.access-mru-5.c1,79898
L1-D.access-mru-5.c2,79998
L1-D.access-mru-5.c3,77278
L1-D.access-mru-5.c4,50936
L1-D.access-mru-5.c5,45677
