                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4     | Core 5     | Core 6     | Core 7     | Core 8      | Core 9      | Core 10     | Core 11     | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     3803340 |  1445488653 |   424434471 |   393905419 |    9633469 |    4391628 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
  Cycles                             |  1184453380 |  1184453380 |  1184453380 |  1184453380 |  898550840 |  898550840 |  898550840 |  898550840 |  1184453380 |  1184453380 |  1184453380 |  1184453380 |  898550840 |  898550840 |  898550840 |  898550840
  IPC                                |        0.00 |        1.22 |        0.36 |        0.33 |       0.01 |       0.00 |       0.00 |       0.00 |        0.00 |        0.00 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   408432200 |   408432200 |   408432200 |   408432200 |  408432200 |  408432200 |  408432200 |  408432200 |   408432200 |   408432200 |   408432200 |   408432200 |  408432200 |  408432200 |  408432200 |  408432200
  Idle time (ns)                     |   407154620 |     7565490 |   158115619 |   350902013 |  404741400 |  406112007 |  408432200 |  408432200 |   408432200 |   408432200 |   408432200 |   408432200 |  408432200 |  408432200 |  408432200 |  408432200
  Idle time (%)                      |       99.7% |        1.9% |       38.7% |       85.9% |      99.1% |      99.4% |     100.0% |     100.0% |      100.0% |      100.0% |      100.0% |      100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |             |             |             |             |            |            |            |            |             |             |             |             |            |            |            |           
  num correct                        |      415676 |   172807760 |    21345765 |      603041 |    1273648 |     172732 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
  num incorrect                      |        5229 |     8114931 |        2749 |        9558 |       7666 |        729 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
  misprediction rate                 |       1.24% |       4.49% |       0.01% |       1.56% |      0.60% |      0.42% |      0.00% |      0.00% |       0.00% |       0.00% |       0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |        1.37 |        5.61 |        0.01 |        0.02 |       0.80 |       0.17 |       0.00 |       0.00 |        0.00 |        0.00 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |             |             |             |             |            |            |            |            |             |             |             |             |            |            |            |           
  I-TLB                              |             |             |             |             |            |            |            |            |             |             |             |             |            |            |            |           
    num accesses                     |      545637 |   164865402 |    32076439 |    22171463 |    1522048 |     429962 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
    num misses                       |          41 |          47 |          35 |          41 |        113 |         36 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
    miss rate                        |       0.01% |       0.00% |       0.00% |       0.00% |      0.01% |      0.01% |      0.00% |      0.00% |       0.00% |       0.00% |       0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.01 |        0.00 |        0.00 |        0.00 |       0.01 |       0.01 |       0.00 |       0.00 |        0.00 |        0.00 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |             |             |             |             |            |            |            |            |             |             |             |             |            |            |            |           
    num accesses                     |     2053349 |   703486542 |   286161858 |    92143391 |    4800105 |    3837377 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
    num misses                       |        1781 |       83720 |        2801 |        8384 |      10282 |       5332 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
    miss rate                        |       0.09% |       0.01% |       0.00% |       0.01% |      0.21% |      0.14% |      0.00% |      0.00% |       0.00% |       0.00% |       0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.47 |        0.06 |        0.01 |        0.02 |       1.07 |       1.21 |       0.00 |       0.00 |        0.00 |        0.00 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |             |             |             |             |            |            |            |            |             |             |             |             |            |            |            |           
    num accesses                     |        1822 |       83767 |        2836 |        8425 |      10395 |       5368 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
    num misses                       |        1135 |        5512 |        2817 |        6332 |       3158 |       5326 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
    miss rate                        |      62.29% |       6.58% |      99.33% |      75.16% |     30.38% |     99.22% |      0.00% |      0.00% |       0.00% |       0.00% |       0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.30 |        0.00 |        0.01 |        0.02 |       0.33 |       1.21 |       0.00 |       0.00 |        0.00 |        0.00 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |             |             |             |             |            |            |            |            |             |             |             |             |            |            |            |           
  Cache L1-I                         |             |             |             |             |            |            |            |            |             |             |             |             |            |            |            |           
    num cache accesses               |      545637 |   164865402 |    32076439 |    22171463 |    1522048 |     429962 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
    num cache misses                 |         836 |       91535 |        1105 |        2893 |       1989 |        563 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
    miss rate                        |       0.15% |       0.06% |       0.00% |       0.01% |      0.13% |      0.13% |       inf% |       inf% |        inf% |        inf% |        inf% |        inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        0.22 |        0.06 |        0.00 |        0.01 |       0.21 |       0.13 |        inf |        inf |         inf |         inf |         inf |         inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |             |             |             |             |            |            |            |            |             |             |             |             |            |            |            |           
    num cache accesses               |     2053349 |   703486542 |   286161858 |    92143391 |    4800105 |    3837377 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
