                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   11448388 |    3392457 |    3226199 |    3412252 |    2877356 |    3364208 |    3234942 |    3497490
  Cycles                             |    9252400 |    9252400 |    9252400 |    9252400 |    9252400 |    9252400 |    9252400 |    9252400
  IPC                                |       1.24 |       0.37 |       0.35 |       0.37 |       0.31 |       0.36 |       0.35 |       0.38
  Time (ns)                          |    2313100 |    2313100 |    2313100 |    2313100 |    2313100 |    2313100 |    2313100 |    2313100
  Idle time (ns)                     |       1411 |    1836702 |    1837258 |    1837378 |    1837359 |    1837421 |    1837464 |    1837595
  Idle time (%)                      |       0.1% |      79.4% |      79.4% |      79.4% |      79.4% |      79.4% |      79.4% |      79.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1358693 |    1064414 |     996424 |    1072021 |     851368 |    1053304 |     999239 |    1107259
  num incorrect                      |      80404 |       6265 |       8318 |       6158 |      13413 |       6609 |       8495 |       5105
  misprediction rate                 |      5.59% |      0.59% |      0.83% |      0.57% |      1.55% |      0.62% |      0.84% |      0.46%
  mpki                               |       7.02 |       1.85 |       2.58 |       1.80 |       4.66 |       1.96 |       2.63 |       1.46
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    1249099 |      59230 |      71218 |      57014 |     103850 |      60204 |      73316 |      51136
    num misses                       |        171 |         28 |         26 |         26 |         26 |         26 |         26 |         26
    miss rate                        |      0.01% |      0.05% |      0.04% |      0.05% |      0.03% |      0.04% |      0.04% |      0.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2493426 |     658293 |     641416 |     660727 |     606914 |     654814 |     642300 |     669144
    num misses                       |       1516 |        140 |        154 |        149 |        156 |        140 |        131 |        137
    miss rate                        |      0.06% |      0.02% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.13 |       0.04 |       0.05 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       1687 |        168 |        180 |        175 |        182 |        166 |        157 |        163
    num misses                       |        574 |        132 |        141 |        141 |        143 |        139 |        137 |        136
    miss rate                        |     34.02% |     78.57% |     78.33% |     80.57% |     78.57% |     83.73% |     87.26% |     83.44%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1249099 |      59230 |      71218 |      57014 |     103850 |      60204 |      73316 |      51136
    num cache misses                 |       2750 |        194 |        186 |        187 |        188 |        187 |        186 |        186
    miss rate                        |      0.22% |      0.33% |      0.26% |      0.33% |      0.18% |      0.31% |      0.25% |      0.36%
    mpki                             |       0.24 |       0.06 |       0.06 |       0.05 |       0.07 |       0.06 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2493426 |     658293 |     641416 |     660727 |     606914 |     654814 |     642300 |     669144
    num cache misses                 |      37476 |      13146 |      13367 |      13083 |      13527 |      13221 |      13290 |      12955
    miss rate                        |      1.50% |      2.00% |      2.08% |      1.98% |      2.23% |      2.02% |      2.07% |      1.94%
    mpki                             |       3.27 |       3.88 |       4.14 |       3.83 |       4.70 |       3.93 |       4.11 |       3.70
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      42405 |      13459 |      13689 |      13404 |      14218 |      13801 |      13887 |      13517
    num cache misses                 |      29008 |      12122 |      12284 |      12080 |      12411 |      12226 |      12255 |      12050
    miss rate                        |     68.41% |     90.07% |     89.74% |     90.12% |     87.29% |     88.59% |     88.25% |     89.15%
    mpki                             |       2.53 |       3.57 |       3.81 |       3.54 |       4.31 |       3.63 |       3.79 |       3.45
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      31534 |      12250 |      12423 |      12214 |      12914 |      12624 |      12666 |      12429
    num cache misses                 |      23687 |       6870 |       6921 |       6733 |       7589 |       7314 |       7331 |       7213
    miss rate                        |     75.12% |     56.08% |     55.71% |     55.13% |     58.77% |     57.94% |     57.88% |     58.03%
    mpki                             |       2.07 |       2.03 |       2.15 |       1.97 |       2.64 |       2.17 |       2.27 |       2.06
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      10703 |          0 |          0 |          0 |      10650 |          0 |          0 |          0
  average dram access latency (ns)   |      61.52 |        inf |        inf |        inf |      61.49 |        inf |        inf |        inf
  average dram queueing delay        |       0.27 |       0.00 |       0.00 |       0.00 |       0.24 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      10255 |        159 |        158 |        139 |         93 |         90 |        121 |        107
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2050 |       1953 |       1967 |       1955 |       2560 |       2434 |       2448 |       2394
