metric,value
timestamp,2026-06-30T15:09:15
workload,IS
strategy,Packed
bench_class,S
num_threads,8
output_dir,Outputs/sizeS/8TH/IS_S_Packed_8TH_20260630_031426
cpu_map,"[0, 1, 2, 3, 4, 5, 6, 7]"
p_core_count,4
e_core_count,4
node0_threads,8
node1_threads,0
sim_time_ms,5.5464
total_instructions,41777960
avg_ipc,0.5768
avg_ipc_p,0.2432
avg_ipc_e,0.9105
total_power_W,6.1322
dynamic_W,3.311
leakage_W,2.8
dram_W,0.0212
energy_J,0.034012
node0_reads,18380
node1_reads,0
node0_pct,100.0
dram_local,6454
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,2.4363
l2_miss_pct,52.5531
l3_miss_pct,4.6575
l1d_mpki,6.3115
l2_mpki,3.3169
l3_mpki,0.1545
l3_miss_count,6454
cpi_base_frac,0.8608
cpi_branch_frac,0.0055
cpi_l2_frac,0.0002
cpi_l3_frac,0.1313
cpi_dram_local_frac,0.0022
cpi_dram_remote_frac,0.0
L1-D.access-mru-0.c0,1775015
L1-D.access-mru-0.c1,1667667
L1-D.access-mru-0.c2,1666668
L1-D.access-mru-0.c3,1651840
L1-D.access-mru-0.c4,1573218
L1-D.access-mru-0.c5,1566991
L1-D.access-mru-0.c6,1558440
L1-D.access-mru-0.c7,1542838
L1-D.access-mru-0.node0,13002677
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,13002677
L1-D.access-mru-1.c0,137434
L1-D.access-mru-1.c1,110885
L1-D.access-mru-1.c2,105297
L1-D.access-mru-1.c3,107926
L1-D.access-mru-1.c4,106456
L1-D.access-mru-1.c5,111230
L1-D.access-mru-1.c6,100461
L1-D.access-mru-1.c7,98262
L1-D.access-mru-1.node0,877951
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,877951
L1-D.access-mru-2.c0,37896
L1-D.access-mru-2.c1,34322
L1-D.access-mru-2.c2,34174
L1-D.access-mru-2.c3,33334
L1-D.access-mru-2.c4,35317
L1-D.access-mru-2.c5,25746
L1-D.access-mru-2.c6,27127
L1-D.access-mru-2.c7,27242
L1-D.access-mru-2.node0,255158
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,255158
L1-D.access-mru-3.c0,55368
L1-D.access-mru-3.c1,47718
L1-D.access-mru-3.c2,42023
L1-D.access-mru-3.c3,37938
L1-D.access-mru-3.c4,29060
L1-D.access-mru-3.c5,31142
L1-D.access-mru-3.c6,32205
L1-D.access-mru-3.c7,33924
