                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    5616616 |    5349775 |    5322739 |    5288279 |    5099188 |    5082131 |    5048643 |    4969403
  Cycles                             |   22185600 |   22185600 |   22185600 |   22185600 |    5546400 |    5546400 |    5546400 |    5546400
  IPC                                |       0.25 |       0.24 |       0.24 |       0.24 |       0.92 |       0.92 |       0.91 |       0.90
  Time (ns)                          |    5546400 |    5546400 |    5546400 |    5546400 |    5546400 |    5546400 |    5546400 |    5546400
  Idle time (ns)                     |        301 |     345588 |     346621 |     347406 |     348066 |     348794 |     349522 |     350183
  Idle time (%)                      |       0.0% |       6.2% |       6.2% |       6.3% |       6.3% |       6.3% |       6.3% |       6.3%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     535703 |     522997 |     519060 |     510669 |     473898 |     471463 |     465331 |     445244
  num incorrect                      |       4449 |        507 |        465 |       1109 |       1152 |       1162 |       1321 |       1506
  misprediction rate                 |      0.82% |      0.10% |      0.09% |      0.22% |      0.24% |      0.25% |      0.28% |      0.34%
  mpki                               |       0.79 |       0.09 |       0.09 |       0.21 |       0.23 |       0.23 |       0.26 |       0.30
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |     440707 |     377901 |     367161 |     356432 |     344864 |     334262 |     323811 |     304716
    num misses                       |        116 |         24 |         24 |         24 |         24 |         24 |         24 |         24
    miss rate                        |      0.03% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2139762 |    1978729 |    1966726 |    1948859 |    1859924 |    1849363 |    1831156 |    1812916
    num misses                       |       8131 |       6811 |       7192 |       6711 |       6301 |       7074 |       6544 |       6584
    miss rate                        |      0.38% |      0.34% |      0.37% |      0.34% |      0.34% |      0.38% |      0.36% |      0.36%
    mpki                             |       1.45 |       1.27 |       1.35 |       1.27 |       1.24 |       1.39 |       1.30 |       1.32
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       8247 |       6835 |       7216 |       6735 |       6325 |       7098 |       6568 |       6608
    num misses                       |        558 |        276 |        246 |        280 |        209 |        273 |        202 |        276
    miss rate                        |      6.77% |      4.04% |      3.41% |      4.16% |      3.30% |      3.85% |      3.08% |      4.18%
    mpki                             |       0.10 |       0.05 |       0.05 |       0.05 |       0.04 |       0.05 |       0.04 |       0.06
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     440707 |     377901 |     367161 |     356432 |     344864 |     334262 |     323811 |     304716
    num cache misses                 |       1884 |        141 |        141 |        140 |        147 |        143 |        145 |        157
    miss rate                        |      0.43% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.05%
    mpki                             |       0.34 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2139762 |    1978729 |    1966726 |    1948859 |    1859924 |    1849363 |    1831156 |    1812916
    num cache misses                 |      83631 |      73193 |      72955 |      71254 |      69243 |      69379 |      69822 |      69373
    miss rate                        |      3.91% |      3.70% |      3.71% |      3.66% |      3.72% |      3.75% |      3.81% |      3.83%
    mpki                             |      14.89 |      13.68 |      13.71 |      13.47 |      13.58 |      13.65 |      13.83 |      13.96
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      92398 |      78389 |      78111 |      76247 |      73504 |      73861 |      74186 |      73435
    num cache misses                 |      38925 |      30086 |      30179 |      30466 |      29067 |      29123 |      29226 |      28876
    miss rate                        |     42.13% |     38.38% |     38.64% |     39.96% |     39.54% |     39.43% |     39.40% |     39.32%
    mpki                             |       6.93 |       5.62 |       5.67 |       5.76 |       5.70 |       5.73 |       5.79 |       5.81
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      49290 |      37838 |      37964 |      38067 |      35916 |      36173 |      36222 |      35618
    num cache misses                 |      10650 |       1130 |       1104 |       1123 |       1094 |       1095 |       1103 |       1120
    miss rate                        |     21.61% |      2.99% |      2.91% |      2.95% |      3.05% |      3.03% |      3.05% |      3.14%
    mpki                             |       1.90 |       0.21 |       0.21 |       0.21 |       0.21 |       0.22 |       0.22 |       0.23
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      18380 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     362.05 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     300.79 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       6268 |         38 |         29 |         26 |         20 |         20 |         26 |         27
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
