                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   11235092 |    3366578 |    3212569 |    3381685 |    2797132 |    3263274 |    3132856 |    3370240
  Cycles                             |   11670800 |   11670800 |   11670800 |   11670800 |    8753100 |    8753100 |    8753100 |    8753100
  IPC                                |       0.96 |       0.29 |       0.28 |       0.29 |       0.32 |       0.37 |       0.36 |       0.39
  Time (ns)                          |    2917700 |    2917700 |    2917700 |    2917700 |    2917700 |    2917700 |    2917700 |    2917700
  Idle time (ns)                     |       1544 |    2284717 |    2284936 |    2285068 |    2275195 |    2275279 |    2275385 |    2275559
  Idle time (%)                      |       0.1% |      78.3% |      78.3% |      78.3% |      78.0% |      78.0% |      78.0% |      78.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1385682 |    1051249 |     987165 |    1057522 |     814047 |    1015458 |     959681 |    1060675
  num incorrect                      |      78188 |       6250 |       8364 |       6250 |      12964 |       6568 |       8533 |       5137
  misprediction rate                 |      5.34% |      0.59% |      0.84% |      0.59% |      1.57% |      0.64% |      0.88% |      0.48%
  mpki                               |       6.96 |       1.86 |       2.60 |       1.85 |       4.63 |       2.01 |       2.72 |       1.52
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    1283249 |      42211 |      51526 |      41036 |      82246 |      43564 |      52354 |      37568
    num misses                       |        175 |         29 |         29 |         31 |         46 |         29 |         29 |         29
    miss rate                        |      0.01% |      0.07% |      0.06% |      0.08% |      0.06% |      0.07% |      0.06% |      0.08%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2740160 |     661529 |     646569 |     663139 |     605028 |     645419 |     632789 |     655245
    num misses                       |       1845 |        185 |        179 |        168 |        290 |        166 |        157 |        173
    miss rate                        |      0.07% |      0.03% |      0.03% |      0.03% |      0.05% |      0.03% |      0.02% |      0.03%
    mpki                             |       0.16 |       0.05 |       0.06 |       0.05 |       0.10 |       0.05 |       0.05 |       0.05
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       2020 |        214 |        208 |        199 |        336 |        195 |        186 |        202
    num misses                       |        602 |        153 |        153 |        145 |        178 |        150 |        147 |        150
    miss rate                        |     29.80% |     71.50% |     73.56% |     72.86% |     52.98% |     76.92% |     79.03% |     74.26%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.04 |       0.06 |       0.05 |       0.05 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1283249 |      42211 |      51526 |      41036 |      82246 |      43564 |      52354 |      37568
    num cache misses                 |       2700 |        178 |        178 |        185 |        361 |        176 |        177 |        176
    miss rate                        |      0.21% |      0.42% |      0.35% |      0.45% |      0.44% |      0.40% |      0.34% |      0.47%
    mpki                             |       0.24 |       0.05 |       0.06 |       0.05 |       0.13 |       0.05 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2740160 |     661529 |     646569 |     663139 |     605028 |     645419 |     632789 |     655245
    num cache misses                 |      37502 |      13248 |      13437 |      13174 |      14130 |      13259 |      13354 |      13084
    miss rate                        |      1.37% |      2.00% |      2.08% |      1.99% |      2.34% |      2.05% |      2.11% |      2.00%
    mpki                             |       3.34 |       3.94 |       4.18 |       3.90 |       5.05 |       4.06 |       4.26 |       3.88
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      42361 |      13431 |      13618 |      13363 |      14494 |      13436 |      13531 |      13263
    num cache misses                 |      29008 |      12183 |      12327 |      12144 |      12868 |      12235 |      12304 |      12137
    miss rate                        |     68.48% |     90.71% |     90.52% |     90.88% |     88.78% |     91.06% |     90.93% |     91.51%
    mpki                             |       2.58 |       3.62 |       3.84 |       3.59 |       4.60 |       3.75 |       3.93 |       3.60
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      31566 |      12196 |      12331 |      12148 |      12873 |      12239 |      12305 |      12141
    num cache misses                 |      17153 |        574 |        639 |        540 |        912 |        568 |        625 |        594
    miss rate                        |     54.34% |      4.71% |      5.18% |      4.45% |      7.08% |      4.64% |      5.08% |      4.89%
    mpki                             |       1.53 |       0.17 |       0.20 |       0.16 |       0.33 |       0.17 |       0.20 |       0.18
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      21492 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.94 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.69 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      10580 |        270 |        285 |        248 |        425 |        257 |        284 |        300
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
