metric,value
timestamp,2026-07-11T05:06:26
workload,canneal
strategy,Scatter
bench_class,S
num_threads,8
output_dir,Outputs/sizeS/8TH/canneal_S_Scatter_8TH_20260711_032936
cpu_map,"[0, 8, 1, 9, 2, 10, 3, 11]"
p_core_count,8
e_core_count,0
node0_threads,4
node1_threads,4
sim_time_ms,1499.9906
total_instructions,4835589055
avg_ipc,0.1032
avg_ipc_p,0.1822
avg_ipc_e,0.0242
total_power_W,3.4841
dynamic_W,1.4578
leakage_W,2.0
dram_W,0.0263
energy_J,5.226109
node0_reads,4523569
node1_reads,2294
node0_pct,99.9493
node0_writes,2339451
node1_writes,1346
dram_local,3559658
dram_remote,264473
dram_remote_pct,6.9159
l1d_miss_pct,1.4271
l2_miss_pct,60.6555
l3_miss_pct,26.003
l1d_mpki,5.0141
l2_mpki,3.0413
l3_mpki,0.7908
l3_miss_count,3824131
cpi_base_frac,0.6239
cpi_branch_frac,0.183
cpi_l2_frac,0.0163
cpi_l3_frac,0.0782
cpi_dram_local_frac,0.0897
cpi_dram_remote_frac,0.0089
futex_wake_count,49
futex_wait_count,199
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.0124
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,2240948948
L1-D.access-mru-0.c1,78634438
L1-D.access-mru-0.c10,78681514
L1-D.access-mru-0.c11,78697949
L1-D.access-mru-0.c2,78378018
L1-D.access-mru-0.c3,79065918
L1-D.access-mru-0.c8,78984671
L1-D.access-mru-0.c9,78933770
L1-D.access-mru-0.node0,2477027322
L1-D.access-mru-0.node1,315297904
L1-D.access-mru-0.total,2792325226
L1-D.access-mru-1.c0,48268194
L1-D.access-mru-1.c1,1217423
L1-D.access-mru-1.c10,1237134
L1-D.access-mru-1.c11,1246914
L1-D.access-mru-1.c2,1244996
L1-D.access-mru-1.c3,1198155
L1-D.access-mru-1.c8,1245744
L1-D.access-mru-1.c9,1124988
L1-D.access-mru-1.node0,51928768
L1-D.access-mru-1.node1,4854780
L1-D.access-mru-1.total,56783548
L1-D.access-mru-2.c0,11311915
L1-D.access-mru-2.c1,157136
L1-D.access-mru-2.c10,157023
L1-D.access-mru-2.c11,155967
L1-D.access-mru-2.c2,154148
L1-D.access-mru-2.c3,141852
L1-D.access-mru-2.c8,163641
L1-D.access-mru-2.c9,139191
L1-D.access-mru-2.node0,11765051
L1-D.access-mru-2.node1,615822
L1-D.access-mru-2.total,12380873
L1-D.access-mru-3.c0,4428190
L1-D.access-mru-3.c1,35719
L1-D.access-mru-3.c10,35829
L1-D.access-mru-3.c11,35068
L1-D.access-mru-3.c2,33913
L1-D.access-mru-3.c3,31442
L1-D.access-mru-3.c8,37014
L1-D.access-mru-3.c9,30515
L1-D.access-mru-3.node0,4529264
L1-D.access-mru-3.node1,138426
L1-D.access-mru-3.total,4667690
L1-D.access-mru-4.c0,2147625
L1-D.access-mru-4.c1,8757
L1-D.access-mru-4.c10,9092
L1-D.access-mru-4.c11,9031
L1-D.access-mru-4.c2,8597
L1-D.access-mru-4.c3,8343
L1-D.access-mru-4.c8,9187
L1-D.access-mru-4.c9,8027
L1-D.access-mru-4.node0,2173322
L1-D.access-mru-4.node1,35337
L1-D.access-mru-4.total,2208659
L1-D.access-mru-5.c0,1202084
L1-D.access-mru-5.c1,3912
L1-D.access-mru-5.c10,3843
L1-D.access-mru-5.c11,3901
L1-D.access-mru-5.c2,4048
L1-D.access-mru-5.c3,3851
L1-D.access-mru-5.c8,4086
L1-D.access-mru-5.c9,3878
L1-D.access-mru-5.node0,1213895
L1-D.access-mru-5.node1,15708
L1-D.access-mru-5.total,1229603
L1-D.access-mru-6.c0,724710
L1-D.access-mru-6.c1,2978
L1-D.access-mru-6.c10,3006
L1-D.access-mru-6.c11,3024
L1-D.access-mru-6.c2,3033
L1-D.access-mru-6.c3,3095
