metric,value
timestamp,2026-07-09T04:52:58
workload,dedup
strategy,HPO
bench_class,S
num_threads,9
output_dir,Outputs/sizeS/9TH/dedup_S_HPO_9TH_20260708_223450
cpu_map,"[0, 1, 2, 3, 8, 9, 10, 11, 4]"
p_core_count,8
e_core_count,1
node0_threads,5
node1_threads,4
sim_time_ms,208.7193
total_instructions,2282238384
avg_ipc,0.3881
avg_ipc_p,0.4339
avg_ipc_e,0.0222
total_power_W,11.1815
dynamic_W,6.9506
leakage_W,4.2
dram_W,0.031
energy_J,2.333803
node0_reads,404400
node1_reads,404362
node0_pct,50.0023
node0_writes,143145
node1_writes,143102
dram_local,223644
dram_remote,223552
dram_remote_pct,49.9897
l1d_miss_pct,0.8533
l2_miss_pct,10.4145
l3_miss_pct,65.7543
l1d_mpki,2.8614
l2_mpki,0.298
l3_mpki,0.1959
l3_miss_count,447196
cpi_base_frac,0.8149
cpi_branch_frac,0.1652
cpi_l2_frac,0.0
cpi_l3_frac,0.0031
cpi_dram_local_frac,0.0078
cpi_dram_remote_frac,0.009
futex_wake_count,400
futex_wait_count,359
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,41.4335
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,4518725
L1-D.access-mru-0.c1,3480293
L1-D.access-mru-0.c2,56571051
L1-D.access-mru-0.c3,228194098
L1-D.access-mru-0.c4,46221539
L1-D.access-mru-0.c5,45438639
L1-D.access-mru-0.c6,318412028
L1-D.access-mru-0.c7,327040102
L1-D.access-mru-0.c8,2401039
L1-D.access-mru-0.node0,295165206
L1-D.access-mru-0.node1,737112308
L1-D.access-mru-0.total,1032277514
L1-D.access-mru-1.c0,50138
L1-D.access-mru-1.c1,6713
L1-D.access-mru-1.c2,236617
L1-D.access-mru-1.c3,954370
L1-D.access-mru-1.c4,152316
L1-D.access-mru-1.c5,108143
L1-D.access-mru-1.c6,17292757
L1-D.access-mru-1.c7,17723455
L1-D.access-mru-1.c8,66776
L1-D.access-mru-1.node0,1314614
L1-D.access-mru-1.node1,35276671
L1-D.access-mru-1.total,36591285
L1-D.access-mru-2.c0,5461
L1-D.access-mru-2.c1,253
L1-D.access-mru-2.c2,3874
L1-D.access-mru-2.c3,14284
L1-D.access-mru-2.c4,11947
L1-D.access-mru-2.c5,8596
L1-D.access-mru-2.c6,2908356
L1-D.access-mru-2.c7,2805402
L1-D.access-mru-2.c8,11334
L1-D.access-mru-2.node0,35206
L1-D.access-mru-2.node1,5734301
L1-D.access-mru-2.total,5769507
L1-D.access-mru-3.c0,1805
L1-D.access-mru-3.c1,108
L1-D.access-mru-3.c2,970
L1-D.access-mru-3.c3,4126
L1-D.access-mru-3.c4,5025
L1-D.access-mru-3.c5,2483
L1-D.access-mru-3.c6,1121153
L1-D.access-mru-3.c7,1019258
L1-D.access-mru-3.c8,3217
L1-D.access-mru-3.node0,10226
L1-D.access-mru-3.node1,2147919
L1-D.access-mru-3.total,2158145
L1-D.access-mru-4.c0,894
L1-D.access-mru-4.c1,31
L1-D.access-mru-4.c2,236
L1-D.access-mru-4.c3,998
L1-D.access-mru-4.c4,1957
L1-D.access-mru-4.c5,529
L1-D.access-mru-4.c6,802368
L1-D.access-mru-4.c7,733799
L1-D.access-mru-4.c8,1827
L1-D.access-mru-4.node0,3986
