metric,value
timestamp,2026-07-12T04:53:02
workload,CG
strategy,MPO
bench_class,W
num_threads,12
output_dir,Outputs/sizeW/12TH/CG_W_MPO_12TH_20260712_013602
cpu_map,"[4, 3, 2, 8, 0, 10, 1, 9, 5, 13, 12, 11]"
p_core_count,8
e_core_count,4
node0_threads,6
node1_threads,6
sim_time_ms,62.4437
total_instructions,2383669191
avg_ipc,1.5268
avg_ipc_p,1.5322
avg_ipc_e,1.5213
total_power_W,23.4435
dynamic_W,19.6199
leakage_W,3.8
dram_W,0.0236
energy_J,1.463897
node0_reads,120499
node1_reads,109266
node0_pct,52.4445
node0_writes,123
node1_writes,18
dram_local,28805
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,16.1884
l2_miss_pct,10.9994
l3_miss_pct,0.2049
l1d_mpki,53.6138
l2_mpki,5.8972
l3_mpki,0.0121
l3_miss_count,28805
cpi_base_frac,0.7974
cpi_branch_frac,0.1992
cpi_l2_frac,0.0001
cpi_l3_frac,0.0031
cpi_dram_local_frac,0.0002
cpi_dram_remote_frac,0.0
futex_wake_count,2159
futex_wait_count,20
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,10.4948
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,48689415
L1-D.access-mru-0.c1,49600858
L1-D.access-mru-0.c10,48449705
L1-D.access-mru-0.c11,49536618
L1-D.access-mru-0.c12,45423799
L1-D.access-mru-0.c13,44449015
L1-D.access-mru-0.c2,48456145
L1-D.access-mru-0.c3,49299553
L1-D.access-mru-0.c4,44572594
L1-D.access-mru-0.c5,45135604
L1-D.access-mru-0.c8,48369702
L1-D.access-mru-0.c9,48901517
L1-D.access-mru-0.node0,285754169
L1-D.access-mru-0.node1,285130356
L1-D.access-mru-0.total,570884525
L1-D.access-mru-1.c0,2675919
L1-D.access-mru-1.c1,2654685
L1-D.access-mru-1.c10,2675148
L1-D.access-mru-1.c11,2617244
L1-D.access-mru-1.c12,2464151
L1-D.access-mru-1.c13,2428863
L1-D.access-mru-1.c2,2656168
L1-D.access-mru-1.c3,2771415
L1-D.access-mru-1.c4,2495879
L1-D.access-mru-1.c5,2453682
L1-D.access-mru-1.c8,2671354
L1-D.access-mru-1.c9,2625280
L1-D.access-mru-1.node0,15707748
L1-D.access-mru-1.node1,15482040
L1-D.access-mru-1.total,31189788
L1-D.access-mru-2.c0,1747995
L1-D.access-mru-2.c1,1779256
L1-D.access-mru-2.c10,1700918
L1-D.access-mru-2.c11,1800900
L1-D.access-mru-2.c12,1356490
L1-D.access-mru-2.c13,1299757
L1-D.access-mru-2.c2,1805957
L1-D.access-mru-2.c3,1795501
L1-D.access-mru-2.c4,1370182
L1-D.access-mru-2.c5,1318097
L1-D.access-mru-2.c8,1744776
L1-D.access-mru-2.c9,1756866
L1-D.access-mru-2.node0,9816988
L1-D.access-mru-2.node1,9659707
L1-D.access-mru-2.total,19476695
L1-D.access-mru-3.c0,1588889
L1-D.access-mru-3.c1,1574074
L1-D.access-mru-3.c10,1515152
L1-D.access-mru-3.c11,1511901
L1-D.access-mru-3.c12,1179456
L1-D.access-mru-3.c13,1168542
L1-D.access-mru-3.c2,1565387
L1-D.access-mru-3.c3,1574076
L1-D.access-mru-3.c4,1202023
L1-D.access-mru-3.c5,1204861
L1-D.access-mru-3.c8,1552638
L1-D.access-mru-3.c9,1518547
L1-D.access-mru-3.node0,8709310
L1-D.access-mru-3.node1,8446236
L1-D.access-mru-3.total,17155546
L1-D.access-mru-4.c0,1432702
L1-D.access-mru-4.c1,1467183
L1-D.access-mru-4.c10,1440881
L1-D.access-mru-4.c11,1424714
L1-D.access-mru-4.c12,1137353
L1-D.access-mru-4.c13,1074332
L1-D.access-mru-4.c2,1466430
L1-D.access-mru-4.c3,1481503
L1-D.access-mru-4.c4,1109257
L1-D.access-mru-4.c5,1114248
L1-D.access-mru-4.c8,1449458
L1-D.access-mru-4.c9,1436982
L1-D.access-mru-4.node0,8071323
L1-D.access-mru-4.node1,7963720
L1-D.access-mru-4.total,16035043
L1-D.access-mru-5.c0,1424031
L1-D.access-mru-5.c1,1451999
L1-D.access-mru-5.c10,1385021
L1-D.access-mru-5.c11,1422719
L1-D.access-mru-5.c12,1004096
L1-D.access-mru-5.c13,1022613
L1-D.access-mru-5.c2,1380054
L1-D.access-mru-5.c3,1437601
L1-D.access-mru-5.c4,1004902
L1-D.access-mru-5.c5,1054386
L1-D.access-mru-5.c8,1364305
L1-D.access-mru-5.c9,1408777
L1-D.access-mru-5.node0,7752973
L1-D.access-mru-5.node1,7607531
L1-D.access-mru-5.total,15360504
L1-D.access-mru-6.c0,1349978
L1-D.access-mru-6.c1,1380561
L1-D.access-mru-6.c10,1309679
L1-D.access-mru-6.c11,1345402
L1-D.access-mru-6.c12,998350
L1-D.access-mru-6.c13,981987
L1-D.access-mru-6.c2,1348178
L1-D.access-mru-6.c3,1390206
L1-D.access-mru-6.c4,1019515
L1-D.access-mru-6.c5,1020374
L1-D.access-mru-6.c8,1343762
L1-D.access-mru-6.c9,1316920
L1-D.access-mru-6.node0,7508812
L1-D.access-mru-6.node1,7296100
L1-D.access-mru-6.total,14804912
L1-D.access-mru-7.c0,1298319
L1-D.access-mru-7.c1,1239829
L1-D.access-mru-7.c10,1243437
L1-D.access-mru-7.c11,1240388
L1-D.access-mru-7.c12,955581
L1-D.access-mru-7.c13,976550
L1-D.access-mru-7.c2,1270570
L1-D.access-mru-7.c3,1310566
L1-D.access-mru-7.c4,999371
L1-D.access-mru-7.c5,960705
L1-D.access-mru-7.c8,1231512
L1-D.access-mru-7.c9,1240176
L1-D.access-mru-7.node0,7079360
L1-D.access-mru-7.node1,6887644
L1-D.access-mru-7.total,13967004
L1-D.backinval-M.c0,5
L1-D.backinval-M.c1,4
L1-D.backinval-M.c10,5
L1-D.backinval-M.c11,10
L1-D.backinval-M.c12,37
L1-D.backinval-M.c13,38
L1-D.backinval-M.c2,3
L1-D.backinval-M.c3,12
L1-D.backinval-M.c4,30
L1-D.backinval-M.c5,33
L1-D.backinval-M.c8,5
L1-D.backinval-M.c9,5
L1-D.backinval-M.node0,87
L1-D.backinval-M.node1,100
L1-D.backinval-M.total,187
L1-D.backinval-S.c12,870
L1-D.backinval-S.c13,869
L1-D.backinval-S.c4,925
L1-D.backinval-S.c5,789
L1-D.backinval-S.c8,3
L1-D.backinval-S.c9,1
L1-D.backinval-S.node0,1714
L1-D.backinval-S.node1,1743
L1-D.backinval-S.total,3457
L1-D.coherency-downgrades.c0,82132
L1-D.coherency-downgrades.c1,88393
L1-D.coherency-downgrades.c10,95799
L1-D.coherency-downgrades.c11,99491
L1-D.coherency-downgrades.c12,80048
L1-D.coherency-downgrades.c13,82867
L1-D.coherency-downgrades.c2,91085
L1-D.coherency-downgrades.c3,89813
L1-D.coherency-downgrades.c4,80438
L1-D.coherency-downgrades.c5,81559
L1-D.coherency-downgrades.c8,98772
L1-D.coherency-downgrades.c9,95233
L1-D.coherency-downgrades.node0,513420
L1-D.coherency-downgrades.node1,552210
L1-D.coherency-downgrades.total,1065630
L1-D.coherency-invalidates.c0,85927
