                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |  169198642 |  169841728 |  169804109 |  170309205 |  155411295 |  155978949 |  157332780 |  158283858 |  159455127 |  159090922 |  159717078 |  160176795
  Cycles                             |  232561200 |  232561200 |  232561200 |  232561200 |   58140300 |   58140300 |   58140300 |   58140300 |  232561200 |  232561200 |  232561200 |  232561200
  IPC                                |       0.73 |       0.73 |       0.73 |       0.73 |       2.67 |       2.68 |       2.71 |       2.72 |       0.69 |       0.68 |       0.69 |       0.69
  Time (ns)                          |   58140300 |   58140300 |   58140300 |   58140300 |   58140300 |   58140300 |   58140300 |   58140300 |   58140300 |   58140300 |   58140300 |   58140300
  Idle time (ns)                     |        259 |     468356 |     469123 |     469664 |     480060 |     478456 |     470852 |     471313 |    6730158 |    6734856 |    6722378 |    6731173
  Idle time (%)                      |       0.0% |       0.8% |       0.8% |       0.8% |       0.8% |       0.8% |       0.8% |       0.8% |      11.6% |      11.6% |      11.6% |      11.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   13557811 |   13932352 |   13919984 |   14088347 |    9122617 |    9311831 |    9763158 |   10080183 |   22395204 |   22273609 |   22482525 |   22635755
  num incorrect                      |      63363 |      55468 |      55455 |      55457 |      55442 |      55443 |      55448 |      55448 |      41272 |      41272 |      41268 |      41273
  misprediction rate                 |      0.47% |      0.40% |      0.40% |      0.39% |      0.60% |      0.59% |      0.56% |      0.55% |      0.18% |      0.18% |      0.18% |      0.18%
  mpki                               |       0.37 |       0.33 |       0.33 |       0.33 |       0.36 |       0.36 |       0.35 |       0.35 |       0.26 |       0.26 |       0.26 |       0.26
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   13849845 |   13732340 |   13732225 |   13732225 |   13732016 |   13732016 |   13732016 |   13732016 |    9916762 |    9916909 |    9916760 |    9916765
    num misses                       |        197 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   54008384 |   53868561 |   53862013 |   53946196 |   51462899 |   51557513 |   51783062 |   51941575 |   45153616 |   45093218 |   45197269 |   45273901
    num misses                       |      33979 |      32276 |      32868 |      32627 |      32447 |      31984 |      31847 |      32004 |      24343 |      24318 |      24505 |      23602
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.20 |       0.19 |       0.19 |       0.19 |       0.21 |       0.21 |       0.20 |       0.20 |       0.15 |       0.15 |       0.15 |       0.15
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      34176 |      32301 |      32893 |      32652 |      32472 |      32009 |      31872 |      32029 |      24368 |      24343 |      24530 |      23627
    num misses                       |       8566 |       7600 |       7563 |       7792 |       7737 |       7650 |       7464 |       7864 |       5020 |       5027 |       5028 |       5086
    miss rate                        |     25.06% |     23.53% |     22.99% |     23.86% |     23.83% |     23.90% |     23.42% |     24.55% |     20.60% |     20.65% |     20.50% |     21.53%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.03 |       0.03 |       0.03 |       0.03
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   13849845 |   13732340 |   13732225 |   13732225 |   13732016 |   13732016 |   13732016 |   13732016 |    9916762 |    9916909 |    9916760 |    9916765
    num cache misses                 |      13800 |       3327 |       2640 |       2291 |      10726 |      10723 |      10695 |      10847 |       2964 |       2920 |       2929 |       3085
    miss rate                        |      0.10% |      0.02% |      0.02% |      0.02% |      0.08% |      0.08% |      0.08% |      0.08% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.08 |       0.02 |       0.02 |       0.01 |       0.07 |       0.07 |       0.07 |       0.07 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   54008384 |   53868561 |   53862013 |   53946196 |   51462899 |   51557513 |   51783062 |   51941575 |   45153616 |   45093218 |   45197269 |   45273901
    num cache misses                 |    5814317 |    5794702 |    5793369 |    5793569 |    5795648 |    5793861 |    5794030 |    5793187 |    4211505 |    4209771 |    4211512 |    4209644
    miss rate                        |     10.77% |     10.76% |     10.76% |     10.74% |     11.26% |     11.24% |     11.19% |     11.15% |      9.33% |      9.34% |      9.32% |      9.30%
    mpki                             |      34.36 |      34.12 |      34.12 |      34.02 |      37.29 |      37.15 |      36.83 |      36.60 |      26.41 |      26.46 |      26.37 |      26.28
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5904360 |    5872304 |    5870024 |    5869617 |    5880698 |    5878816 |    5878760 |    5878175 |    4263811 |    4262164 |    4263752 |    4261947
    num cache misses                 |     663138 |     648349 |     648183 |     641608 |     718160 |     716754 |     713772 |     721931 |     410383 |     416897 |     412137 |     409137
    miss rate                        |     11.23% |     11.04% |     11.04% |     10.93% |     12.21% |     12.19% |     12.14% |     12.28% |      9.62% |      9.78% |      9.67% |      9.60%
    mpki                             |       3.92 |       3.82 |       3.82 |       3.77 |       4.62 |       4.60 |       4.54 |       4.56 |       2.57 |       2.62 |       2.58 |       2.55
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1013867 |     999111 |    1000803 |     992103 |    1066881 |    1068828 |    1061508 |    1065490 |     560673 |     567106 |     556481 |     544462
    num cache misses                 |     642100 |     628600 |     630881 |     624592 |     622829 |     622103 |     615750 |     615590 |     276325 |     280762 |     270332 |     258131
    miss rate                        |     63.33% |     62.92% |     63.04% |     62.96% |     58.38% |     58.20% |     58.01% |     57.78% |     49.28% |     49.51% |     48.58% |     47.41%
    mpki                             |       3.79 |       3.70 |       3.72 |       3.67 |       4.01 |       3.99 |       3.91 |       3.89 |       1.73 |       1.76 |       1.69 |       1.61
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    5403067 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    5405231 |          0 |          0 |          0
  average dram access latency (ns)   |     556.57 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |     536.81 |        inf |        inf |        inf
  average dram queueing delay        |     495.31 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |     475.56 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     11.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     11.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |     388699 |     383255 |     381545 |     383472 |     389635 |     391978 |     390500 |     388961 |     176069 |     168302 |     160844 |     153551
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      30068 |      29449 |      33065 |      28829 |      22756 |      21767 |      18000 |      15517 |      20606 |      27955 |      26791 |      25022
