metric,value
timestamp,2026-07-12T14:17:45
workload,FT
strategy,HPO
bench_class,W
num_threads,12
output_dir,Outputs/sizeW/12TH/FT_W_HPO_12TH_20260712_013602
cpu_map,"[0, 1, 2, 3, 8, 9, 10, 11, 4, 5, 6, 7]"
p_core_count,8
e_core_count,4
node0_threads,8
node1_threads,4
sim_time_ms,23.6408
total_instructions,1801127917
avg_ipc,2.9293
avg_ipc_p,3.5121
avg_ipc_e,1.7638
total_power_W,53.3409
dynamic_W,47.8925
leakage_W,4.8
dram_W,0.6484
energy_J,1.261022
node0_reads,1415681
node1_reads,224995
node0_pct,86.2864
node0_writes,992213
node1_writes,80666
dram_local,850981
dram_remote,31974
dram_remote_pct,3.6212
l1d_miss_pct,8.1876
l2_miss_pct,9.8337
l3_miss_pct,37.423
l1d_mpki,13.321
l2_mpki,1.31
l3_mpki,0.4902
l3_miss_count,882955
cpi_base_frac,0.896
cpi_branch_frac,0.0579
cpi_l2_frac,0.0007
cpi_l3_frac,0.0054
cpi_dram_local_frac,0.039
cpi_dram_remote_frac,0.001
futex_wake_count,84
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.5414
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,39187626
L1-D.access-mru-0.c1,38960807
L1-D.access-mru-0.c10,40580816
L1-D.access-mru-0.c11,40641343
L1-D.access-mru-0.c2,39334199
L1-D.access-mru-0.c3,39298916
L1-D.access-mru-0.c4,32139140
L1-D.access-mru-0.c5,31946139
L1-D.access-mru-0.c6,32127742
L1-D.access-mru-0.c7,32012416
L1-D.access-mru-0.c8,40656899
L1-D.access-mru-0.c9,40675004
L1-D.access-mru-0.node0,285006985
L1-D.access-mru-0.node1,162554062
L1-D.access-mru-0.total,447561047
L1-D.access-mru-1.c0,3578331
L1-D.access-mru-1.c1,3542173
L1-D.access-mru-1.c10,3535426
L1-D.access-mru-1.c11,3543347
L1-D.access-mru-1.c2,3542442
L1-D.access-mru-1.c3,3534550
L1-D.access-mru-1.c4,440137
L1-D.access-mru-1.c5,438973
L1-D.access-mru-1.c6,438270
L1-D.access-mru-1.c7,439487
L1-D.access-mru-1.c8,3544304
L1-D.access-mru-1.c9,3544814
L1-D.access-mru-1.node0,15954363
L1-D.access-mru-1.node1,14167891
L1-D.access-mru-1.total,30122254
L1-D.access-mru-2.c0,356829
L1-D.access-mru-2.c1,348011
L1-D.access-mru-2.c10,354488
L1-D.access-mru-2.c11,348339
L1-D.access-mru-2.c2,344876
L1-D.access-mru-2.c3,354705
L1-D.access-mru-2.c4,229271
L1-D.access-mru-2.c5,228566
L1-D.access-mru-2.c6,228397
L1-D.access-mru-2.c7,228718
L1-D.access-mru-2.c8,348360
L1-D.access-mru-2.c9,345158
L1-D.access-mru-2.node0,2319373
L1-D.access-mru-2.node1,1396345
L1-D.access-mru-2.total,3715718
L1-D.access-mru-3.c0,205567
L1-D.access-mru-3.c1,196459
L1-D.access-mru-3.c10,185729
L1-D.access-mru-3.c11,196801
L1-D.access-mru-3.c2,204517
L1-D.access-mru-3.c3,185697
L1-D.access-mru-3.c4,205408
L1-D.access-mru-3.c5,205730
L1-D.access-mru-3.c6,204762
L1-D.access-mru-3.c7,205351
L1-D.access-mru-3.c8,196751
L1-D.access-mru-3.c9,204478
L1-D.access-mru-3.node0,1613491
L1-D.access-mru-3.node1,783759
L1-D.access-mru-3.total,2397250
L1-D.access-mru-4.c0,375935
L1-D.access-mru-4.c1,380455
L1-D.access-mru-4.c10,396366
L1-D.access-mru-4.c11,380546
L1-D.access-mru-4.c2,374836
L1-D.access-mru-4.c3,396252
L1-D.access-mru-4.c4,148789
L1-D.access-mru-4.c5,148993
L1-D.access-mru-4.c6,148573
L1-D.access-mru-4.c7,149089
L1-D.access-mru-4.c8,380660
L1-D.access-mru-4.c9,374909
L1-D.access-mru-4.node0,2122922
L1-D.access-mru-4.node1,1532481
L1-D.access-mru-4.total,3655403
L1-D.access-mru-5.c0,435962
L1-D.access-mru-5.c1,414959
L1-D.access-mru-5.c10,382244
L1-D.access-mru-5.c11,416016
L1-D.access-mru-5.c2,432097
L1-D.access-mru-5.c3,382466
L1-D.access-mru-5.c4,125345
L1-D.access-mru-5.c5,125661
L1-D.access-mru-5.c6,125630
L1-D.access-mru-5.c7,125546
L1-D.access-mru-5.c8,415693
L1-D.access-mru-5.c9,431841
L1-D.access-mru-5.node0,2167666
L1-D.access-mru-5.node1,1645794
L1-D.access-mru-5.total,3813460
L1-D.access-mru-6.c0,28552
L1-D.access-mru-6.c1,44142
L1-D.access-mru-6.c10,67858
L1-D.access-mru-6.c11,44192
L1-D.access-mru-6.c2,32877
L1-D.access-mru-6.c3,67759
L1-D.access-mru-6.c4,167556
L1-D.access-mru-6.c5,168177
L1-D.access-mru-6.c6,168044
L1-D.access-mru-6.c7,167671
L1-D.access-mru-6.c8,44174
