metric,value
timestamp,2026-07-02T10:52:36
workload,FT
strategy,MPO
bench_class,W
num_threads,12
output_dir,Outputs/sizeW/12TH/FT_W_MPO_12TH_20260702_031742
cpu_map,"[0, 8, 1, 9, 2, 10, 3, 11, 4, 12, 5, 13]"
p_core_count,8
e_core_count,4
node0_threads,6
node1_threads,6
sim_time_ms,56.674
total_instructions,1950169935
avg_ipc,1.4086
avg_ipc_p,0.7294
avg_ipc_e,2.7671
total_power_W,21.674
dynamic_W,15.8216
leakage_W,4.8
dram_W,1.0523
energy_J,1.22835
node0_reads,2892376
node1_reads,2890773
node0_pct,50.0139
dram_local,1844175
dram_remote,1843958
dram_remote_pct,49.9971
l1d_miss_pct,9.4285
l2_miss_pct,13.4494
l3_miss_pct,87.0307
l1d_mpki,16.157
l2_mpki,2.173
l3_mpki,1.8912
l3_miss_count,3688133
cpi_base_frac,0.8779
cpi_branch_frac,0.0209
cpi_l2_frac,0.0
cpi_l3_frac,0.0013
cpi_dram_local_frac,0.0509
cpi_dram_remote_frac,0.049
futex_wake_count,101
futex_wait_count,72
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.6095
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,41661518
L1-D.access-mru-0.c1,42957660
L1-D.access-mru-0.c10,36769650
L1-D.access-mru-0.c11,36878291
L1-D.access-mru-0.c2,42815718
L1-D.access-mru-0.c3,42621239
L1-D.access-mru-0.c4,40889580
L1-D.access-mru-0.c5,40943972
L1-D.access-mru-0.c6,43025077
L1-D.access-mru-0.c7,43172024
L1-D.access-mru-0.c8,37412076
L1-D.access-mru-0.c9,37478855
L1-D.access-mru-0.node0,242573619
L1-D.access-mru-0.node1,244052041
L1-D.access-mru-0.total,486625660
L1-D.access-mru-1.c0,4647915
L1-D.access-mru-1.c1,3994856
L1-D.access-mru-1.c10,2689293
L1-D.access-mru-1.c11,2688268
L1-D.access-mru-1.c2,3995353
L1-D.access-mru-1.c3,3994839
L1-D.access-mru-1.c4,3996058
L1-D.access-mru-1.c5,3994192
L1-D.access-mru-1.c6,3995429
L1-D.access-mru-1.c7,3995085
L1-D.access-mru-1.c8,2688297
L1-D.access-mru-1.c9,2689386
L1-D.access-mru-1.node0,22012345
L1-D.access-mru-1.node1,21356626
L1-D.access-mru-1.total,43368971
L1-D.access-mru-2.c0,425310
L1-D.access-mru-2.c1,148938
L1-D.access-mru-2.c10,101856
L1-D.access-mru-2.c11,101972
L1-D.access-mru-2.c2,149026
L1-D.access-mru-2.c3,148841
L1-D.access-mru-2.c4,149021
L1-D.access-mru-2.c5,150144
L1-D.access-mru-2.c6,148332
L1-D.access-mru-2.c7,149376
L1-D.access-mru-2.c8,101974
L1-D.access-mru-2.c9,101793
L1-D.access-mru-2.node0,1075519
L1-D.access-mru-2.node1,801064
L1-D.access-mru-2.total,1876583
L1-D.access-mru-3.c0,86422
L1-D.access-mru-3.c1,52211
L1-D.access-mru-3.c10,36022
L1-D.access-mru-3.c11,36120
L1-D.access-mru-3.c2,52581
L1-D.access-mru-3.c3,52483
L1-D.access-mru-3.c4,52379
L1-D.access-mru-3.c5,52251
L1-D.access-mru-3.c6,52678
L1-D.access-mru-3.c7,52407
L1-D.access-mru-3.c8,36542
L1-D.access-mru-3.c9,36458
L1-D.access-mru-3.node0,316624
L1-D.access-mru-3.node1,281930
L1-D.access-mru-3.total,598554
L1-D.access-mru-4.c0,568958
L1-D.access-mru-4.c1,565894
L1-D.access-mru-4.c10,378538
L1-D.access-mru-4.c11,378633
L1-D.access-mru-4.c2,565501
L1-D.access-mru-4.c3,565144
L1-D.access-mru-4.c4,565774
L1-D.access-mru-4.c5,565168
L1-D.access-mru-4.c6,565364
L1-D.access-mru-4.c7,565572
L1-D.access-mru-4.c8,378806
L1-D.access-mru-4.c9,378411
L1-D.access-mru-4.node0,3022941
L1-D.access-mru-4.node1,3018822
L1-D.access-mru-4.total,6041763
L1-D.access-mru-5.c0,47307
L1-D.access-mru-5.c1,39711
L1-D.access-mru-5.c10,27783
L1-D.access-mru-5.c11,27959
L1-D.access-mru-5.c2,39610
L1-D.access-mru-5.c3,39809
L1-D.access-mru-5.c4,39553
L1-D.access-mru-5.c5,39638
L1-D.access-mru-5.c6,39656
L1-D.access-mru-5.c7,39666
L1-D.access-mru-5.c8,27785
L1-D.access-mru-5.c9,27868
L1-D.access-mru-5.node0,221694
L1-D.access-mru-5.node1,214651
L1-D.access-mru-5.total,436345
L1-D.access-mru-6.c0,23701
L1-D.access-mru-6.c1,21115
L1-D.access-mru-6.c10,17913
L1-D.access-mru-6.c11,18019
L1-D.access-mru-6.c2,21040
L1-D.access-mru-6.c3,21217
L1-D.access-mru-6.c4,20955
L1-D.access-mru-6.c5,21286
L1-D.access-mru-6.c6,20955
L1-D.access-mru-6.c7,21137
L1-D.access-mru-6.c8,17929
L1-D.access-mru-6.c9,18092
L1-D.access-mru-6.node0,122493
L1-D.access-mru-6.node1,120866
L1-D.access-mru-6.total,243359
L1-D.access-mru-7.c0,75059
L1-D.access-mru-7.c1,74085
L1-D.access-mru-7.c10,66840
L1-D.access-mru-7.c11,66484
L1-D.access-mru-7.c2,74663
L1-D.access-mru-7.c3,74412
L1-D.access-mru-7.c4,74916
L1-D.access-mru-7.c5,75066
L1-D.access-mru-7.c6,74603
L1-D.access-mru-7.c7,75423
L1-D.access-mru-7.c8,67165
L1-D.access-mru-7.c9,66276
L1-D.access-mru-7.node0,433246
L1-D.access-mru-7.node1,431746
L1-D.access-mru-7.total,864992
L1-D.backinval-M.c0,7839
L1-D.backinval-M.c1,4673
L1-D.backinval-M.c10,3182
L1-D.backinval-M.c11,5300
L1-D.backinval-M.c2,5217
L1-D.backinval-M.c3,6906
L1-D.backinval-M.c4,5393
L1-D.backinval-M.c5,6664
L1-D.backinval-M.c6,1936
L1-D.backinval-M.c7,5537
L1-D.backinval-M.c8,4413
L1-D.backinval-M.c9,2782
L1-D.backinval-M.node0,27980
L1-D.backinval-M.node1,31862
L1-D.backinval-M.total,59842
L1-D.backinval-S.c0,50
L1-D.backinval-S.c1,51
L1-D.backinval-S.c10,161
L1-D.backinval-S.c11,160
L1-D.backinval-S.c2,53
L1-D.backinval-S.c3,37
L1-D.backinval-S.c4,194
L1-D.backinval-S.c5,171
L1-D.backinval-S.c6,76
