                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  492859985 |   58175060 |   83343210 |  108506819 |  234330917 |  259492991 |  284662066 |  308026864 |  133675902 |  158841413 |  184006258 |  209172999 |          0 |          0 |          0 |          0
  Cycles                             |  750211730 |  750211730 |  750211730 |  750211730 |  569126140 |  569126140 |  569126140 |  569126140 |  750211730 |  750211730 |  750211730 |  750211730 |  569126140 |  569126140 |  569126140 |  569126140
  IPC                                |       0.66 |       0.08 |       0.11 |       0.14 |       0.41 |       0.46 |       0.50 |       0.54 |       0.18 |       0.21 |       0.25 |       0.28 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  258693700 |  258693700 |  258693700 |  258693700 |  258693700 |  258693700 |  258693700 |  258693700 |  258693700 |  258693700 |  258693700 |  258693700 |  258693700 |  258693700 |  258693700 |  258693700
  Idle time (ns)                     |   74071984 |  239223809 |  232763645 |  227022059 |  191430708 |  184081387 |  177498394 |  172043825 |  220582420 |  213441003 |  206960780 |  201283462 |  258693700 |  258693700 |  258693700 |  258693700
  Idle time (%)                      |      28.6% |      92.5% |      90.0% |      87.8% |      74.0% |      71.2% |      68.6% |      66.5% |      85.3% |      82.5% |      80.0% |      77.8% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   76986273 |    9019400 |   11813114 |   14613757 |   28584641 |   31383230 |   34176665 |   36373563 |   17405451 |   20199319 |   23004845 |   25791931 |          0 |          0 |          0 |          0
  num incorrect                      |     567320 |     587161 |     589552 |     585382 |     592151 |     589443 |     592180 |     591369 |     589816 |     591641 |     583988 |     591126 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.73% |      6.11% |      4.75% |      3.85% |      2.03% |      1.84% |      1.70% |      1.60% |      3.28% |      2.85% |      2.48% |      2.24% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       1.15 |      10.09 |       7.07 |       5.39 |       2.53 |       2.27 |       2.08 |       1.92 |       4.41 |       3.72 |       3.17 |       2.83 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      42856 |    5592855 |   11185249 |   16777516 |   44739546 |   50331940 |   55924344 |   61516759 |   22369937 |   27962334 |   33554617 |   39147132 |          0 |          0 |          0 |          0
    num misses                       |        112 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |          0 |          0 |          0 |          0
    miss rate                        |      0.26% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   43795005 |    6202621 |    6202565 |    6202304 |    6200633 |    6200465 |    6200450 |    5900427 |    6202283 |    6202020 |    6202533 |    6201859 |          0 |          0 |          0 |          0
    num misses                       |   36021914 |    2768601 |    2779617 |    2774876 |    2783410 |    2785026 |    2785807 |    2779541 |    2784291 |    2779614 |    2769091 |    2779438 |          0 |          0 |          0 |          0
    miss rate                        |     82.25% |     44.64% |     44.81% |     44.74% |     44.89% |     44.92% |     44.93% |     47.11% |     44.89% |     44.82% |     44.64% |     44.82% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |      73.09 |      47.59 |      33.35 |      25.57 |      11.88 |      10.73 |       9.79 |       9.02 |      20.83 |      17.50 |      15.05 |      13.29 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   36022026 |    2768617 |    2779633 |    2774892 |    2783426 |    2785042 |    2785823 |    2779557 |    2784307 |    2779630 |    2769107 |    2779454 |          0 |          0 |          0 |          0
