                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   56580189 |   56197844 |   56174052 |   56017759 |   49465386 |   48950099 |   48887090 |   48892299 |          0 |          0 |          0 |          0 |   49417156 |   49386464 |   49315593 |   49057577
  Cycles                             |   67967010 |   67967010 |   67967010 |   67967010 |   51561180 |   51561180 |   51561180 |   51561180 |   67967010 |   67967010 |   67967010 |   67967010 |   51561180 |   51561180 |   51561180 |   51561180
  IPC                                |       0.83 |       0.83 |       0.83 |       0.82 |       0.96 |       0.95 |       0.95 |       0.95 |       0.00 |       0.00 |       0.00 |       0.00 |       0.96 |       0.96 |       0.96 |       0.95
  Time (ns)                          |   23436900 |   23436900 |   23436900 |   23436900 |   23436900 |   23436900 |   23436900 |   23436900 |   23436900 |   23436900 |   23436900 |   23436900 |   23436900 |   23436900 |   23436900 |   23436900
  Idle time (ns)                     |     372622 |     375284 |     377922 |     380629 |        333 |     352496 |     356629 |     359303 |   23436900 |   23436900 |   23436900 |   23436900 |     362021 |     364683 |     367321 |     369984
  Idle time (%)                      |       1.6% |       1.6% |       1.6% |       1.6% |       0.0% |       1.5% |       1.5% |       1.5% |     100.0% |     100.0% |     100.0% |     100.0% |       1.5% |       1.6% |       1.6% |       1.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    6055733 |    5987106 |    5982090 |    5946134 |    3990959 |    3940150 |    3922736 |    3921286 |          0 |          0 |          0 |          0 |    4045514 |    4041609 |    4020674 |    3948463
  num incorrect                      |       6062 |       6115 |       6195 |       6559 |      13553 |       3391 |       3554 |       3656 |          0 |          0 |          0 |          0 |       3857 |       4029 |       4281 |       5458
  misprediction rate                 |      0.10% |      0.10% |      0.10% |      0.11% |      0.34% |      0.09% |      0.09% |      0.09% |      0.00% |      0.00% |      0.00% |      0.00% |      0.10% |      0.10% |      0.11% |      0.14%
  mpki                               |       0.11 |       0.11 |       0.11 |       0.12 |       0.27 |       0.07 |       0.07 |       0.07 |       0.00 |       0.00 |       0.00 |       0.00 |       0.08 |       0.08 |       0.09 |       0.11
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    7036181 |    6937369 |    6968616 |    6980811 |    6797247 |    6746496 |    6767280 |    6800627 |          0 |          0 |          0 |          0 |    6882274 |    6894171 |    6914882 |    6927830
    num misses                       |         23 |         21 |         21 |         23 |        133 |         21 |         23 |         23 |          0 |          0 |          0 |          0 |         23 |         21 |         21 |         23
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   19434326 |   19200798 |   19216555 |   19181936 |   18398291 |   18086140 |   18083629 |   18109950 |          0 |          0 |          0 |          0 |   18287061 |   18273291 |   18264703 |   18219341
    num misses                       |     855629 |     857135 |     857129 |     857275 |     862981 |     855903 |     855924 |     857855 |          0 |          0 |          0 |          0 |     856334 |     857932 |     856303 |     856501
    miss rate                        |      4.40% |      4.46% |      4.46% |      4.47% |      4.69% |      4.73% |      4.73% |      4.74% |      0.00% |      0.00% |      0.00% |      0.00% |      4.68% |      4.70% |      4.69% |      4.70%
    mpki                             |      15.12 |      15.25 |      15.26 |      15.30 |      17.45 |      17.49 |      17.51 |      17.55 |       0.00 |       0.00 |       0.00 |       0.00 |      17.33 |      17.37 |      17.36 |      17.46
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     855652 |     857156 |     857150 |     857298 |     863114 |     855924 |     855947 |     857878 |          0 |          0 |          0 |          0 |     856357 |     857953 |     856324 |     856524
    num misses                       |     351009 |     352046 |     348627 |     347225 |     351912 |     347452 |     349603 |     349791 |          0 |          0 |          0 |          0 |     350859 |     353191 |     350628 |     349291
    miss rate                        |     41.02% |     41.07% |     40.67% |     40.50% |     40.77% |     40.59% |     40.84% |     40.77% |      0.00% |      0.00% |      0.00% |      0.00% |     40.97% |     41.17% |     40.95% |     40.78%
    mpki                             |       6.20 |       6.26 |       6.21 |       6.20 |       7.11 |       7.10 |       7.15 |       7.15 |       0.00 |       0.00 |       0.00 |       0.00 |       7.10 |       7.15 |       7.11 |       7.12
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    7036181 |    6937369 |    6968616 |    6980811 |    6797247 |    6746496 |    6767280 |    6800627 |          0 |          0 |          0 |          0 |    6882274 |    6894171 |    6914882 |    6927830
    num cache misses                 |        348 |        332 |        325 |        382 |       4235 |        861 |        878 |        890 |          0 |          0 |          0 |          0 |        848 |        874 |        890 |        835
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.01% |      0.06% |      0.01% |      0.01% |      0.01% |       inf% |       inf% |       inf% |       inf% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.09 |       0.02 |       0.02 |       0.02 |        inf |        inf |        inf |        inf |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   19434326 |   19200798 |   19216555 |   19181936 |   18398291 |   18086140 |   18083629 |   18109950 |          0 |          0 |          0 |          0 |   18287061 |   18273291 |   18264703 |   18219341
    num cache misses                 |     518438 |     514759 |     522430 |     514396 |     682493 |     677552 |     676893 |     672806 |          0 |          0 |          0 |          0 |     702094 |     695881 |     698335 |     699047
    miss rate                        |      2.67% |      2.68% |      2.72% |      2.68% |      3.71% |      3.75% |      3.74% |      3.72% |       inf% |       inf% |       inf% |       inf% |      3.84% |      3.81% |      3.82% |      3.84%
    mpki                             |       9.16 |       9.16 |       9.30 |       9.18 |      13.80 |      13.84 |      13.85 |      13.76 |        inf |        inf |        inf |        inf |      14.21 |      14.09 |      14.16 |      14.25
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     599788 |     582189 |     593921 |     584736 |     756438 |     748959 |     747401 |     744515 |          0 |          0 |          0 |          0 |     801660 |     795520 |     800358 |     801463
    num cache misses                 |     207716 |     206854 |     209060 |     208632 |     352137 |     339042 |     338148 |     335118 |          0 |          0 |          0 |          0 |     361415 |     358710 |     360044 |     358274
    miss rate                        |     34.63% |     35.53% |     35.20% |     35.68% |     46.55% |     45.27% |     45.24% |     45.01% |       inf% |       inf% |       inf% |       inf% |     45.08% |     45.09% |     44.99% |     44.70%
    mpki                             |       3.67 |       3.68 |       3.72 |       3.72 |       7.12 |       6.93 |       6.92 |       6.85 |        inf |        inf |        inf |        inf |       7.31 |       7.26 |       7.30 |       7.30
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     321292 |     306036 |     312372 |     310484 |     421317 |     408591 |     406716 |     404868 |          0 |          0 |          0 |          0 |     459895 |     457066 |     460741 |     459397
    num cache misses                 |      84144 |      73284 |      77523 |      75591 |      83102 |      76603 |      76984 |      85905 |          0 |          0 |          0 |          0 |     153990 |     147187 |     149526 |     157866
    miss rate                        |     26.19% |     23.95% |     24.82% |     24.35% |     19.72% |     18.75% |     18.93% |     21.22% |       inf% |       inf% |       inf% |       inf% |     33.48% |     32.20% |     32.45% |     34.36%
    mpki                             |       1.49 |       1.30 |       1.38 |       1.35 |       1.68 |       1.56 |       1.57 |       1.76 |        inf |        inf |        inf |        inf |       3.12 |       2.98 |       3.03 |       3.22
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     101589 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      45388 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |    9832.86 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |    4334.03 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |    9771.61 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |    4272.78 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        102 |        103 |        118 |         93 |       6631 |         79 |         78 |         81 |          0 |          0 |          0 |          0 |         32 |         18 |         19 |         27
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      67389 |      59569 |      64241 |      62178 |      60437 |      63967 |      64059 |      67893 |          0 |          0 |          0 |          0 |     128911 |     127364 |     129153 |     133025
