                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   60916362 |   60360615 |   60455686 |   60151674 |   50827074 |   49151109 |   50497357 |   49177921 |   72426956 |   72491788 |   72260978 |   72371767
  Cycles                             |  223997600 |  223997600 |  223997600 |  223997600 |   55999400 |   55999400 |   55999400 |   55999400 |  223997600 |  223997600 |  223997600 |  223997600
  IPC                                |       0.27 |       0.27 |       0.27 |       0.27 |       0.91 |       0.88 |       0.90 |       0.88 |       0.32 |       0.32 |       0.32 |       0.32
  Time (ns)                          |   55999400 |   55999400 |   55999400 |   55999400 |   55999400 |   55999400 |   55999400 |   55999400 |   55999400 |   55999400 |   55999400 |   55999400
  Idle time (ns)                     |        243 |     348350 |     349712 |     350783 |     351767 |     352684 |     353601 |     354517 |     355432 |     356350 |     357267 |     358204
  Idle time (%)                      |       0.0% |       0.6% |       0.6% |       0.6% |       0.6% |       0.6% |       0.6% |       0.6% |       0.6% |       0.6% |       0.6% |       0.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    7797864 |    7717322 |    7731299 |    7652284 |    4729058 |    4183949 |    4658059 |    4214526 |   11583206 |   11624380 |   11557953 |   11598564
  num incorrect                      |       5053 |        688 |        565 |        635 |        577 |        614 |        640 |        563 |       1688 |       1754 |       1726 |       2059
  misprediction rate                 |      0.06% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.02%
  mpki                               |       0.08 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    6922970 |    6845820 |    6888224 |    6871147 |    6576509 |    6566706 |    6553197 |    6579156 |    7228474 |    7237166 |    7249974 |    7251043
    num misses                       |        116 |         22 |         22 |         24 |         24 |         22 |         24 |         24 |         22 |         24 |         22 |         24
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   20407036 |   20129378 |   20187912 |   20088985 |   18067244 |   17752918 |   17930047 |   17727579 |   22528776 |   22516543 |   22465970 |   22464876
    num misses                       |     861806 |     855921 |     855792 |     857392 |     856957 |     856794 |     856123 |     856253 |     856224 |     857723 |     856751 |     856108
    miss rate                        |      4.22% |      4.25% |      4.24% |      4.27% |      4.74% |      4.83% |      4.77% |      4.83% |      3.80% |      3.81% |      3.81% |      3.81%
    mpki                             |      14.15 |      14.18 |      14.16 |      14.25 |      16.86 |      17.43 |      16.95 |      17.41 |      11.82 |      11.83 |      11.86 |      11.83
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     861922 |     855943 |     855814 |     857416 |     856981 |     856816 |     856147 |     856277 |     856246 |     857747 |     856773 |     856132
    num misses                       |     351929 |     346919 |     349224 |     349672 |     350753 |     352807 |     349955 |     348927 |     351823 |     352787 |     348704 |     347221
