                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   60433745 |   60229366 |   60186453 |   60151329 |   50555768 |   49012193 |   50214301 |   49382292 |   72203008 |   72084462 |   72094648 |   72143082
  Cycles                             |  223732400 |  223732400 |  223732400 |  223732400 |   55933100 |   55933100 |   55933100 |   55933100 |  223732400 |  223732400 |  223732400 |  223732400
  IPC                                |       0.27 |       0.27 |       0.27 |       0.27 |       0.90 |       0.88 |       0.90 |       0.88 |       0.32 |       0.32 |       0.32 |       0.32
  Time (ns)                          |   55933100 |   55933100 |   55933100 |   55933100 |   55933100 |   55933100 |   55933100 |   55933100 |   55933100 |   55933100 |   55933100 |   55933100
  Idle time (ns)                     |        237 |     348528 |     349890 |     350950 |     351937 |     352922 |     353836 |     354757 |     355670 |     356587 |     357502 |     358417
  Idle time (%)                      |       0.0% |       0.6% |       0.6% |       0.6% |       0.6% |       0.6% |       0.6% |       0.6% |       0.6% |       0.6% |       0.6% |       0.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    7635866 |    7652170 |    7655087 |    7656575 |    4646279 |    4140061 |    4549929 |    4287970 |   11519702 |   11497163 |   11487193 |   11521440
  num incorrect                      |       5211 |        688 |        399 |        465 |        647 |        608 |        583 |        451 |       1751 |       1726 |       1841 |       1953
  misprediction rate                 |      0.07% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.09 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    6923113 |    6883216 |    6866061 |    6871039 |    6560363 |    6568973 |    6573356 |    6560489 |    7226357 |    7223198 |    7256077 |    7258043
    num misses                       |        118 |         24 |         22 |         24 |         22 |         24 |         24 |         24 |         22 |         24 |         22 |         24
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   20326699 |   20164866 |   20109177 |   20087133 |   17998798 |   17731135 |   17914864 |   17736033 |   22483299 |   22426352 |   22453823 |   22435439
    num misses                       |     859199 |     855972 |     855740 |     857484 |     856718 |     856675 |     855886 |     855853 |     856151 |     857089 |     857265 |     855960
    miss rate                        |      4.23% |      4.24% |      4.26% |      4.27% |      4.76% |      4.83% |      4.78% |      4.83% |      3.81% |      3.82% |      3.82% |      3.82%
    mpki                             |      14.22 |      14.21 |      14.22 |      14.26 |      16.95 |      17.48 |      17.04 |      17.33 |      11.86 |      11.89 |      11.89 |      11.86
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     859317 |     855996 |     855762 |     857508 |     856740 |     856699 |     855910 |     855877 |     856173 |     857113 |     857287 |     855984
    num misses                       |     350898 |     347716 |     349148 |     349376 |     350799 |     352326 |     349947 |     348652 |     351601 |     352065 |     349014 |     347598
    miss rate                        |     40.83% |     40.62% |     40.80% |     40.74% |     40.95% |     41.13% |     40.89% |     40.74% |     41.07% |     41.08% |     40.71% |     40.61%
    mpki                             |       5.81 |       5.77 |       5.80 |       5.81 |       6.94 |       7.19 |       6.97 |       7.06 |       4.87 |       4.88 |       4.84 |       4.82
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    6923113 |    6883216 |    6866061 |    6871039 |    6560363 |    6568973 |    6573356 |    6560489 |    7226357 |    7223198 |    7256077 |    7258043
    num cache misses                 |       4667 |        908 |        923 |        927 |       1236 |       1247 |       1258 |       1277 |        985 |        989 |        964 |       1073
    miss rate                        |      0.07% |      0.01% |      0.01% |      0.01% |      0.02% |      0.02% |      0.02% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.08 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.03 |       0.03 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   20326699 |   20164866 |   20109177 |   20087133 |   17998798 |   17731135 |   17914864 |   17736033 |   22483299 |   22426352 |   22453823 |   22435439
    num cache misses                 |     990770 |     979243 |     979509 |     979648 |     956987 |     956299 |     953605 |     953132 |     999786 |    1001435 |    1001486 |     994482
    miss rate                        |      4.87% |      4.86% |      4.87% |      4.88% |      5.32% |      5.39% |      5.32% |      5.37% |      4.45% |      4.47% |      4.46% |      4.43%
    mpki                             |      16.39 |      16.26 |      16.27 |      16.29 |      18.93 |      19.51 |      18.99 |      19.30 |      13.85 |      13.89 |      13.89 |      13.78
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1064739 |    1047750 |    1046256 |    1047269 |    1013177 |    1013342 |    1009217 |    1008223 |    1088185 |    1086891 |    1090452 |    1081708
    num cache misses                 |     357260 |     343038 |     341970 |     340715 |     345767 |     345098 |     343742 |     342388 |     359605 |     356876 |     360086 |     356810
    miss rate                        |     33.55% |     32.74% |     32.69% |     32.53% |     34.13% |     34.06% |     34.06% |     33.96% |     33.05% |     32.83% |     33.02% |     32.99%
    mpki                             |       5.91 |       5.70 |       5.68 |       5.66 |       6.84 |       7.04 |       6.85 |       6.93 |       4.98 |       4.95 |       4.99 |       4.95
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     426955 |     410578 |     407745 |     407414 |     400511 |     400721 |     397943 |     396017 |     447113 |     441013 |     447790 |     442651
    num cache misses                 |     263592 |     247917 |     245444 |     245614 |     219914 |     226669 |     219692 |     226666 |     160147 |     152176 |     154961 |     161197
    miss rate                        |     61.74% |     60.38% |     60.20% |     60.29% |     54.91% |     56.57% |     55.21% |     57.24% |     35.82% |     34.51% |     34.61% |     36.42%
    mpki                             |       4.36 |       4.12 |       4.08 |       4.08 |       4.35 |       4.62 |       4.38 |       4.59 |       2.22 |       2.11 |       2.15 |       2.23
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    1084388 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    1080857 |          0 |          0 |          0
  average dram access latency (ns)   |     545.32 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |     536.61 |        inf |        inf |        inf
  average dram queueing delay        |     484.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |     475.36 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |     122198 |     116681 |     115779 |     114938 |     117341 |     119710 |     116428 |     118259 |      30302 |      30858 |      29447 |      30899
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      62150 |      61030 |      60277 |      60273 |      53491 |      53778 |      53538 |      53229 |      98802 |      95405 |      99220 |      98190
