metric,value
timestamp,2026-07-13T14:10:41
workload,LU
strategy,AKARIN
bench_class,W
num_threads,12
output_dir,Outputs/sizeW/12TH/LU_W_AKARIN_12TH_20260713_003303
cpu_map,"[8, 1, 2, 11, 15, 14, 13, 12, 3, 9, 10, 0]"
p_core_count,8
e_core_count,4
node0_threads,4
node1_threads,8
sim_time_ms,788.4094
total_instructions,40476545223
avg_ipc,2.072
avg_ipc_p,1.1031
avg_ipc_e,4.0098
total_power_W,21.651
dynamic_W,17.6501
leakage_W,4.0
dram_W,0.0009
energy_J,17.069851
node0_reads,34208
node1_reads,80082
node0_pct,29.9309
node0_writes,262
node1_writes,807
dram_local,10619
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,3.1631
l2_miss_pct,12.0715
l3_miss_pct,0.0254
l1d_mpki,8.56
l2_mpki,1.0333
l3_mpki,0.0003
l3_miss_count,10619
cpi_base_frac,0.9642
cpi_branch_frac,0.0004
cpi_l2_frac,0.0006
cpi_l3_frac,0.0348
cpi_dram_local_frac,0.0
cpi_dram_remote_frac,0.0
futex_wake_count,2756
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.9226
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,958697957
L1-D.access-mru-0.c1,1292892633
L1-D.access-mru-0.c10,960754542
L1-D.access-mru-0.c11,1265386664
L1-D.access-mru-0.c12,913331625
L1-D.access-mru-0.c13,1146528613
L1-D.access-mru-0.c14,1158530243
L1-D.access-mru-0.c15,1158096343
L1-D.access-mru-0.c2,1273905184
L1-D.access-mru-0.c3,971075895
L1-D.access-mru-0.c8,1316525031
L1-D.access-mru-0.c9,961084100
L1-D.access-mru-0.node0,4496571669
L1-D.access-mru-0.node1,8880237161
L1-D.access-mru-0.total,13376808830
L1-D.access-mru-1.c0,29069060
L1-D.access-mru-1.c1,44593088
L1-D.access-mru-1.c10,30525511
L1-D.access-mru-1.c11,44404018
L1-D.access-mru-1.c12,39972685
L1-D.access-mru-1.c13,58713219
L1-D.access-mru-1.c14,59288736
L1-D.access-mru-1.c15,59767749
L1-D.access-mru-1.c2,51415879
L1-D.access-mru-1.c3,30154853
L1-D.access-mru-1.c8,44058516
L1-D.access-mru-1.c9,33975001
L1-D.access-mru-1.node0,155232880
L1-D.access-mru-1.node1,370705435
L1-D.access-mru-1.total,525938315
L1-D.access-mru-2.c0,5780524
L1-D.access-mru-2.c1,8321896
L1-D.access-mru-2.c10,5897883
L1-D.access-mru-2.c11,8293353
L1-D.access-mru-2.c12,7064476
L1-D.access-mru-2.c13,10580672
L1-D.access-mru-2.c14,10574485
L1-D.access-mru-2.c15,10521894
L1-D.access-mru-2.c2,9221112
L1-D.access-mru-2.c3,5795453
L1-D.access-mru-2.c8,8499676
L1-D.access-mru-2.c9,6467157
L1-D.access-mru-2.node0,29118985
L1-D.access-mru-2.node1,67899596
L1-D.access-mru-2.total,97018581
L1-D.access-mru-3.c0,1960511
L1-D.access-mru-3.c1,2474287
L1-D.access-mru-3.c10,2051891
L1-D.access-mru-3.c11,2471576
L1-D.access-mru-3.c12,3181246
L1-D.access-mru-3.c13,4518853
L1-D.access-mru-3.c14,4409827
L1-D.access-mru-3.c15,4459257
L1-D.access-mru-3.c2,2509840
L1-D.access-mru-3.c3,1803973
L1-D.access-mru-3.c8,2590673
L1-D.access-mru-3.c9,1841801
L1-D.access-mru-3.node0,8748611
L1-D.access-mru-3.node1,25525124
L1-D.access-mru-3.total,34273735
L1-D.access-mru-4.c0,999412
L1-D.access-mru-4.c1,1106977
L1-D.access-mru-4.c10,1186842
L1-D.access-mru-4.c11,1014554
L1-D.access-mru-4.c12,1574492
L1-D.access-mru-4.c13,1905455
L1-D.access-mru-4.c14,1902604
L1-D.access-mru-4.c15,1906641
L1-D.access-mru-4.c2,1176561
L1-D.access-mru-4.c3,1073349
L1-D.access-mru-4.c8,1191683
L1-D.access-mru-4.c9,1043786
L1-D.access-mru-4.node0,4356299
L1-D.access-mru-4.node1,11726057
L1-D.access-mru-4.total,16082356
L1-D.access-mru-5.c0,1326441
L1-D.access-mru-5.c1,1190550
L1-D.access-mru-5.c10,1407994
L1-D.access-mru-5.c11,1248374
L1-D.access-mru-5.c12,853692
L1-D.access-mru-5.c13,856846
L1-D.access-mru-5.c14,930267
L1-D.access-mru-5.c15,881400
L1-D.access-mru-5.c2,1084164
L1-D.access-mru-5.c3,1351622
L1-D.access-mru-5.c8,1076609
L1-D.access-mru-5.c9,1516327
L1-D.access-mru-5.node0,4952777
L1-D.access-mru-5.node1,8771509
L1-D.access-mru-5.total,13724286
L1-D.access-mru-6.c0,2524205
L1-D.access-mru-6.c1,1205888
L1-D.access-mru-6.c10,2447285
L1-D.access-mru-6.c11,1127739
L1-D.access-mru-6.c12,689363
L1-D.access-mru-6.c13,923654
L1-D.access-mru-6.c14,1086964
L1-D.access-mru-6.c15,1010105
L1-D.access-mru-6.c2,1025480
L1-D.access-mru-6.c3,2511788
L1-D.access-mru-6.c8,974945
L1-D.access-mru-6.c9,2442080
L1-D.access-mru-6.node0,7267361
L1-D.access-mru-6.node1,10702135
L1-D.access-mru-6.total,17969496
L1-D.access-mru-7.c0,5072495
L1-D.access-mru-7.c1,786155
L1-D.access-mru-7.c10,4912209
L1-D.access-mru-7.c11,836641
L1-D.access-mru-7.c12,750671
L1-D.access-mru-7.c13,922774
L1-D.access-mru-7.c14,874808
L1-D.access-mru-7.c15,950981
L1-D.access-mru-7.c2,797614
L1-D.access-mru-7.c3,5176919
L1-D.access-mru-7.c8,889966
L1-D.access-mru-7.c9,5223029
L1-D.access-mru-7.node0,11833183
L1-D.access-mru-7.node1,15361079
L1-D.access-mru-7.total,27194262
L1-D.backinval-M.c12,7294
L1-D.backinval-M.c13,4243
L1-D.backinval-M.c14,19
L1-D.backinval-M.c15,12754
L1-D.backinval-M.node0,0
L1-D.backinval-M.node1,24310
L1-D.backinval-M.total,24310
L1-D.backinval-S.c13,607
L1-D.backinval-S.c14,1214
L1-D.backinval-S.c15,1217
L1-D.backinval-S.node0,0
L1-D.backinval-S.node1,3038
L1-D.backinval-S.total,3038
L1-D.coherency-downgrades.c0,45885
L1-D.coherency-downgrades.c1,257713
L1-D.coherency-downgrades.c10,564588
L1-D.coherency-downgrades.c11,177423
L1-D.coherency-downgrades.c12,402053
L1-D.coherency-downgrades.c13,376158
L1-D.coherency-downgrades.c14,100100
L1-D.coherency-downgrades.c15,113715
L1-D.coherency-downgrades.c2,147869
L1-D.coherency-downgrades.c3,524403
L1-D.coherency-downgrades.c8,227869
L1-D.coherency-downgrades.c9,488813
L1-D.coherency-downgrades.node0,975870
L1-D.coherency-downgrades.node1,2450719
L1-D.coherency-downgrades.total,3426589
L1-D.coherency-invalidates.c0,61153
L1-D.coherency-invalidates.c1,51588
L1-D.coherency-invalidates.c10,34415
L1-D.coherency-invalidates.c11,37593
L1-D.coherency-invalidates.c12,54182
L1-D.coherency-invalidates.c13,20510
L1-D.coherency-invalidates.c14,22278
L1-D.coherency-invalidates.c15,19642
L1-D.coherency-invalidates.c2,60303
L1-D.coherency-invalidates.c3,141147
L1-D.coherency-invalidates.c8,34009
L1-D.coherency-invalidates.c9,40968
L1-D.coherency-invalidates.node0,314191
L1-D.coherency-invalidates.node1,263597
L1-D.coherency-invalidates.total,577788
L1-D.coherency-upgrades.c0,1859
L1-D.coherency-upgrades.c1,11702
L1-D.coherency-upgrades.c10,32768
L1-D.coherency-upgrades.c11,32541
L1-D.coherency-upgrades.c12,49294
L1-D.coherency-upgrades.c13,23336
L1-D.coherency-upgrades.c14,17146
L1-D.coherency-upgrades.c15,18333
L1-D.coherency-upgrades.c2,11842
L1-D.coherency-upgrades.c3,31978
L1-D.coherency-upgrades.c8,17683
L1-D.coherency-upgrades.c9,32222
L1-D.coherency-upgrades.node0,57381
L1-D.coherency-upgrades.node1,223323
L1-D.coherency-upgrades.total,280704
L1-D.coherency-writebacks.c0,4074
L1-D.coherency-writebacks.c1,10566
L1-D.coherency-writebacks.c10,8162
L1-D.coherency-writebacks.c11,11458
L1-D.coherency-writebacks.c12,8119
L1-D.coherency-writebacks.c13,8321
L1-D.coherency-writebacks.c14,6818
L1-D.coherency-writebacks.c15,8943
L1-D.coherency-writebacks.c2,9791
L1-D.coherency-writebacks.c3,7853
L1-D.coherency-writebacks.c8,14308
L1-D.coherency-writebacks.c9,5108
L1-D.coherency-writebacks.node0,32284
L1-D.coherency-writebacks.node1,71237
L1-D.coherency-writebacks.total,103521
L1-D.evict-E,5868
L1-D.evict-M.c0,26758569
L1-D.evict-M.c1,52083621
L1-D.evict-M.c10,27094892
L1-D.evict-M.c11,53755797
L1-D.evict-M.c12,37421888
L1-D.evict-M.c13,57052718
L1-D.evict-M.c14,57167495
L1-D.evict-M.c15,57256113
L1-D.evict-M.c2,52881984
L1-D.evict-M.c3,27311667
L1-D.evict-M.c8,53862868
L1-D.evict-M.c9,26520261
L1-D.evict-M.node0,159035841
L1-D.evict-M.node1,370132032
L1-D.evict-M.total,529167873
L1-D.evict-S.c0,5213162
L1-D.evict-S.c1,7109099
L1-D.evict-S.c10,4998100
L1-D.evict-S.c11,5618197
L1-D.evict-S.c12,3436721
L1-D.evict-S.c13,4345277
L1-D.evict-S.c14,4256587
L1-D.evict-S.c15,3935613
L1-D.evict-S.c2,6381021
L1-D.evict-S.c3,5485416
L1-D.evict-S.c8,5586732
L1-D.evict-S.c9,5505735
L1-D.evict-S.node0,24188698
L1-D.evict-S.node1,37682962
L1-D.evict-S.total,61871660
L1-D.load-misses-E,3
L1-D.load-misses-I.c0,21371041
L1-D.load-misses-I.c1,35777578
L1-D.load-misses-I.c10,21434833
L1-D.load-misses-I.c11,35891967
L1-D.load-misses-I.c12,24993932
L1-D.load-misses-I.c13,37913000
L1-D.load-misses-I.c14,37900053
L1-D.load-misses-I.c15,37763665
L1-D.load-misses-I.c2,35818518
L1-D.load-misses-I.c3,21853065
L1-D.load-misses-I.c8,35892840
L1-D.load-misses-I.c9,21289984
L1-D.load-misses-I.node0,114820202
L1-D.load-misses-I.node1,253080274
L1-D.load-misses-I.total,367900476
L1-D.load-misses-S.c0,7
L1-D.load-misses-S.c1,5
L1-D.load-misses-S.c10,7
L1-D.load-misses-S.c11,3
L1-D.load-misses-S.c12,6
L1-D.load-misses-S.c13,4
L1-D.load-misses-S.c14,2
L1-D.load-misses-S.c15,3
L1-D.load-misses-S.c2,4
L1-D.load-misses-S.c3,6
L1-D.load-misses-S.c8,3
L1-D.load-misses-S.c9,4
L1-D.load-misses-S.node0,22
L1-D.load-misses-S.node1,32
L1-D.load-misses-S.total,54
L1-D.load-misses.c0,21371048
L1-D.load-misses.c1,35777583
L1-D.load-misses.c10,21434840
L1-D.load-misses.c11,35891970
L1-D.load-misses.c12,24993938
L1-D.load-misses.c13,37913004
L1-D.load-misses.c14,37900055
L1-D.load-misses.c15,37763668
L1-D.load-misses.c2,35818522
L1-D.load-misses.c3,21853071
L1-D.load-misses.c8,35892846
L1-D.load-misses.c9,21289988
L1-D.load-misses.node0,114820224
L1-D.load-misses.node1,253080309
L1-D.load-misses.total,367900533
L1-D.loads-E.c0,20
L1-D.loads-E.c1,19
L1-D.loads-E.c10,74
L1-D.loads-E.c11,37
L1-D.loads-E.c13,9
L1-D.loads-E.c14,22
L1-D.loads-E.c15,13
L1-D.loads-E.c2,4
L1-D.loads-E.c3,19
L1-D.loads-E.c8,68260
L1-D.loads-E.c9,88
L1-D.loads-E.node0,62
L1-D.loads-E.node1,68503
L1-D.loads-E.total,68565
L1-D.loads-I.c0,21371041
L1-D.loads-I.c1,35777578
L1-D.loads-I.c10,21434833
L1-D.loads-I.c11,35891967
L1-D.loads-I.c12,24993932
L1-D.loads-I.c13,37913000
L1-D.loads-I.c14,37900053
L1-D.loads-I.c15,37763665
L1-D.loads-I.c2,35818518
L1-D.loads-I.c3,21853065
L1-D.loads-I.c8,35892840
L1-D.loads-I.c9,21289984
L1-D.loads-I.node0,114820202
L1-D.loads-I.node1,253080274
L1-D.loads-I.total,367900476
L1-D.loads-M.c0,446180225
L1-D.loads-M.c1,676456117
L1-D.loads-M.c10,494937132
L1-D.loads-M.c11,702960701
L1-D.loads-M.c12,496140978
L1-D.loads-M.c13,700261709
L1-D.loads-M.c14,702118162
L1-D.loads-M.c15,702992114
L1-D.loads-M.c2,690417170
L1-D.loads-M.c3,475882242
L1-D.loads-M.c8,700665262
L1-D.loads-M.c9,466646740
L1-D.loads-M.node0,2288935754
L1-D.loads-M.node1,4966722798
L1-D.loads-M.total,7255658552
L1-D.loads-S.c0,329921428
L1-D.loads-S.c1,340460467
L1-D.loads-S.c10,284514132
L1-D.loads-S.c11,285486044
L1-D.loads-S.c12,244142051
L1-D.loads-S.c13,187851363
L1-D.loads-S.c14,198657079
L1-D.loads-S.c15,197652080
L1-D.loads-S.c2,315179617
L1-D.loads-S.c3,311319783
L1-D.loads-S.c8,338879882
L1-D.loads-S.c9,317533679
L1-D.loads-S.node0,1296881295
L1-D.loads-S.node1,2054716310
L1-D.loads-S.total,3351597605
L1-D.loads-where-L1.c0,776101666
L1-D.loads-where-L1.c1,1016916598
L1-D.loads-where-L1.c10,779451331
L1-D.loads-where-L1.c11,988446779
L1-D.loads-where-L1.c12,740283023
L1-D.loads-where-L1.c13,888113077
L1-D.loads-where-L1.c14,900775261
L1-D.loads-where-L1.c15,900644204
L1-D.loads-where-L1.c2,1005596787
L1-D.loads-where-L1.c3,787202038
L1-D.loads-where-L1.c8,1039613398
L1-D.loads-where-L1.c9,784180503
L1-D.loads-where-L1.node0,3585817089
L1-D.loads-where-L1.node1,7021507576
L1-D.loads-where-L1.total,10607324665
L1-D.loads-where-L2.c0,17399804
L1-D.loads-where-L2.c1,30214371
L1-D.loads-where-L2.c10,17557532
