                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  3536456936 |  3449809173 |  3346158080 |  3254678359 |  2580992510 |  2528049061 |           0 |           0 |  3485683501 |  3389826089 |  3323003334 |  2843943924 |  2554655874 |  2517083024 |           0 |           0
  Cycles                             |  2009650990 |  2009650990 |  2009650990 |  2009650990 |  1524562820 |  1524562820 |  1524562820 |  1524562820 |  2009650990 |  2009650990 |  2009650990 |  2009650990 |  1524562820 |  1524562820 |  1524562820 |  1524562820
  IPC                                |        1.76 |        1.72 |        1.67 |        1.62 |        1.69 |        1.66 |        0.00 |        0.00 |        1.73 |        1.69 |        1.65 |        1.42 |        1.68 |        1.65 |        0.00 |        0.00
  Time (ns)                          |   692983100 |   692983100 |   692983100 |   692983100 |   692983100 |   692983100 |   692983100 |   692983100 |   692983100 |   692983100 |   692983100 |   692983100 |   692983100 |   692983100 |   692983100 |   692983100
  Idle time (ns)                     |         275 |      276121 |      276543 |      276884 |      277275 |      277619 |   692983100 |   692983100 |      275746 |      276361 |      276707 |      277075 |      277445 |      277785 |   692983100 |   692983100
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |      100.0% |      100.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   226750176 |   195160321 |   158326132 |   125511276 |   196662450 |   179473268 |           0 |           0 |   208792672 |   174347441 |   148467888 |   278717055 |   189247759 |   174773007 |           0 |           0
  num incorrect                      |       35263 |       34588 |       36950 |       36541 |        7031 |        7314 |           0 |           0 |       37268 |       38582 |       32128 |        7312 |        7300 |        7154 |           0 |           0
  misprediction rate                 |       0.02% |       0.02% |       0.02% |       0.03% |       0.00% |       0.00% |       0.00% |       0.00% |       0.02% |       0.02% |       0.02% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |        0.01 |        0.01 |        0.01 |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.01 |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   277939497 |   277652790 |   277652599 |   277652009 |   186824613 |   185482306 |           0 |           0 |   277661529 |   277661527 |   277661124 |   186824778 |   185482307 |   185463642 |           0 |           0
    num misses                       |         236 |          39 |          39 |          39 |          39 |          39 |           0 |           0 |          39 |          39 |          39 |          39 |          39 |          39 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |  1334601502 |  1322500107 |  1307507056 |  1294584314 |   956022765 |   946613900 |           0 |           0 |  1326773288 |  1313288570 |  1305760095 |  1005443265 |   950142827 |   945813582 |           0 |           0
